operator,case_id,input_shape,dtype,attrs,value_range,note
IsingGibbsPhilox,1,"[[4, 256, 256], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 16, ""seed_hi"": 608135816, ""seed_lo"": 2242054355}","[[0, 1], [0, 4294967295]]",int8-Ising-B4-256x256-s16
IsingGibbsPhilox,2,"[[16, 256, 256], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 16, ""seed_hi"": 320440878, ""seed_lo"": 57701188}","[[0, 1], [0, 4294967295]]",int8-Ising-B16-256x256-s16-max-batch
IsingGibbsPhilox,3,"[[1, 256, 256], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 64, ""seed_hi"": 2752067618, ""seed_lo"": 698298832}","[[0, 1], [0, 4294967295]]",int8-Ising-B1-256x256-s64-long-run
IsingGibbsPhilox,4,"[[4, 256, 256], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 64, ""seed_hi"": 137296536, ""seed_lo"": 3964562569}","[[0, 1], [0, 4294967295]]",int8-Ising-B4-256x256-s64-long-run
IsingGibbsPhilox,5,"[[16, 128, 128], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 64, ""seed_hi"": 1160258022, ""seed_lo"": 953160567}","[[0, 1], [0, 4294967295]]",int8-Ising-B16-128x128-s64
IsingGibbsPhilox,6,"[[4, 128, 128], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 16, ""seed_hi"": 3193202383, ""seed_lo"": 887688300}","[[0, 1], [0, 4294967295]]",int8-Ising-B4-128x128-s16
IsingGibbsPhilox,7,"[[16, 128, 128], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 16, ""seed_hi"": 3232508343, ""seed_lo"": 3380367581}","[[0, 1], [0, 4294967295]]",int8-Ising-B16-128x128-s16
IsingGibbsPhilox,8,"[[1, 128, 128], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 64, ""seed_hi"": 1065670069, ""seed_lo"": 3041331479}","[[0, 1], [0, 4294967295]]",int8-Ising-B1-128x128-s64
IsingGibbsPhilox,9,"[[4, 64, 64], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 64, ""seed_hi"": 2450970073, ""seed_lo"": 2306472731}","[[0, 1], [0, 4294967295]]",int8-Ising-B4-64x64-s64
IsingGibbsPhilox,10,"[[16, 64, 64], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 16, ""seed_hi"": 3509652390, ""seed_lo"": 2564797868}","[[0, 1], [0, 4294967295]]",int8-Ising-B16-64x64-s16
IsingGibbsPhilox,11,"[[1, 64, 64], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 4, ""seed_hi"": 608135816, ""seed_lo"": 2242054355}","[[0, 1], [0, 4294967295]]",int8-Ising-B1-64x64-s4
IsingGibbsPhilox,12,"[[4, 64, 64], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 1, ""seed_hi"": 320440878, ""seed_lo"": 57701188}","[[0, 1], [0, 4294967295]]",int8-Ising-B4-64x64-s1-single-sweep
IsingGibbsPhilox,13,"[[16, 32, 32], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 4, ""seed_hi"": 2752067618, ""seed_lo"": 698298832}","[[0, 1], [0, 4294967295]]",int8-Ising-B16-32x32-s4
IsingGibbsPhilox,14,"[[1, 32, 32], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 1, ""seed_hi"": 137296536, ""seed_lo"": 3964562569}","[[0, 1], [0, 4294967295]]",int8-Ising-B1-32x32-s1-latency-min
IsingGibbsPhilox,15,"[[4, 32, 32], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 64, ""seed_hi"": 1160258022, ""seed_lo"": 953160567}","[[0, 1], [0, 4294967295]]",int8-Ising-B4-32x32-s64
IsingGibbsPhilox,16,"[[1, 256, 256], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 1, ""seed_hi"": 3193202383, ""seed_lo"": 887688300}","[[0, 1], [0, 4294967295]]",int8-Ising-B1-256x256-s1-single-sweep
IsingGibbsPhilox,17,"[[16, 256, 256], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 1, ""seed_hi"": 3232508343, ""seed_lo"": 3380367581}","[[0, 1], [0, 4294967295]]",int8-Ising-B16-256x256-s1-single-sweep-batch
IsingGibbsPhilox,18,"[[4, 128, 128], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 4, ""seed_hi"": 1065670069, ""seed_lo"": 3041331479}","[[0, 1], [0, 4294967295]]",int8-Ising-B4-128x128-s4
IsingGibbsPhilox,19,"[[16, 64, 64], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 64, ""seed_hi"": 2450970073, ""seed_lo"": 2306472731}","[[0, 1], [0, 4294967295]]",int8-Ising-B16-64x64-s64
IsingGibbsPhilox,20,"[[1, 128, 128], [2, 5]]","[""int8"", ""int64""]","{""num_sweeps"": 16, ""seed_hi"": 3509652390, ""seed_lo"": 2564797868}","[[0, 1], [0, 4294967295]]",int8-Ising-B1-128x128-s16
