operator,case_id,input_shape,dtype,attrs,value_range,note
K3KdaDecoderLayerE2E,1,"[[8, 8, 3584], [8], [8, 8, 8, 3584], [8, 18432, 3], [8, 48, 128, 128], [3584, 6144], [3584, 6144], [3584, 6144], [18432, 4], [3584, 128], [128, 6144], [3584, 48], [3584, 6144], [48], [6144], [3584], [128], [6144, 3584], [3584], [3584], [3584], [3584], [3584], [112, 3584], [112], [3584, 1024], [1024, 3584], [1024], [112, 1024, 1536], [112, 768, 1024], [3584, 3072], [1536, 3584]]","[""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""world_size"": 8, ""num_heads"": 48, ""num_v_heads"": 48, ""head_dim"": 128, ""head_v_dim"": 128, ""conv_size"": 4, ""gate_lower_bound"": -5.0, ""allow_neg_eigval"": false, ""append_snapshot"": false, ""rms_eps"": 1e-05, ""scale"": null, ""num_experts"": 112, ""top_k"": 16, ""num_expert_group"": 1, ""topk_group"": 1, ""moe_renormalize"": true, ""routed_scaling_factor"": 1.0, ""situ_beta"": 4.0, ""situ_linear_beta"": 25.0}","[[-1, 1], [1, 8], [-1, 1], [-1, 1], [-1, 1], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.5, 0.5], [-0.02, 0.02], [-0.2, 0.2], [-0.02, 0.02], [-0.02, 0.02], [0.0, 2.773], [-6.9, -2.25], [0.8, 1.2], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.1, 0.1], [-0.02, 0.02], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02]]",bfloat16-K3s-ws8-B8T8-NB8-PRIMARY
K3KdaDecoderLayerE2E,2,"[[16, 8, 3584], [16], [16, 8, 8, 3584], [16, 18432, 3], [16, 48, 128, 128], [3584, 6144], [3584, 6144], [3584, 6144], [18432, 4], [3584, 128], [128, 6144], [3584, 48], [3584, 6144], [48], [6144], [3584], [128], [6144, 3584], [3584], [3584], [3584], [3584], [3584], [112, 3584], [112], [3584, 1024], [1024, 3584], [1024], [112, 1024, 1536], [112, 768, 1024], [3584, 3072], [1536, 3584]]","[""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""world_size"": 16, ""num_heads"": 48, ""num_v_heads"": 48, ""head_dim"": 128, ""head_v_dim"": 128, ""conv_size"": 4, ""gate_lower_bound"": -5.0, ""allow_neg_eigval"": false, ""append_snapshot"": false, ""rms_eps"": 1e-05, ""scale"": null, ""num_experts"": 112, ""top_k"": 16, ""num_expert_group"": 1, ""topk_group"": 1, ""moe_renormalize"": true, ""routed_scaling_factor"": 1.0, ""situ_beta"": 4.0, ""situ_linear_beta"": 25.0}","[[-1, 1], [1, 8], [-1, 1], [-1, 1], [-1, 1], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.5, 0.5], [-0.02, 0.02], [-0.2, 0.2], [-0.02, 0.02], [-0.02, 0.02], [0.0, 2.773], [-6.9, -2.25], [0.8, 1.2], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.1, 0.1], [-0.02, 0.02], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02]]",bfloat16-K3s-ws16-B16T8-NB8-pod-aligned
K3KdaDecoderLayerE2E,3,"[[4, 8, 3584], [4], [4, 8, 8, 3584], [4, 18432, 3], [4, 48, 128, 128], [3584, 6144], [3584, 6144], [3584, 6144], [18432, 4], [3584, 128], [128, 6144], [3584, 48], [3584, 6144], [48], [6144], [3584], [128], [6144, 3584], [3584], [3584], [3584], [3584], [3584], [112, 3584], [112], [3584, 1024], [1024, 3584], [1024], [112, 1024, 1536], [112, 768, 1024], [3584, 3072], [1536, 3584]]","[""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""world_size"": 4, ""num_heads"": 48, ""num_v_heads"": 48, ""head_dim"": 128, ""head_v_dim"": 128, ""conv_size"": 4, ""gate_lower_bound"": -5.0, ""allow_neg_eigval"": false, ""append_snapshot"": false, ""rms_eps"": 1e-05, ""scale"": null, ""num_experts"": 112, ""top_k"": 16, ""num_expert_group"": 1, ""topk_group"": 1, ""moe_renormalize"": true, ""routed_scaling_factor"": 1.0, ""situ_beta"": 4.0, ""situ_linear_beta"": 25.0}","[[-1, 1], [1, 8], [-1, 1], [-1, 1], [-1, 1], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.5, 0.5], [-0.02, 0.02], [-0.2, 0.2], [-0.02, 0.02], [-0.02, 0.02], [0.0, 2.773], [-6.9, -2.25], [0.8, 1.2], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.1, 0.1], [-0.02, 0.02], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02]]",bfloat16-K3s-ws4-B4T8-NB8
K3KdaDecoderLayerE2E,4,"[[8, 8, 3584], [8], [8, 8, 7, 3584], [8, 18432, 3], [8, 48, 128, 128], [3584, 6144], [3584, 6144], [3584, 6144], [18432, 4], [3584, 128], [128, 6144], [3584, 48], [3584, 6144], [48], [6144], [3584], [128], [6144, 3584], [3584], [3584], [3584], [3584], [3584], [112, 3584], [112], [3584, 1024], [1024, 3584], [1024], [112, 1024, 1536], [112, 768, 1024], [3584, 3072], [1536, 3584]]","[""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""world_size"": 8, ""num_heads"": 48, ""num_v_heads"": 48, ""head_dim"": 128, ""head_v_dim"": 128, ""conv_size"": 4, ""gate_lower_bound"": -5.0, ""allow_neg_eigval"": false, ""append_snapshot"": true, ""rms_eps"": 1e-05, ""scale"": null, ""num_experts"": 112, ""top_k"": 16, ""num_expert_group"": 1, ""topk_group"": 1, ""moe_renormalize"": true, ""routed_scaling_factor"": 1.0, ""situ_beta"": 4.0, ""situ_linear_beta"": 25.0}","[[-1, 1], [1, 8], [-1, 1], [-1, 1], [-1, 1], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.5, 0.5], [-0.02, 0.02], [-0.2, 0.2], [-0.02, 0.02], [-0.02, 0.02], [0.0, 2.773], [-6.9, -2.25], [0.8, 1.2], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.1, 0.1], [-0.02, 0.02], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02]]",bfloat16-K3s-ws8-B8T8-NB7-snapshot
K3KdaDecoderLayerE2E,5,"[[8, 1, 3584], [8], [8, 1, 4, 3584], [8, 18432, 3], [8, 48, 128, 128], [3584, 6144], [3584, 6144], [3584, 6144], [18432, 4], [3584, 128], [128, 6144], [3584, 48], [3584, 6144], [48], [6144], [3584], [128], [6144, 3584], [3584], [3584], [3584], [3584], [3584], [112, 3584], [112], [3584, 1024], [1024, 3584], [1024], [112, 1024, 1536], [112, 768, 1024], [3584, 3072], [1536, 3584]]","[""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""world_size"": 8, ""num_heads"": 48, ""num_v_heads"": 48, ""head_dim"": 128, ""head_v_dim"": 128, ""conv_size"": 4, ""gate_lower_bound"": -5.0, ""allow_neg_eigval"": false, ""append_snapshot"": false, ""rms_eps"": 1e-05, ""scale"": null, ""num_experts"": 112, ""top_k"": 16, ""num_expert_group"": 1, ""topk_group"": 1, ""moe_renormalize"": true, ""routed_scaling_factor"": 1.0, ""situ_beta"": 4.0, ""situ_linear_beta"": 25.0}","[[-1, 1], [1, 1], [-1, 1], [-1, 1], [-1, 1], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.5, 0.5], [-0.02, 0.02], [-0.2, 0.2], [-0.02, 0.02], [-0.02, 0.02], [0.0, 2.773], [-6.9, -2.25], [0.8, 1.2], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.1, 0.1], [-0.02, 0.02], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02]]",bfloat16-K3s-ws8-B8T1-NB4-pure-decode
K3KdaDecoderLayerE2E,6,"[[1, 8, 3584], [1], [1, 8, 1, 3584], [1, 18432, 3], [1, 48, 128, 128], [3584, 6144], [3584, 6144], [3584, 6144], [18432, 4], [3584, 128], [128, 6144], [3584, 48], [3584, 6144], [48], [6144], [3584], [128], [6144, 3584], [3584], [3584], [3584], [3584], [3584], [112, 3584], [112], [3584, 1024], [1024, 3584], [1024], [112, 1024, 1536], [112, 768, 1024], [3584, 3072], [1536, 3584]]","[""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""world_size"": 8, ""num_heads"": 48, ""num_v_heads"": 48, ""head_dim"": 128, ""head_v_dim"": 128, ""conv_size"": 4, ""gate_lower_bound"": -5.0, ""allow_neg_eigval"": false, ""append_snapshot"": false, ""rms_eps"": 1e-05, ""scale"": null, ""num_experts"": 112, ""top_k"": 16, ""num_expert_group"": 1, ""topk_group"": 1, ""moe_renormalize"": true, ""routed_scaling_factor"": 1.0, ""situ_beta"": 4.0, ""situ_linear_beta"": 25.0}","[[-1, 1], [1, 8], [-1, 1], [-1, 1], [-1, 1], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.5, 0.5], [-0.02, 0.02], [-0.2, 0.2], [-0.02, 0.02], [-0.02, 0.02], [0.0, 2.773], [-6.9, -2.25], [0.8, 1.2], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.1, 0.1], [-0.02, 0.02], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02]]",bfloat16-K3s-ws8-B1T8-NB1-single-req
K3KdaDecoderLayerE2E,7,"[[4, 8, 2048], [4], [4, 8, 4, 2048], [4, 6144, 3], [4, 16, 128, 128], [2048, 2048], [2048, 2048], [2048, 2048], [6144, 4], [2048, 128], [128, 2048], [2048, 16], [2048, 2048], [16], [2048], [2048], [128], [2048, 2048], [2048], [2048], [2048], [2048], [2048], [112, 2048], [112], [2048, 1024], [1024, 2048], [1024], [112, 1024, 1536], [112, 768, 1024], [2048, 3072], [1536, 2048]]","[""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""float32"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""world_size"": 4, ""num_heads"": 16, ""num_v_heads"": 16, ""head_dim"": 128, ""head_v_dim"": 128, ""conv_size"": 4, ""gate_lower_bound"": -5.0, ""allow_neg_eigval"": false, ""append_snapshot"": false, ""rms_eps"": 1e-05, ""scale"": null, ""num_experts"": 112, ""top_k"": 16, ""num_expert_group"": 1, ""topk_group"": 1, ""moe_renormalize"": true, ""routed_scaling_factor"": 1.0, ""situ_beta"": 4.0, ""situ_linear_beta"": 25.0}","[[-1, 1], [1, 8], [-1, 1], [-1, 1], [-1, 1], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.5, 0.5], [-0.02, 0.02], [-0.2, 0.2], [-0.02, 0.02], [-0.02, 0.02], [0.0, 2.773], [-6.9, -2.25], [0.8, 1.2], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.1, 0.1], [-0.02, 0.02], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02]]",bfloat16-scaledA-ws4-B4T8-NB4
K3KdaDecoderLayerE2E,8,"[[8, 8, 2048], [8], [8, 8, 4, 2048], [8, 6144, 3], [8, 16, 128, 128], [2048, 2048], [2048, 2048], [2048, 2048], [6144, 4], [2048, 128], [128, 2048], [2048, 16], [2048, 2048], [16], [2048], [2048], [128], [2048, 2048], [2048], [2048], [2048], [2048], [2048], [112, 2048], [112], [2048, 1024], [1024, 2048], [1024], [112, 1024, 1536], [112, 768, 1024], [2048, 3072], [1536, 2048]]","[""float16"", ""int32"", ""float16"", ""float16"", ""float32"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float32"", ""float32"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float32"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""world_size"": 8, ""num_heads"": 16, ""num_v_heads"": 16, ""head_dim"": 128, ""head_v_dim"": 128, ""conv_size"": 4, ""gate_lower_bound"": -5.0, ""allow_neg_eigval"": false, ""append_snapshot"": false, ""rms_eps"": 1e-05, ""scale"": null, ""num_experts"": 112, ""top_k"": 16, ""num_expert_group"": 1, ""topk_group"": 1, ""moe_renormalize"": true, ""routed_scaling_factor"": 1.0, ""situ_beta"": 4.0, ""situ_linear_beta"": 25.0}","[[-1, 1], [1, 8], [-1, 1], [-1, 1], [-1, 1], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.5, 0.5], [-0.02, 0.02], [-0.2, 0.2], [-0.02, 0.02], [-0.02, 0.02], [0.0, 2.773], [-6.9, -2.25], [0.8, 1.2], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.1, 0.1], [-0.02, 0.02], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02]]",float16-scaledA-ws8-B8T8-NB4
K3KdaDecoderLayerE2E,9,"[[4, 8, 2048], [4], [4, 8, 4, 2048], [4, 6144, 3], [4, 16, 128, 128], [2048, 2048], [2048, 2048], [2048, 2048], [6144, 4], [2048, 128], [128, 2048], [2048, 16], [2048, 2048], [16], [2048], [2048], [128], [2048, 2048], [2048], [2048], [2048], [2048], [2048], [112, 2048], [112], [2048, 1024], [1024, 2048], [1024], [112, 1024, 1536], [112, 768, 1024], [2048, 3072], [1536, 2048]]","[""float32"", ""int32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""world_size"": 4, ""num_heads"": 16, ""num_v_heads"": 16, ""head_dim"": 128, ""head_v_dim"": 128, ""conv_size"": 4, ""gate_lower_bound"": -5.0, ""allow_neg_eigval"": false, ""append_snapshot"": false, ""rms_eps"": 1e-05, ""scale"": null, ""num_experts"": 112, ""top_k"": 16, ""num_expert_group"": 1, ""topk_group"": 1, ""moe_renormalize"": true, ""routed_scaling_factor"": 1.0, ""situ_beta"": 4.0, ""situ_linear_beta"": 25.0}","[[-1, 1], [1, 8], [-1, 1], [-1, 1], [-1, 1], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.5, 0.5], [-0.02, 0.02], [-0.2, 0.2], [-0.02, 0.02], [-0.02, 0.02], [0.0, 2.773], [-6.9, -2.25], [0.8, 1.2], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.1, 0.1], [-0.02, 0.02], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02]]",float32-scaledA-ws4-B4T8-NB4
K3KdaDecoderLayerE2E,10,"[[8, 8, 2048], [8], [8, 8, 3, 2048], [8, 6144, 3], [8, 16, 128, 128], [2048, 2048], [2048, 2048], [2048, 2048], [6144, 4], [2048, 128], [128, 2048], [2048, 16], [2048, 2048], [16], [2048], [2048], [128], [2048, 2048], [2048], [2048], [2048], [2048], [2048], [112, 2048], [112], [2048, 1024], [1024, 2048], [1024], [112, 1024, 1536], [112, 768, 1024], [2048, 3072], [1536, 2048]]","[""float16"", ""int32"", ""float16"", ""float16"", ""float32"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float32"", ""float32"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float32"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""world_size"": 8, ""num_heads"": 16, ""num_v_heads"": 16, ""head_dim"": 128, ""head_v_dim"": 128, ""conv_size"": 4, ""gate_lower_bound"": -5.0, ""allow_neg_eigval"": false, ""append_snapshot"": true, ""rms_eps"": 1e-05, ""scale"": null, ""num_experts"": 112, ""top_k"": 16, ""num_expert_group"": 1, ""topk_group"": 1, ""moe_renormalize"": true, ""routed_scaling_factor"": 1.0, ""situ_beta"": 4.0, ""situ_linear_beta"": 25.0}","[[-1, 1], [1, 8], [-1, 1], [-1, 1], [-1, 1], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.5, 0.5], [-0.02, 0.02], [-0.2, 0.2], [-0.02, 0.02], [-0.02, 0.02], [0.0, 2.773], [-6.9, -2.25], [0.8, 1.2], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.1, 0.1], [-0.02, 0.02], [-0.02, 0.02], [0.8, 1.2], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02], [-0.02, 0.02]]",float16-scaledA-ws8-B8T8-NB3-snapshot
