operator,case_id,input_shape,dtype,attrs,value_range,note
LactTttChunk,1,"[[2, 2048, 8, 128], [2, 2048, 8, 128], [2, 2048, 8, 128], [2, 8, 256, 128], [2, 8, 128, 256], [2, 8, 256, 128], [2, 2048, 8]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 512, ""use_muon"": false, ""update_first"": false}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [0.001, 0.05]]",bfloat16-LaCT-B2L2048-H8D128Dh256-chunk512-muon0uf0
LactTttChunk,2,"[[1, 4096, 8, 128], [1, 4096, 8, 128], [1, 4096, 8, 128], [1, 8, 256, 128], [1, 8, 128, 256], [1, 8, 256, 128], [1, 4096, 8]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 2048, ""use_muon"": false, ""update_first"": false}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [0.001, 0.05]]",bfloat16-LaCT-B1L4096-H8D128Dh256-chunk2048-muon0uf0
LactTttChunk,3,"[[4, 2048, 8, 128], [4, 2048, 8, 128], [4, 2048, 8, 128], [4, 8, 256, 128], [4, 8, 128, 256], [4, 8, 256, 128], [4, 2048, 8]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 1024, ""use_muon"": false, ""update_first"": false}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [0.001, 0.05]]",bfloat16-LaCT-B4L2048-H8D128Dh256-chunk1024-muon0uf0
LactTttChunk,4,"[[2, 4096, 16, 128], [2, 4096, 16, 128], [2, 4096, 16, 128], [2, 16, 256, 128], [2, 16, 128, 256], [2, 16, 256, 128], [2, 4096, 16]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 2048, ""use_muon"": false, ""update_first"": false}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [0.001, 0.05]]",bfloat16-LaCT-B2L4096-H16D128Dh256-chunk2048-muon0uf0
LactTttChunk,5,"[[1, 8192, 8, 128], [1, 8192, 8, 128], [1, 8192, 8, 128], [1, 8, 256, 128], [1, 8, 128, 256], [1, 8, 256, 128], [1, 8192, 8]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 2048, ""use_muon"": false, ""update_first"": false}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [0.001, 0.05]]",bfloat16-LaCT-B1L8192-H8D128Dh256-chunk2048-muon0uf0-long
LactTttChunk,6,"[[2, 2048, 8, 128], [2, 2048, 8, 128], [2, 2048, 8, 128], [2, 8, 512, 128], [2, 8, 128, 512], [2, 8, 512, 128], [2, 2048, 8]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 512, ""use_muon"": false, ""update_first"": false}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [0.001, 0.05]]",bfloat16-LaCT-B2L2048-H8D128Dh512-chunk512-muon0uf0
LactTttChunk,7,"[[1, 4096, 16, 128], [1, 4096, 16, 128], [1, 4096, 16, 128], [1, 16, 512, 128], [1, 16, 128, 512], [1, 16, 512, 128], [1, 4096, 16]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 1024, ""use_muon"": false, ""update_first"": false}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [0.001, 0.05]]",bfloat16-LaCT-B1L4096-H16D128Dh512-chunk1024-muon0uf0
LactTttChunk,8,"[[2, 2048, 8, 128], [2, 2048, 8, 128], [2, 2048, 8, 128], [2, 8, 256, 128], [2, 8, 128, 256], [2, 8, 256, 128], [2, 2048, 8]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 512, ""use_muon"": true, ""update_first"": false}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [0.001, 0.05]]",bfloat16-LaCT-B2L2048-H8D128Dh256-chunk512-muon1uf0
LactTttChunk,9,"[[1, 4096, 8, 128], [1, 4096, 8, 128], [1, 4096, 8, 128], [1, 8, 256, 128], [1, 8, 128, 256], [1, 8, 256, 128], [1, 4096, 8]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 2048, ""use_muon"": true, ""update_first"": false}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [0.001, 0.05]]",bfloat16-LaCT-B1L4096-H8D128Dh256-chunk2048-muon1uf0
LactTttChunk,10,"[[1, 8192, 16, 128], [1, 8192, 16, 128], [1, 8192, 16, 128], [1, 16, 256, 128], [1, 16, 128, 256], [1, 16, 256, 128], [1, 8192, 16]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 2048, ""use_muon"": true, ""update_first"": false}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1], [0.001, 0.05]]",bfloat16-LaCT-B1L8192-H16D128Dh256-chunk2048-muon1uf0-long
