operator,case_id,input_shape,dtype,attrs,value_range,note
Mamba2Ssd,1,"[[8, 1024, 24, 64], [8, 1024, 24], [24], [8, 1024, 1, 128], [8, 1024, 1, 128], [24]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 256}","[[-1, 1], [0.001, 0.1], [-8, -0.5], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Mamba2-130M-B8L1024-G1-chunk256
Mamba2Ssd,2,"[[4, 2048, 24, 64], [4, 2048, 24], [24], [4, 2048, 1, 128], [4, 2048, 1, 128], [24]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 256}","[[-1, 1], [0.001, 0.1], [-8, -0.5], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Mamba2-130M-B4L2048-G1-chunk256
Mamba2Ssd,3,"[[1, 8192, 24, 64], [1, 8192, 24], [24], [1, 8192, 1, 128], [1, 8192, 1, 128], [24]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 256}","[[-1, 1], [0.001, 0.1], [-8, -0.5], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Mamba2-130M-B1L8192-long-chunk256
Mamba2Ssd,4,"[[4, 1024, 64, 64], [4, 1024, 64], [64], [4, 1024, 1, 128], [4, 1024, 1, 128], [64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 256}","[[-1, 1], [0.001, 0.1], [-8, -0.5], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Mamba2-1.3B-B4L1024-G1-chunk256
Mamba2Ssd,5,"[[2, 2048, 64, 64], [2, 2048, 64], [64], [2, 2048, 1, 128], [2, 2048, 1, 128], [64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 256}","[[-1, 1], [0.001, 0.1], [-8, -0.5], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Mamba2-1.3B-B2L2048-G1-chunk256
Mamba2Ssd,6,"[[1, 4096, 64, 64], [1, 4096, 64], [64], [1, 4096, 1, 128], [1, 4096, 1, 128], [64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 256}","[[-1, 1], [0.001, 0.1], [-8, -0.5], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Mamba2-1.3B-B1L4096-G1-chunk256
Mamba2Ssd,7,"[[2, 1024, 80, 64], [2, 1024, 80], [80], [2, 1024, 1, 128], [2, 1024, 1, 128], [80]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 256}","[[-1, 1], [0.001, 0.1], [-8, -0.5], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Mamba2-2.7B-B2L1024-G1-chunk256
Mamba2Ssd,8,"[[1, 2048, 80, 64], [1, 2048, 80], [80], [1, 2048, 1, 128], [1, 2048, 1, 128], [80]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 256}","[[-1, 1], [0.001, 0.1], [-8, -0.5], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Mamba2-2.7B-B1L2048-G1-chunk256
Mamba2Ssd,9,"[[4, 1024, 64, 64], [4, 1024, 64], [64], [4, 1024, 8, 128], [4, 1024, 8, 128], [64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 256}","[[-1, 1], [0.001, 0.1], [-8, -0.5], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Mamba2-1.3B-GVA-B4L1024-G8-chunk256
Mamba2Ssd,10,"[[2, 2048, 80, 64], [2, 2048, 80], [80], [2, 2048, 8, 64], [2, 2048, 8, 64], [80]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""chunk_size"": 256}","[[-1, 1], [0.001, 0.1], [-8, -0.5], [-1, 1], [-1, 1], [-1, 1]]",bfloat16-Mamba2-2.7B-GVA-B2L2048-G8N64-chunk256
