operator,case_id,input_shape,dtype,attrs,value_range,note
MobaAttention,1,"[[1, 8192, 16, 128], [1, 8192, 16, 128], [1, 8192, 16, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""block_size"": 512, ""top_k"": 3, ""scaleValue"": 0.08838}","[[-1, 1], [-1, 1], [-1, 1]]",bfloat16-MoBA-B1S8192N16D128-bs512-tk3-paper-default
MobaAttention,2,"[[2, 8192, 16, 128], [2, 8192, 16, 128], [2, 8192, 16, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""block_size"": 512, ""top_k"": 3, ""scaleValue"": 0.08838}","[[-1, 1], [-1, 1], [-1, 1]]",bfloat16-MoBA-B2S8192N16D128-bs512-tk3-batch2
MobaAttention,3,"[[4, 8192, 8, 128], [4, 8192, 8, 128], [4, 8192, 8, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""block_size"": 512, ""top_k"": 3, ""scaleValue"": 0.08838}","[[-1, 1], [-1, 1], [-1, 1]]",bfloat16-MoBA-B4S8192N8D128-bs512-tk3-batch4
MobaAttention,4,"[[1, 8192, 32, 128], [1, 8192, 32, 128], [1, 8192, 32, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""block_size"": 512, ""top_k"": 3, ""scaleValue"": 0.08838}","[[-1, 1], [-1, 1], [-1, 1]]",bfloat16-MoBA-B1S8192N32D128-bs512-tk3-heads32
MobaAttention,5,"[[1, 8192, 8, 128], [1, 8192, 8, 128], [1, 8192, 8, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""block_size"": 512, ""top_k"": 3, ""scaleValue"": 0.08838}","[[-1, 1], [-1, 1], [-1, 1]]",bfloat16-MoBA-B1S8192N8D128-bs512-tk3-heads8
MobaAttention,6,"[[1, 8192, 16, 128], [1, 8192, 16, 128], [1, 8192, 16, 128]]","[""float16"", ""float16"", ""float16""]","{""block_size"": 512, ""top_k"": 3, ""scaleValue"": 0.08838}","[[-1, 1], [-1, 1], [-1, 1]]",float16-MoBA-B1S8192N16D128-bs512-tk3-paper-default
MobaAttention,7,"[[2, 8192, 8, 128], [2, 8192, 8, 128], [2, 8192, 8, 128]]","[""float16"", ""float16"", ""float16""]","{""block_size"": 512, ""top_k"": 3, ""scaleValue"": 0.08838}","[[-1, 1], [-1, 1], [-1, 1]]",float16-MoBA-B2S8192N8D128-bs512-tk3-batch2
MobaAttention,8,"[[1, 8192, 32, 128], [1, 8192, 32, 128], [1, 8192, 32, 128]]","[""float16"", ""float16"", ""float16""]","{""block_size"": 512, ""top_k"": 3, ""scaleValue"": 0.08838}","[[-1, 1], [-1, 1], [-1, 1]]",float16-MoBA-B1S8192N32D128-bs512-tk3-heads32
MobaAttention,9,"[[1, 8192, 16, 128], [1, 8192, 16, 128], [1, 8192, 16, 128]]","[""float32"", ""float32"", ""float32""]","{""block_size"": 512, ""top_k"": 3, ""scaleValue"": 0.08838}","[[-1, 1], [-1, 1], [-1, 1]]",float32-MoBA-B1S8192N16D128-bs512-tk3-paper-default
MobaAttention,10,"[[2, 8192, 8, 128], [2, 8192, 8, 128], [2, 8192, 8, 128]]","[""float32"", ""float32"", ""float32""]","{""block_size"": 512, ""top_k"": 3, ""scaleValue"": 0.08838}","[[-1, 1], [-1, 1], [-1, 1]]",float32-MoBA-B2S8192N8D128-bs512-tk3-batch2
MobaAttention,11,"[[1, 8192, 16, 128], [1, 8192, 16, 128], [1, 8192, 16, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""block_size"": 512, ""top_k"": 6, ""scaleValue"": 0.08838}","[[-1, 1], [-1, 1], [-1, 1]]",bfloat16-MoBA-B1S8192N16D128-bs512-tk6-top6-denser
MobaAttention,12,"[[1, 8192, 16, 128], [1, 8192, 16, 128], [1, 8192, 16, 128]]","[""float16"", ""float16"", ""float16""]","{""block_size"": 512, ""top_k"": 2, ""scaleValue"": 0.08838}","[[-1, 1], [-1, 1], [-1, 1]]",float16-MoBA-B1S8192N16D128-bs512-tk2-top2-sparser
MobaAttention,13,"[[1, 8192, 16, 128], [1, 8192, 16, 128], [1, 8192, 16, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""block_size"": 256, ""top_k"": 6, ""scaleValue"": 0.08838}","[[-1, 1], [-1, 1], [-1, 1]]",bfloat16-MoBA-B1S8192N16D128-bs256-tk6-block256
MobaAttention,14,"[[1, 8192, 16, 128], [1, 8192, 16, 128], [1, 8192, 16, 128]]","[""float16"", ""float16"", ""float16""]","{""block_size"": 1024, ""top_k"": 3, ""scaleValue"": 0.08838}","[[-1, 1], [-1, 1], [-1, 1]]",float16-MoBA-B1S8192N16D128-bs1024-tk3-block1024
MobaAttention,15,"[[4, 8192, 8, 128], [4, 8192, 8, 128], [4, 8192, 8, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""block_size"": 512, ""top_k"": 4, ""scaleValue"": 0.08838}","[[-1, 1], [-1, 1], [-1, 1]]",bfloat16-MoBA-B4S8192N8D128-bs512-tk4-batch4-top4
MobaAttention,16,"[[4, 8192, 8, 128], [4, 8192, 8, 128], [4, 8192, 8, 128]]","[""float16"", ""float16"", ""float16""]","{""block_size"": 512, ""top_k"": 3, ""scaleValue"": 0.08838}","[[-1, 1], [-1, 1], [-1, 1]]",float16-MoBA-B4S8192N8D128-bs512-tk3-batch4
MobaAttention,17,"[[1, 8192, 8, 128], [1, 8192, 8, 128], [1, 8192, 8, 128]]","[""float32"", ""float32"", ""float32""]","{""block_size"": 512, ""top_k"": 4, ""scaleValue"": 0.08838}","[[-1, 1], [-1, 1], [-1, 1]]",float32-MoBA-B1S8192N8D128-bs512-tk4-top4
