operator,case_id,input_shape,dtype,attrs,value_range,note
MultigridVcycle,1,"[[2, 65, 65, 65], [2, 65, 65, 65]]","[""float32"", ""float32""]","{""num_levels"": 3, ""pre_smooth"": 2, ""post_smooth"": 2, ""h"": 0.015625}","[[-1, 1], [-1, 1]]",float32-MG-B2-N65-L3-2+2-standard
MultigridVcycle,2,"[[1, 129, 129, 129], [1, 129, 129, 129]]","[""float32"", ""float32""]","{""num_levels"": 4, ""pre_smooth"": 2, ""post_smooth"": 2, ""h"": 0.01}","[[-1, 1], [-1, 1]]",float32-MG-B1-N129-L4-2+2
MultigridVcycle,3,"[[1, 129, 129, 129], [1, 129, 129, 129]]","[""float32"", ""float32""]","{""num_levels"": 5, ""pre_smooth"": 2, ""post_smooth"": 2, ""h"": 0.01}","[[-1, 1], [-1, 1]]",float32-MG-B1-N129-L5-2+2-deepest-coarsest5
MultigridVcycle,4,"[[4, 65, 65, 65], [4, 65, 65, 65]]","[""float32"", ""float32""]","{""num_levels"": 4, ""pre_smooth"": 2, ""post_smooth"": 2, ""h"": 0.015625}","[[-1, 1], [-1, 1]]",float32-MG-B4-N65-L4-2+2
MultigridVcycle,5,"[[8, 33, 33, 33], [8, 33, 33, 33]]","[""float32"", ""float32""]","{""num_levels"": 3, ""pre_smooth"": 2, ""post_smooth"": 2, ""h"": 0.03125}","[[-1, 1], [-1, 1]]",float32-MG-B8-N33-L3-2+2-batch8
MultigridVcycle,6,"[[2, 129, 129, 129], [2, 129, 129, 129]]","[""float32"", ""float32""]","{""num_levels"": 5, ""pre_smooth"": 1, ""post_smooth"": 1, ""h"": 0.01}","[[-1, 1], [-1, 1]]",float32-MG-B2-N129-L5-1+1
MultigridVcycle,7,"[[2, 65, 65, 65], [2, 65, 65, 65]]","[""float32"", ""float32""]","{""num_levels"": 2, ""pre_smooth"": 2, ""post_smooth"": 2, ""h"": 0.015625}","[[-1, 1], [-1, 1]]",float32-MG-B2-N65-L2-2+2-shallow
MultigridVcycle,8,"[[1, 33, 33, 33], [1, 33, 33, 33]]","[""float32"", ""float32""]","{""num_levels"": 2, ""pre_smooth"": 1, ""post_smooth"": 1, ""h"": 0.03125}","[[-1, 1], [-1, 1]]",float32-MG-B1-N33-L2-1+1-small-shallow
MultigridVcycle,9,"[[2, 65, 65, 65], [2, 65, 65, 65]]","[""float32"", ""float32""]","{""num_levels"": 4, ""pre_smooth"": 4, ""post_smooth"": 4, ""h"": 0.015625}","[[-1, 1], [-1, 1]]",float32-MG-B2-N65-L4-4+4-heavy-smoothing
MultigridVcycle,10,"[[4, 129, 129, 129], [4, 129, 129, 129]]","[""float32"", ""float32""]","{""num_levels"": 5, ""pre_smooth"": 2, ""post_smooth"": 2, ""h"": 0.01}","[[-1, 1], [-1, 1]]",float32-MG-B4-N129-L5-2+2-flagship
