operator,case_id,input_shape,dtype,attrs,value_range,note
NttPrimeField,1,"[[1, 1048576]]","[""int32""]","{""modulus"": 2013265921, ""inverse"": false}","[[0, 2013265920]]",int32-NTT-B1N1048576-mod2013265921-fwd-large-1M
NttPrimeField,2,"[[1, 1048576]]","[""int32""]","{""modulus"": 2013265921, ""inverse"": true}","[[0, 2013265920]]",int32-NTT-B1N1048576-mod2013265921-inv-large-1M
NttPrimeField,3,"[[4, 262144]]","[""int32""]","{""modulus"": 2013265921, ""inverse"": false}","[[0, 2013265920]]",int32-NTT-B4N262144-mod2013265921-fwd-batch4-256K
NttPrimeField,4,"[[16, 65536]]","[""int32""]","{""modulus"": 2013265921, ""inverse"": false}","[[0, 2013265920]]",int32-NTT-B16N65536-mod2013265921-fwd-batch16-64K
NttPrimeField,5,"[[64, 16384]]","[""int32""]","{""modulus"": 2013265921, ""inverse"": false}","[[0, 2013265920]]",int32-NTT-B64N16384-mod2013265921-fwd-batch64-16K
NttPrimeField,6,"[[1, 65536]]","[""int32""]","{""modulus"": 998244353, ""inverse"": false}","[[0, 998244352]]",int32-NTT-B1N65536-mod998244353-fwd-mod998-64K
NttPrimeField,7,"[[1, 65536]]","[""int32""]","{""modulus"": 998244353, ""inverse"": true}","[[0, 998244352]]",int32-NTT-B1N65536-mod998244353-inv-mod998-64K
NttPrimeField,8,"[[8, 131072]]","[""int32""]","{""modulus"": 2013265921, ""inverse"": false}","[[0, 2013265920]]",int32-NTT-B8N131072-mod2013265921-fwd-batch8-128K
NttPrimeField,9,"[[2, 524288]]","[""int32""]","{""modulus"": 2013265921, ""inverse"": true}","[[0, 2013265920]]",int32-NTT-B2N524288-mod2013265921-inv-batch2-512K
NttPrimeField,10,"[[32, 4096]]","[""int32""]","{""modulus"": 2013265921, ""inverse"": false}","[[0, 2013265920]]",int32-NTT-B32N4096-mod2013265921-fwd-batch32-4K
NttPrimeField,11,"[[1, 1024]]","[""int32""]","{""modulus"": 2013265921, ""inverse"": false}","[[0, 2013265920]]",int32-NTT-B1N1024-mod2013265921-fwd-small-1K
NttPrimeField,12,"[[64, 1024]]","[""int32""]","{""modulus"": 2013265921, ""inverse"": true}","[[0, 2013265920]]",int32-NTT-B64N1024-mod2013265921-inv-batch64-1K
NttPrimeField,13,"[[4, 16384]]","[""int32""]","{""modulus"": 998244353, ""inverse"": false}","[[0, 998244352]]",int32-NTT-B4N16384-mod998244353-fwd-mod998-16K
NttPrimeField,14,"[[16, 262144]]","[""int32""]","{""modulus"": 2013265921, ""inverse"": false}","[[0, 2013265920]]",int32-NTT-B16N262144-mod2013265921-fwd-batch16-256K
NttPrimeField,15,"[[64, 262144]]","[""int32""]","{""modulus"": 2013265921, ""inverse"": false}","[[0, 2013265920]]",int32-NTT-B64N262144-mod2013265921-fwd-max-16M-total
NttPrimeField,16,"[[1, 32768]]","[""int32""]","{""modulus"": 2013265921, ""inverse"": true}","[[0, 2013265920]]",int32-NTT-B1N32768-mod2013265921-inv-single-32K
NttPrimeField,17,"[[2, 8192]]","[""int32""]","{""modulus"": 998244353, ""inverse"": true}","[[0, 998244352]]",int32-NTT-B2N8192-mod998244353-inv-mod998-8K
NttPrimeField,18,"[[8, 2048]]","[""int32""]","{""modulus"": 2013265921, ""inverse"": false}","[[0, 2013265920]]",int32-NTT-B8N2048-mod2013265921-fwd-batch8-2K
NttPrimeField,19,"[[4, 1048576]]","[""int32""]","{""modulus"": 2013265921, ""inverse"": false}","[[0, 2013265920]]",int32-NTT-B4N1048576-mod2013265921-fwd-batch4-1M
NttPrimeField,20,"[[16, 1048576]]","[""int32""]","{""modulus"": 2013265921, ""inverse"": true}","[[0, 2013265920]]",int32-NTT-B16N1048576-mod2013265921-inv-max-16M-total
