operator,case_id,input_shape,dtype,attrs,value_range,note
RtmWaveStencil,1,"[[2, 512, 512], [2, 512, 512], [2, 512, 512], [512], [512]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""num_steps"": 16, ""dt"": 0.0004, ""dx"": 10.0}","[[-1, 1], [-1, 1], [1500, 4500], [0, 0.05], [0, 0.05]]",float32-RTM-B2-512x512-steps16-dt4e-4-dx10-standard
RtmWaveStencil,2,"[[4, 512, 512], [4, 512, 512], [4, 512, 512], [512], [512]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""num_steps"": 16, ""dt"": 0.0005, ""dx"": 8.0}","[[-1, 1], [-1, 1], [1500, 4500], [0, 0.05], [0, 0.05]]",float32-RTM-B4-512x512-steps16-dt5e-4-dx8-batch4
RtmWaveStencil,3,"[[1, 1024, 1024], [1, 1024, 1024], [1, 1024, 1024], [1024], [1024]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""num_steps"": 16, ""dt"": 0.0004, ""dx"": 10.0}","[[-1, 1], [-1, 1], [1500, 4500], [0, 0.05], [0, 0.05]]",float32-RTM-B1-1024x1024-steps16-large-grid
RtmWaveStencil,4,"[[1, 1024, 1024], [1, 1024, 1024], [1, 1024, 1024], [1024], [1024]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""num_steps"": 64, ""dt"": 0.0004, ""dx"": 10.0}","[[-1, 1], [-1, 1], [1500, 4500], [0, 0.05], [0, 0.05]]",float32-RTM-B1-1024x1024-steps64-flagship-long-run
RtmWaveStencil,5,"[[8, 256, 256], [8, 256, 256], [8, 256, 256], [256], [256]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""num_steps"": 16, ""dt"": 0.0006, ""dx"": 12.5}","[[-1, 1], [-1, 1], [1500, 4500], [0, 0.05], [0, 0.05]]",float32-RTM-B8-256x256-steps16-dt6e-4-dx12.5-batch8
RtmWaveStencil,6,"[[2, 256, 256], [2, 256, 256], [2, 256, 256], [256], [256]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""num_steps"": 64, ""dt"": 0.0008, ""dx"": 20.0}","[[-1, 1], [-1, 1], [1500, 4500], [0, 0.05], [0, 0.05]]",float32-RTM-B2-256x256-steps64-dt8e-4-dx20-long
RtmWaveStencil,7,"[[1, 512, 512], [1, 512, 512], [1, 512, 512], [512], [512]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""num_steps"": 64, ""dt"": 0.0005, ""dx"": 10.0}","[[-1, 1], [-1, 1], [1500, 4500], [0, 0.05], [0, 0.05]]",float32-RTM-B1-512x512-steps64-long
RtmWaveStencil,8,"[[4, 128, 128], [4, 128, 128], [4, 128, 128], [128], [128]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""num_steps"": 16, ""dt"": 0.0004, ""dx"": 5.0}","[[-1, 1], [-1, 1], [1500, 4500], [0, 0.05], [0, 0.05]]",float32-RTM-B4-128x128-steps16-dx5-cfl0.36-small-grid
RtmWaveStencil,9,"[[2, 256, 1024], [2, 256, 1024], [2, 256, 1024], [1024], [256]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""num_steps"": 16, ""dt"": 0.0004, ""dx"": 10.0}","[[-1, 1], [-1, 1], [1500, 4500], [0, 0.05], [0, 0.05]]",float32-RTM-B2-256x1024-steps16-wide-aspect
RtmWaveStencil,10,"[[2, 1024, 256], [2, 1024, 256], [2, 1024, 256], [256], [1024]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""num_steps"": 16, ""dt"": 0.0004, ""dx"": 10.0}","[[-1, 1], [-1, 1], [1500, 4500], [0, 0.05], [0, 0.05]]",float32-RTM-B2-1024x256-steps16-tall-aspect
