operator,case_id,input_shape,dtype,attrs,value_range,note
SpeculativeVerifyStep,1,"[[8, 4], [8, 5, 32000], [8, 4, 32000], [8, 4], [8]]","[""int32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[0, 31999], [0.0001, 1.0], [0.0001, 1.0], [0.0001, 0.9999], [0.0001, 0.9999]]",int32-SpecVerify-B8T4V32000-llama2-vocab-draft4
SpeculativeVerifyStep,2,"[[8, 8], [8, 9, 32000], [8, 8, 32000], [8, 8], [8]]","[""int32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[0, 31999], [0.0001, 1.0], [0.0001, 1.0], [0.0001, 0.9999], [0.0001, 0.9999]]",int32-SpecVerify-B8T8V32000-llama2-vocab-draft8
SpeculativeVerifyStep,3,"[[4, 16], [4, 17, 32000], [4, 16, 32000], [4, 16], [4]]","[""int32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[0, 31999], [0.0001, 1.0], [0.0001, 1.0], [0.0001, 0.9999], [0.0001, 0.9999]]",int32-SpecVerify-B4T16V32000-llama2-vocab-draft16
SpeculativeVerifyStep,4,"[[32, 4], [32, 5, 32000], [32, 4, 32000], [32, 4], [32]]","[""int32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[0, 31999], [0.0001, 1.0], [0.0001, 1.0], [0.0001, 0.9999], [0.0001, 0.9999]]",int32-SpecVerify-B32T4V32000-batch-serving
SpeculativeVerifyStep,5,"[[8, 4], [8, 5, 128256], [8, 4, 128256], [8, 4], [8]]","[""int32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[0, 128255], [0.0001, 1.0], [0.0001, 1.0], [0.0001, 0.9999], [0.0001, 0.9999]]",int32-SpecVerify-B8T4V128256-llama3-vocab-draft4
SpeculativeVerifyStep,6,"[[4, 8], [4, 9, 128256], [4, 8, 128256], [4, 8], [4]]","[""int32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[0, 128255], [0.0001, 1.0], [0.0001, 1.0], [0.0001, 0.9999], [0.0001, 0.9999]]",int32-SpecVerify-B4T8V128256-llama3-vocab-draft8
SpeculativeVerifyStep,7,"[[2, 16], [2, 17, 128256], [2, 16, 128256], [2, 16], [2]]","[""int32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[0, 128255], [0.0001, 1.0], [0.0001, 1.0], [0.0001, 0.9999], [0.0001, 0.9999]]",int32-SpecVerify-B2T16V128256-llama3-vocab-draft16
SpeculativeVerifyStep,8,"[[16, 4], [16, 5, 128256], [16, 4, 128256], [16, 4], [16]]","[""int32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[0, 128255], [0.0001, 1.0], [0.0001, 1.0], [0.0001, 0.9999], [0.0001, 0.9999]]",int32-SpecVerify-B16T4V128256-llama3-batch16
SpeculativeVerifyStep,9,"[[8, 4], [8, 5, 152064], [8, 4, 152064], [8, 4], [8]]","[""int32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[0, 152063], [0.0001, 1.0], [0.0001, 1.0], [0.0001, 0.9999], [0.0001, 0.9999]]",int32-SpecVerify-B8T4V152064-qwen2.5-vocab-draft4
SpeculativeVerifyStep,10,"[[4, 8], [4, 9, 152064], [4, 8, 152064], [4, 8], [4]]","[""int32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[0, 152063], [0.0001, 1.0], [0.0001, 1.0], [0.0001, 0.9999], [0.0001, 0.9999]]",int32-SpecVerify-B4T8V152064-qwen2.5-vocab-draft8
SpeculativeVerifyStep,11,"[[2, 16], [2, 17, 152064], [2, 16, 152064], [2, 16], [2]]","[""int32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[0, 152063], [0.0001, 1.0], [0.0001, 1.0], [0.0001, 0.9999], [0.0001, 0.9999]]",int32-SpecVerify-B2T16V152064-qwen2.5-vocab-draft16
SpeculativeVerifyStep,12,"[[16, 4], [16, 5, 152064], [16, 4, 152064], [16, 4], [16]]","[""int32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[0, 152063], [0.0001, 1.0], [0.0001, 1.0], [0.0001, 0.9999], [0.0001, 0.9999]]",int32-SpecVerify-B16T4V152064-qwen2.5-batch16
SpeculativeVerifyStep,13,"[[16, 8], [16, 9, 152064], [16, 8, 152064], [16, 8], [16]]","[""int32"", ""float32"", ""float32"", ""float32"", ""float32""]",{},"[[0, 152063], [0.0001, 1.0], [0.0001, 1.0], [0.0001, 0.9999], [0.0001, 0.9999]]",int32-SpecVerify-B16T8V152064-qwen2.5-batch16-draft8
