operator,case_id,input_shape,dtype,attrs,value_range,note
StatevectorAdjointGradient,1,"[[1048576, 2], [256, 4], [64], [20]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n20-G256-T64-flagship
StatevectorAdjointGradient,2,"[[1048576, 2], [128, 4], [32], [20]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n20-G128-T32
StatevectorAdjointGradient,3,"[[262144, 2], [256, 4], [64], [18]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n18-G256-T64
StatevectorAdjointGradient,4,"[[262144, 2], [128, 4], [16], [18]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n18-G128-T16
StatevectorAdjointGradient,5,"[[65536, 2], [256, 4], [32], [16]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n16-G256-T32
StatevectorAdjointGradient,6,"[[65536, 2], [64, 4], [8], [16]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n16-G64-T8
StatevectorAdjointGradient,7,"[[16384, 2], [256, 4], [64], [14]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n14-G256-T64
StatevectorAdjointGradient,8,"[[16384, 2], [128, 4], [16], [14]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n14-G128-T16
StatevectorAdjointGradient,9,"[[4096, 2], [256, 4], [32], [12]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n12-G256-T32
StatevectorAdjointGradient,10,"[[4096, 2], [64, 4], [8], [12]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n12-G64-T8
StatevectorAdjointGradient,11,"[[1024, 2], [256, 4], [64], [10]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n10-G256-T64
StatevectorAdjointGradient,12,"[[1024, 2], [16, 4], [4], [10]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n10-G16-T4-small
StatevectorAdjointGradient,13,"[[65536, 2], [32, 4], [4], [16]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n16-G32-T4
StatevectorAdjointGradient,14,"[[262144, 2], [64, 4], [64], [18]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n18-G64-T64
StatevectorAdjointGradient,15,"[[1048576, 2], [64, 4], [16], [20]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n20-G64-T16
StatevectorAdjointGradient,16,"[[65536, 2], [1, 4], [4], [16]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n16-G1-T4-single-gate
StatevectorAdjointGradient,17,"[[65536, 2], [128, 4], [1], [16]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n16-G128-T1-shared-tid
StatevectorAdjointGradient,18,"[[65536, 2], [128, 4], [16], [16]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [0, 0]]",float32-SVQG-n16-G128-T16-pauli-all-I
StatevectorAdjointGradient,19,"[[65536, 2], [128, 4], [16], [16]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [0, 1073741823], [-3.14159, 3.14159], [3, 3]]",float32-SVQG-n16-G128-T16-pauli-all-Z
StatevectorAdjointGradient,20,"[[16384, 2], [128, 4], [8], [14]]","[""float32"", ""int32"", ""float32"", ""int32""]",{},"[[-1, 1], [3, 3], [-3.14159, 3.14159], [0, 3]]",float32-SVQG-n14-G128-T8-identity-circuit-cnot-qa-eq-qb
