operator,case_id,input_shape,dtype,attrs,value_range,note
ChannelwiseGatedDeltaAttention,1,"[[1, 64, 8, 128], [1, 64, 8, 128], [1, 64, 8, 128], [1, 64, 8, 128], [1, 64, 8], [1, 8, 128, 128]]","['float16', 'float16', 'float16', 'float32', 'float32', 'float32']","{'use_qk_l2norm': True, 'scaleValue': -1.0}","[[-0.2, 0.2], [-0.2, 0.2], [-0.2, 0.2], [-0.1, -0.001], [0.1, 0.9], [0, 0]]",core-hotspot-M-1.752MiB typical-prefill-zero-state
ChannelwiseGatedDeltaAttention,2,"[[1, 128, 16, 128], [1, 128, 16, 128], [1, 128, 16, 128], [1, 128, 16, 128], [1, 128, 16], [1, 16, 128, 128]]","['bfloat16', 'bfloat16', 'bfloat16', 'float32', 'float32', 'float32']","{'use_qk_l2norm': True, 'scaleValue': -1.0}","[[-0.2, 0.2], [-0.2, 0.2], [-0.2, 0.2], [-0.1, -0.001], [0.1, 0.9], [0, 0]]",core-hotspot-L-5.008MiB typical-prefill-bf16
ChannelwiseGatedDeltaAttention,3,"[[4, 1, 16, 128], [4, 1, 16, 128], [4, 1, 16, 128], [4, 1, 16, 128], [4, 1, 16], [4, 16, 128, 128]]","['bfloat16', 'bfloat16', 'bfloat16', 'float32', 'float32', 'float32']","{'use_qk_l2norm': True, 'scaleValue': -1.0}","[[-0.2, 0.2], [-0.2, 0.2], [-0.2, 0.2], [-0.2, -0.001], [0.1, 0.9], [-0.1, 0.1]]",core-hotspot-M-8.094MiB batched-decode-state
ChannelwiseGatedDeltaAttention,4,"[[2, 64, 8, 128], [2, 64, 8, 128], [2, 64, 8, 128], [2, 64, 8, 128], [2, 64, 8], [2, 8, 128, 128]]","['float16', 'float16', 'float16', 'float32', 'float32', 'float32']","{'use_qk_l2norm': True, 'scaleValue': -1.0}","[[-0.2, 0.2], [-0.2, 0.2], [-0.2, 0.2], [-0.1, -0.001], [0.1, 0.9], [-0.1, 0.1]]",core-hotspot-L-3.504MiB continuation-chunk
ChannelwiseGatedDeltaAttention,5,"[[1, 1, 1, 4], [1, 1, 1, 4], [1, 1, 1, 3], [1, 1, 1, 4], [1, 1, 1], [1, 1, 4, 3]]","['float32', 'float32', 'float32', 'float32', 'float32', 'float32']","{'use_qk_l2norm': False, 'scaleValue': -1.0}","[[-0.05, 0.05], [-0.05, 0.05], [-0.2, 0.2], [-0.4, -0.01], [0.2, 0.8], [-0.2, 0.2]]",core-shape-S-0.000MiB tiny-rectangular-state
ChannelwiseGatedDeltaAttention,6,"[[4, 32, 4, 64], [4, 32, 4, 64], [4, 32, 4, 96], [4, 32, 4, 64], [4, 32, 4], [4, 4, 64, 96]]","['float16', 'float16', 'float16', 'float32', 'float32', 'float32']","{'use_qk_l2norm': True, 'scaleValue': -1.0}","[[-0.2, 0.2], [-0.2, 0.2], [-0.2, 0.2], [-0.3, -0.01], [0.1, 0.9], [-0.1, 0.1]]",core-shape-M-1.189MiB batch-head-independence
ChannelwiseGatedDeltaAttention,7,"[[1, 512, 4, 64], [1, 512, 4, 64], [1, 512, 4, 64], [1, 512, 4, 64], [1, 512, 4], [1, 4, 64, 64]]","['bfloat16', 'bfloat16', 'bfloat16', 'float32', 'float32', 'float32']","{'use_qk_l2norm': True, 'scaleValue': -1.0}","[[-0.2, 0.2], [-0.2, 0.2], [-0.2, 0.2], [-0.02, -0.001], [0.1, 0.9], [-0.1, 0.1]]",core-shape-M-1.633MiB long-recurrence
ChannelwiseGatedDeltaAttention,8,"[[1, 128, 8, 64], [1, 128, 8, 64], [1, 128, 8, 128], [1, 128, 8, 64], [1, 128, 8], [1, 8, 64, 128]]","['float16', 'float16', 'float16', 'float32', 'float32', 'float32']","{'use_qk_l2norm': True, 'scaleValue': -1.0}","[[-0.2, 0.2], [-0.2, 0.2], [-0.2, 0.2], [-0.1, -0.001], [0.1, 0.9], [0, 0]]",core-shape-M-1.504MiB rectangular-value-width
ChannelwiseGatedDeltaAttention,9,"[[1, 63, 3, 63], [1, 63, 3, 63], [1, 63, 3, 65], [1, 63, 3, 63], [1, 63, 3], [1, 3, 63, 65]]","['float16', 'float16', 'float16', 'float32', 'float32', 'float32']","{'use_qk_l2norm': True, 'scaleValue': -1.0}","[[-0.2, 0.2], [-0.2, 0.2], [-0.2, 0.2], [-0.2, -0.001], [0.1, 0.9], [-0.1, 0.1]]",core-tail-M-0.232MiB tail-T63-D63x65
ChannelwiseGatedDeltaAttention,10,"[[1, 65, 5, 64], [1, 65, 5, 64], [1, 65, 5, 96], [1, 65, 5, 64], [1, 65, 5], [1, 5, 64, 96]]","['bfloat16', 'bfloat16', 'bfloat16', 'float32', 'float32', 'float32']","{'use_qk_l2norm': True, 'scaleValue': -1.0}","[[-0.2, 0.2], [-0.2, 0.2], [-0.2, 0.2], [-0.2, -0.001], [0.1, 0.9], [0, 0]]",core-tail-M-0.513MiB tail-T65-H5
