operator,case_id,input_shape,dtype,attrs,value_range,note
CompressedSparseAttentionCore,1,"[[1, 16, 64, 512], [1, 4, 512], [1, 16, 512], [1, 16, 4], [64]]","['bfloat16', 'bfloat16', 'bfloat16', 'int32', 'float32']","{'query_start': 0, 'scaleValue': -1.0}","[[-0.3, 0.3], [-0.3, 0.3], [-0.3, 0.3], [0, 3], [-2, 2]]",core-hotspot-L-2.020MiB V4-Flash-head-dim-short-prefill
CompressedSparseAttentionCore,2,"[[1, 1, 128, 512], [1, 1024, 512], [1, 128, 512], [1, 1, 1024], [128]]","['bfloat16', 'bfloat16', 'bfloat16', 'int32', 'float32']","{'query_start': 4095, 'scaleValue': -1.0}","[[-0.3, 0.3], [-0.3, 0.3], [-0.3, 0.3], [0, 1023], [-2, 2]]",core-hotspot-L-1.379MiB V4-Pro-head-dim-topk-decode
CompressedSparseAttentionCore,3,"[[1, 16, 64, 512], [1, 132, 512], [1, 143, 512], [1, 16, 128], [64]]","['bfloat16', 'bfloat16', 'bfloat16', 'int32', 'float32']","{'query_start': 512, 'scaleValue': -1.0}","[[-0.3, 0.3], [-0.3, 0.3], [-0.3, 0.3], [0, 131], [-2, 2]]",core-hotspot-L-2.277MiB V4-head-dim-history-chunk
CompressedSparseAttentionCore,4,"[[2, 1, 64, 512], [2, 2048, 512], [2, 128, 512], [2, 1, 512], [64]]","['bfloat16', 'bfloat16', 'bfloat16', 'int32', 'float32']","{'query_start': 8192, 'scaleValue': -1.0}","[[-0.3, 0.3], [-0.3, 0.3], [-0.3, 0.3], [0, 2047], [-2, 2]]",core-hotspot-L-4.504MiB V4-Flash-batched-decode
CompressedSparseAttentionCore,5,"[[1, 1, 1, 8], [1, 0, 8], [1, 1, 8], [1, 1, 1], [1]]","['float32', 'float32', 'float32', 'int32', 'float32']","{'query_start': 0, 'scaleValue': -1.0}","[[-0.3, 0.3], [-0.3, 0.3], [-0.3, 0.3], [0, 0], [-2, 2]]",core-shape-S-0.000MiB tiny-no-compressed-block
CompressedSparseAttentionCore,6,"[[2, 64, 8, 64], [2, 16, 64], [2, 64, 64], [2, 64, 16], [8]]","['float16', 'float16', 'float16', 'int32', 'float32']","{'query_start': 0, 'scaleValue': -1.0}","[[-0.3, 0.3], [-0.3, 0.3], [-0.3, 0.3], [0, 15], [-2, 2]]",core-shape-M-0.277MiB small-prefill-batch
CompressedSparseAttentionCore,7,"[[1, 1, 16, 128], [1, 8192, 128], [1, 128, 128], [1, 1, 128], [16]]","['bfloat16', 'bfloat16', 'bfloat16', 'int32', 'float32']","{'query_start': 32768, 'scaleValue': -1.0}","[[-0.3, 0.3], [-0.3, 0.3], [-0.3, 0.3], [0, 8191], [-2, 2]]",core-shape-S-2.040MiB 32K-context-sparse-decode
CompressedSparseAttentionCore,8,"[[1, 64, 16, 128], [1, 144, 128], [1, 191, 128], [1, 64, 128], [16]]","['float16', 'float16', 'float16', 'int32', 'float32']","{'query_start': 512, 'scaleValue': -1.0}","[[-0.3, 0.3], [-0.3, 0.3], [-0.3, 0.3], [0, 143], [-2, 2]]",core-shape-L-0.613MiB multi-query-shared-kv
CompressedSparseAttentionCore,9,"[[1, 3, 3, 63], [1, 32, 63], [1, 130, 63], [1, 3, 31], [3]]","['float16', 'float16', 'float16', 'int32', 'float32']","{'query_start': 127, 'scaleValue': -1.0}","[[-0.3, 0.3], [-0.3, 0.3], [-0.3, 0.3], [0, 31], [-2, 2]]",core-tail-S-0.022MiB tail-window-eviction-D63-K31
CompressedSparseAttentionCore,10,"[[1, 7, 5, 65], [1, 34, 65], [1, 134, 65], [1, 7, 33], [5]]","['bfloat16', 'bfloat16', 'bfloat16', 'int32', 'float32']","{'query_start': 130, 'scaleValue': -1.0}","[[-0.3, 0.3], [-0.3, 0.3], [-0.3, 0.3], [0, 33], [-2, 2]]",core-tail-S-0.030MiB tail-query-D65-K33
CompressedSparseAttentionCore,11,"[[2, 5, 7, 31], [2, 2, 31], [2, 8, 31], [2, 5, 3], [7]]","['float32', 'float32', 'float32', 'int32', 'float32']","{'query_start': 3, 'scaleValue': -1.0}","[[-0.3, 0.3], [-0.3, 0.3], [-0.3, 0.3], [0, 1], [-2, 2]]",core-tail-S-0.019MiB tail-block-completion-D31
CompressedSparseAttentionCore,12,"[[1, 17, 4, 64], [1, 36, 64], [1, 144, 64], [1, 17, 32], [4]]","['float32', 'float32', 'float32', 'int32', 'float32']","{'query_start': 128, 'scaleValue': -1.0}","[[-0.3, 0.3], [-0.3, 0.3], [-0.3, 0.3], [0, 35], [-2, 2]]",core-dtype-S-0.079MiB fp32-reference-path
CompressedSparseAttentionCore,13,"[[1, 8, 4, 64], [1, 130, 64], [1, 135, 64], [1, 8, 64], [4]]","['float16', 'float16', 'float16', 'int32', 'float32']","{'query_start': 512, 'scaleValue': -1.0}","[[-8, 8], [-8, 8], [-8, 8], [0, 129], [-20, 20]]",core-dtype-S-0.042MiB large-logits-stable-softmax
