operator,case_id,input_shape,dtype,attrs,value_range,note
PointsIn2DBoxesMask,1,"[[16, 2], [4]]","[""float32"", ""float32""]","{""image_width"": 640, ""image_height"": 480, ""use_image_bounds"": true}","[0, 640]",S-float32-单框-图像内点-基础功能 | baseline_kernels: Compare×6 + And×5
PointsIn2DBoxesMask,2,"[[32, 2], [3, 4]]","[""float32"", ""float32""]","{""image_width"": 1280, ""image_height"": 720, ""use_image_bounds"": true}","[0, 1280]",S-float32-多框-非batch-KxN输出 | baseline_kernels: Broadcast×1 + Compare×6 + And×5
PointsIn2DBoxesMask,3,"[[2, 24, 2], [4]]","[""float32"", ""float32""]","{""image_width"": 640, ""image_height"": 480, ""use_image_bounds"": true}","[-32, 672]",S-float32-batch点-共享单框-含越界点 | baseline_kernels: Broadcast×1 + Compare×6 + And×5
PointsIn2DBoxesMask,4,"[[2, 24, 2], [2, 4]]","[""float32"", ""float32""]","{""image_width"": 640, ""image_height"": 480, ""use_image_bounds"": true}","[0, 640]",S-float32-batch点-每batch单框 | baseline_kernels: Compare×6 + And×5
PointsIn2DBoxesMask,5,"[[2, 32, 2], [2, 4, 4]]","[""float32"", ""float32""]","{""image_width"": 800, ""image_height"": 600, ""use_image_bounds"": true}","[-80, 880]",S-float32-batch多框-BxKxN输出 | baseline_kernels: Broadcast×1 + Compare×6 + And×5
PointsIn2DBoxesMask,6,"[[64, 2], [8, 4]]","[""float16"", ""float16""]","{""image_width"": 1920, ""image_height"": 1080, ""use_image_bounds"": true}","[0, 1920]",S-float16-多框-对齐shape | baseline_kernels: Broadcast×1 + Compare×6 + And×5
PointsIn2DBoxesMask,7,"[[128, 2], [16, 4]]","[""float32"", ""float32""]","{""image_width"": 1920, ""image_height"": 1080, ""use_image_bounds"": true}","[-256, 2176]",S-float32-负坐标-图像边界过滤 | baseline_kernels: Broadcast×1 + Compare×6 + And×5
PointsIn2DBoxesMask,8,"[[16384, 2], [32, 4]]","[""float32"", ""float32""]","{""image_width"": 1242, ""image_height"": 375, ""use_image_bounds"": true}","[-100, 1342]",M-float32-KITTI尺寸-16384个投影点-32框 | baseline_kernels: Broadcast×1 + Compare×6 + And×5
PointsIn2DBoxesMask,9,"[[32768, 2], [64, 4]]","[""float32"", ""float32""]","{""image_width"": 1600, ""image_height"": 900, ""use_image_bounds"": true}","[-160, 1760]",M-float32-单帧32768个投影点-64框 | baseline_kernels: Broadcast×1 + Compare×6 + And×5
PointsIn2DBoxesMask,10,"[[65536, 2], [32, 4]]","[""float32"", ""float32""]","{""image_width"": 1920, ""image_height"": 1080, ""use_image_bounds"": true}","[-320, 2240]",L-float32-单帧65536个投影点-32框 | baseline_kernels: Broadcast×1 + Compare×6 + And×5
PointsIn2DBoxesMask,11,"[[8, 2], [2, 4]]","[""float32"", ""float32""]","{""image_width"": 10, ""image_height"": 10, ""use_image_bounds"": true}","[-1, 11]",S-float32-边界点-x2y2开区间-启用图像边界 | baseline_kernels: Broadcast×1 + Compare×6 + And×5
PointsIn2DBoxesMask,12,"[[8, 2], [2, 4]]","[""float32"", ""float32""]","{""image_width"": 10, ""image_height"": 10, ""use_image_bounds"": false}","[-5, 15]",S-float32-关闭图像边界-仅按框判断 | baseline_kernels: Broadcast×1 + Compare×4 + And×3
PointsIn2DBoxesMask,13,"[[20, 2], [4]]","[""int32"", ""int32""]","{""image_width"": 640, ""image_height"": 480, ""use_image_bounds"": true}","[-20, 660]",S-int32-整数坐标-单框 | baseline_kernels: Compare×6 + And×5
PointsIn2DBoxesMask,14,"[[20, 2], [5, 4]]","[""int64"", ""int64""]","{""image_width"": 640, ""image_height"": 480, ""use_image_bounds"": true}","[-20, 660]",S-int64-整数坐标-多框 | baseline_kernels: Broadcast×1 + Compare×6 + And×5
PointsIn2DBoxesMask,15,"[[3, 40, 2], [3, 6, 4]]","[""float64"", ""float64""]","{""image_width"": 2048, ""image_height"": 1024, ""use_image_bounds"": true}","[-128, 2176]",S-float64-batch多框-高精度输入 | baseline_kernels: Broadcast×1 + Compare×6 + And×5
PointsIn2DBoxesMask,16,"[[1, 1, 2], [1, 1, 4]]","[""float32"", ""float32""]","{""image_width"": 1, ""image_height"": 1, ""use_image_bounds"": true}","[0, 1]",S-float32-最小batch-shape | baseline_kernels: Compare×6 + And×5
PointsIn2DBoxesMask,17,"[[4, 8192, 2], [4, 32, 4]]","[""float32"", ""float32""]","{""image_width"": 3840, ""image_height"": 2160, ""use_image_bounds"": true}","[-512, 4352]",L-float32-4K图像-batch4-每帧8192个投影点-32框 | baseline_kernels: Broadcast×1 + Compare×6 + And×5
PointsIn2DBoxesMask,18,"[[2, 16384, 2], [2, 64, 4]]","[""float32"", ""float32""]","{""image_width"": 1280, ""image_height"": 720, ""use_image_bounds"": true}","[-128, 1408]",L-float32-batch2-每帧16384个投影点-64框 | baseline_kernels: Broadcast×1 + Compare×6 + And×5
PointsIn2DBoxesMask,19,"[[2, 16384, 2], [2, 64, 4]]","[""float16"", ""float16""]","{""image_width"": 1920, ""image_height"": 1080, ""use_image_bounds"": true}","[-256, 2176]",L-float16-batch2-每帧16384个投影点-64框 | baseline_kernels: Broadcast×1 + Compare×6 + And×5
PointsIn2DBoxesMask,20,"[[32768, 2], [32, 4]]","[""float32"", ""float32""]","{""image_width"": 1920, ""image_height"": 1080, ""use_image_bounds"": false}","[-512, 2432]",M-float32-32768个投影点-32框-关闭图像边界 | baseline_kernels: Broadcast×1 + Compare×4 + And×3
