operator,case_id,input_shape,dtype,attrs,value_range,note
PointsToImage,1,"[[1024, 3], [3, 4]]","[""float32"", ""float32""]","{""eps"": 1e-6}","[-10, 10]",S-float32-单投影矩阵-1K点-基础功能 | baseline_kernels: Cat×1 + MatMul×1 + Clamp×1 + Div×1
PointsToImage,2,"[[4096, 3], [3, 4]]","[""float32"", ""float32""]","{""eps"": 1e-6}","[-50, 50]",S-float32-单投影矩阵-4K点 | baseline_kernels: Cat×1 + MatMul×1 + Clamp×1 + Div×1
PointsToImage,3,"[[8192, 3], [3, 4]]","[""float16"", ""float16""]","{""eps"": 1e-6}","[-20, 20]",S-float16-单投影矩阵-8K点 | baseline_kernels: Cast×2 + Cat×1 + MatMul×1 + Clamp×1 + Div×1
PointsToImage,4,"[[2, 8192, 3], [3, 4]]","[""float32"", ""float32""]","{""eps"": 1e-6}","[-30, 30]",M-float32-batch2-每帧8192个3D点-共享投影矩阵 | baseline_kernels: Reshape×2 + Cat×1 + MatMul×1 + Div×1
PointsToImage,5,"[[2, 8192, 3], [2, 3, 4]]","[""float32"", ""float32""]","{""eps"": 1e-6}","[-30, 30]",M-float32-batch2-每帧8192个3D点-batch投影矩阵 | baseline_kernels: BatchMatMul×1 + Clamp×1 + Div×1
PointsToImage,6,"[[4, 1024, 3], [4, 3, 4]]","[""float16"", ""float16""]","{""eps"": 1e-6}","[-20, 20]",S-float16-batch投影-4x1K点 | baseline_kernels: Cast×2 + BatchMatMul×1 + Clamp×1 + Div×1
PointsToImage,7,"[[8, 4096, 3], [8, 3, 4]]","[""float32"", ""float32""]","{""eps"": 1e-6}","[-100, 100]",M-float32-batch8-每帧4096个3D点 | baseline_kernels: BatchMatMul×1 + Clamp×1 + Div×1
PointsToImage,8,"[[2, 8, 2048, 3], [2, 3, 4]]","[""float32"", ""float32""]","{""eps"": 1e-6}","[-80, 80]",M-float32-batch2-8组ROI/体素-每组2048个3D点 | baseline_kernels: Reshape×2 + BatchMatMul×1 + Div×1
PointsToImage,9,"[[4, 16, 1024, 3], [4, 3, 4]]","[""float32"", ""float32""]","{""eps"": 1e-6}","[-80, 80]",L-float32-batch4-16组ROI/体素-总65536个3D点 | baseline_kernels: Reshape×2 + BatchMatMul×1 + Div×1
PointsToImage,10,"[[65536, 3], [3, 4]]","[""float32"", ""float32""]","{""eps"": 1e-6}","[-100, 100]",M-float32-大规模点云-64K点 | baseline_kernels: Cat×1 + MatMul×1 + Clamp×1 + Div×1
PointsToImage,11,"[[4097, 3], [3, 4]]","[""float32"", ""float32""]","{""eps"": 1e-6}","[-10, 10]",S-float32-质数非对齐点数 | baseline_kernels: Cat×1 + MatMul×1 + Clamp×1 + Div×1
PointsToImage,12,"[[2, 4099, 3], [2, 3, 4]]","[""float32"", ""float32""]","{""eps"": 1e-6}","[-10, 10]",M-float32-batch质数非对齐点数 | baseline_kernels: BatchMatMul×1 + Clamp×1 + Div×1
PointsToImage,13,"[[2048, 3], [3, 4]]","[""float64"", ""float64""]","{""eps"": 1e-8}","[-5, 5]",S-float64-高精度小eps | baseline_kernels: Cat×1 + MatMul×1 + Clamp×1 + Div×1
PointsToImage,14,"[[1024, 3], [3, 4]]","[""float32"", ""float32""]","{""eps"": 0.0001}","[-1, 1]",S-float32-小深度保护-eps=1e-4 | baseline_kernels: Cat×1 + MatMul×1 + Clamp×1 + Div×1
PointsToImage,15,"[[1024, 3], [3, 4]]","[""float32"", ""float32""]","{""eps"": 0.001}","[-1, 1]",S-float32-小深度保护-eps=1e-3 | baseline_kernels: Cat×1 + MatMul×1 + Clamp×1 + Div×1
PointsToImage,16,"[[1, 3], [3, 4]]","[""float32"", ""float32""]","{""eps"": 1e-6}","[0, 1]",S-float32-最小单点shape | baseline_kernels: Cat×1 + MatMul×1 + Clamp×1 + Div×1
PointsToImage,17,"[[1, 1, 3], [1, 3, 4]]","[""float32"", ""float32""]","{""eps"": 1e-6}","[0, 1]",S-float32-最小batch shape | baseline_kernels: BatchMatMul×1 + Clamp×1 + Div×1
PointsToImage,18,"[[3, 7, 2048, 3], [3, 3, 4]]","[""float16"", ""float16""]","{""eps"": 1e-6}","[-20, 20]",L-float16-batch3-7组ROI/体素-总43008个3D点 | baseline_kernels: Cast×2 + BatchMatMul×1 + Clamp×1 + Div×1
PointsToImage,19,"[[32768, 3], [3, 4]]","[""float32"", ""float32""]","{""eps"": 1e-6}","[-1000, 1000]",M-float32-大值域点云 | baseline_kernels: Cat×1 + MatMul×1 + Clamp×1 + Div×1
PointsToImage,20,"[[4, 8192, 3], [4, 3, 4]]","[""float32"", ""float32""]","{""eps"": 1e-6}","[-100, 100]",L-float32-batch4-每帧8192个3D点-总32768点 | baseline_kernels: BatchMatMul×1 + Clamp×1 + Div×1
