operator,case_id,input_shape,dtype,attrs,value_range,note
FusedConvTanh,1,"[[1, 32, 16, 16], [32, 32, 3, 3], [32]]","[""float16"", ""float16"", ""float16""]","{""dilations"": [1, 1], ""pads"": [1, 1, 1, 1], ""strides"": [1, 1]}","[[-1, 1], [-0.1, 0.1], [-0.1, 0.1]]",S-float16-32K-3x3k-same_pad
FusedConvTanh,2,"[[2, 64, 32, 32], [64, 64, 3, 3], [64]]","[""float16"", ""float16"", ""float16""]","{""dilations"": [1, 1], ""pads"": [1, 1, 1, 1], ""strides"": [1, 1]}","[[-1, 1], [-0.1, 0.1], [-0.1, 0.1]]",S-float16-256K-3x3k-same_pad
FusedConvTanh,3,"[[4, 128, 64, 64], [128, 128, 3, 3], [128]]","[""float32"", ""float32"", ""float32""]","{""dilations"": [1, 1], ""pads"": [1, 1, 1, 1], ""strides"": [1, 1]}","[[-0.1, 0.1], [-0.1, 0.1], [-0.01, 0.01]]",M-float32-8M-3x3k-same_pad
FusedConvTanh,4,"[[2, 64, 32, 32], [128, 64, 3, 3], [128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""dilations"": [1, 1], ""pads"": [1, 1, 1, 1], ""strides"": [1, 1]}","[[-3, 3], [-0.3, 0.3], [-0.3, 0.3]]",M-bfloat16-8M-3x3k-same_pad-reduced
FusedConvTanh,5,"[[1, 64, 56, 56], [128, 64, 1, 1], [128]]","[""float16"", ""float16"", ""float16""]","{""dilations"": [1, 1], ""pads"": [0, 0, 0, 0], ""strides"": [2, 2]}","[[-1, 1], [-0.1, 0.1], [-0.1, 0.1]]",S-float16-1x1k-stride2-no_pad
FusedConvTanh,6,"[[4, 64, 16, 16], [64, 64, 3, 3], [64]]","[""float16"", ""float16"", ""float16""]","{""dilations"": [1, 1], ""pads"": [1, 1, 1, 1], ""strides"": [1, 1]}","[[-1, 1], [-0.05, 0.05], [-0.05, 0.05]]",M-float16-batch4-64ch-3x3k
FusedConvTanh,7,"[[2, 64, 64, 64], [64, 64, 3, 3], [64]]","[""float32"", ""float32"", ""float32""]","{""dilations"": [1, 1], ""pads"": [1, 1, 1, 1], ""strides"": [1, 1]}","[[-1, 1], [-0.5, 0.5], [-0.5, 0.5]]",M-float32-64ch-3x3k-wide_range
FusedConvTanh,8,"[[1, 128, 64, 64], [256, 128, 3, 3], [256]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""dilations"": [1, 1], ""pads"": [1, 1, 1, 1], ""strides"": [2, 2]}","[[-3, 3], [-0.3, 0.3], [-0.3, 0.3]]",M-bfloat16-stride2-downsample
FusedConvTanh,9,"[[2, 32, 32, 32], [32, 32, 3, 3], [32]]","[""float16"", ""float16"", ""float16""]","{""dilations"": [1, 1], ""pads"": [1, 1, 1, 1], ""strides"": [1, 1]}","[[-1, 1], [-0.05, 0.05], [-0.05, 0.05]]",M-float16-batch2-32ch-medium
FusedConvTanh,10,"[[1, 3, 224, 224], [64, 3, 7, 7], [64]]","[""float32"", ""float32"", ""float32""]","{""dilations"": [1, 1], ""pads"": [3, 3, 3, 3], ""strides"": [2, 2]}","[[-1, 1], [-0.1, 0.1], [-0.01, 0.01]]",S-float32-resnet_stem-7x7k-stride2
FusedConvTanh,11,"[[2, 128, 32, 32], [128, 128, 3, 3], [128]]","[""float16"", ""float16"", ""float16""]","{""dilations"": [2, 2], ""pads"": [2, 2, 2, 2], ""strides"": [1, 1]}","[[-1, 1], [-0.1, 0.1], [-0.1, 0.1]]",M-float16-dilated-3x3k-dilation2
FusedConvTanh,12,"[[1, 128, 16, 16], [128, 128, 1, 1], [128]]","[""float32"", ""float32"", ""float32""]","{""dilations"": [1, 1], ""pads"": [0, 0, 0, 0], ""strides"": [1, 1]}","[[-0.1, 0.1], [-0.1, 0.1], [-0.01, 0.01]]",S-float32-128ch-1x1k-pointwise
FusedConvTanh,13,"[[16, 32, 8, 8], [32, 32, 3, 3], [32]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""dilations"": [1, 1], ""pads"": [1, 1, 1, 1], ""strides"": [1, 1]}","[[-3, 3], [-0.3, 0.3], [-0.3, 0.3]]",S-bfloat16-large_batch16-small_spatial
FusedConvTanh,14,"[[1, 64, 256, 256], [64, 64, 3, 3], [64]]","[""float16"", ""float16"", ""float16""]","{""dilations"": [1, 1], ""pads"": [1, 1, 1, 1], ""strides"": [1, 1]}","[[-1, 1], [-0.1, 0.1], [-0.1, 0.1]]",L-float16-large_spatial-256x256
FusedConvTanh,15,"[[2, 128, 16, 16], [128, 128, 1, 1], [128]]","[""float32"", ""float32"", ""float32""]","{""dilations"": [1, 1], ""pads"": [0, 0, 0, 0], ""strides"": [1, 1]}","[[-0.1, 0.1], [-0.05, 0.05], [-0.01, 0.01]]",M-float32-128ch-1x1k
FusedConvTanh,16,"[[4, 32, 64, 64], [64, 32, 3, 3], [64]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""dilations"": [1, 1], ""pads"": [1, 1, 1, 1], ""strides"": [2, 2]}","[[-3, 3], [-0.3, 0.3], [-0.3, 0.3]]",M-bfloat16-stride2-channel_expansion
FusedConvTanh,17,"[[1, 64, 32, 32], [64, 64, 3, 3], [64]]","[""float16"", ""float16"", ""float16""]","{""dilations"": [1, 1], ""pads"": [2, 2, 2, 2], ""strides"": [1, 1]}","[[-1, 1], [-0.1, 0.1], [-0.1, 0.1]]",M-float16-64ch-3x3k
FusedConvTanh,18,"[[2, 64, 48, 48], [64, 64, 3, 3], [64]]","[""float32"", ""float32"", ""float32""]","{""dilations"": [1, 1], ""pads"": [1, 1, 1, 1], ""strides"": [1, 1]}","[[-0.1, 0.1], [-0.1, 0.1], [-0.01, 0.01]]",M-float32-non_power2_spatial-48x48
FusedConvTanh,19,"[[1, 64, 16, 16], [128, 64, 3, 3], [128]]","[""float16"", ""float16"", ""float16""]","{""dilations"": [1, 1], ""pads"": [1, 1, 1, 1], ""strides"": [1, 1]}","[[-1, 1], [-0.1, 0.1], [-0.1, 0.1]]",M-float16-64ch-128out-3x3k
