operator,case_id,input_shape,dtype,attrs,value_range,note
FusedRMSNormPosQKVQKNorm,1,"[[1, 128, 256], [256], [1, 128, 256], [256, 768], [256], [256]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""eps"": 1e-06, ""num_heads"": 4}","[[-1, 1], [0.5, 1.5], [-0.1, 0.1], [-0.05, 0.05], [0.5, 1.5], [0.5, 1.5]]",S-float16-B1S128D256-4heads
FusedRMSNormPosQKVQKNorm,2,"[[2, 256, 512], [512], [1, 256, 512], [512, 1536], [512], [512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""eps"": 1e-06, ""num_heads"": 8}","[[-1, 1], [0.5, 1.5], [-0.1, 0.1], [-0.05, 0.05], [0.5, 1.5], [0.5, 1.5]]",M-float16-B2S256D512-8heads
FusedRMSNormPosQKVQKNorm,3,"[[1, 512, 256], [256], [1, 512, 256], [256, 768], [256], [256]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""eps"": 1e-06, ""num_heads"": 4}","[[-1, 1], [0.5, 1.5], [-0.1, 0.1], [-0.03, 0.03], [0.5, 1.5], [0.5, 1.5]]",M-bfloat16-B1S512D256-4heads
FusedRMSNormPosQKVQKNorm,4,"[[4, 128, 256], [256], [1, 128, 256], [256, 768], [256], [256]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""eps"": 1e-06, ""num_heads"": 4}","[[-1, 1], [0.5, 1.5], [-0.1, 0.1], [-0.05, 0.05], [0.5, 1.5], [0.5, 1.5]]",M-float16-B4S128D256-4heads
FusedRMSNormPosQKVQKNorm,5,"[[1, 1024, 512], [512], [1, 1024, 512], [512, 1536], [512], [512]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""eps"": 1e-06, ""num_heads"": 8}","[[-1, 1], [0.5, 1.5], [-0.1, 0.1], [-0.05, 0.05], [0.5, 1.5], [0.5, 1.5]]",L-float16-B1S1024D512-8heads
FusedRMSNormPosQKVQKNorm,6,"[[2, 256, 256], [256], [1, 256, 256], [256, 768], [256], [256]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""eps"": 1e-06, ""num_heads"": 4}","[[-1, 1], [0.5, 1.5], [-0.1, 0.1], [-0.05, 0.05], [0.5, 1.5], [0.5, 1.5]]",M-bfloat16-B2S256D256-4heads
FusedRMSNormPosQKVQKNorm,7,"[[1, 64, 128], [128], [1, 64, 128], [128, 384], [128], [128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""eps"": 1e-06, ""num_heads"": 2}","[[-1, 1], [0.5, 1.5], [-0.1, 0.1], [-0.1, 0.1], [0.5, 1.5], [0.5, 1.5]]",S-float16-B1S64D128-2heads
FusedRMSNormPosQKVQKNorm,8,"[[8, 128, 256], [256], [1, 128, 256], [256, 768], [256], [256]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""eps"": 1e-06, ""num_heads"": 4}","[[-1, 1], [0.5, 1.5], [-0.1, 0.1], [-0.05, 0.05], [0.5, 1.5], [0.5, 1.5]]",M-float16-B8S128D256-4heads
FusedRMSNormPosQKVQKNorm,9,"[[1, 256, 256], [256], [1, 256, 256], [256, 768], [256], [256]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""eps"": 1e-06, ""num_heads"": 4}","[[-1, 1], [0.5, 1.5], [-0.1, 0.1], [-0.03, 0.03], [0.5, 1.5], [0.5, 1.5]]",S-bfloat16-B1S256D256-4heads
FusedRMSNormPosQKVQKNorm,10,"[[2, 512, 256], [256], [1, 512, 256], [256, 768], [256], [256]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""eps"": 1e-06, ""num_heads"": 4}","[[-1, 1], [0.5, 1.5], [-0.1, 0.1], [-0.05, 0.05], [0.5, 1.5], [0.5, 1.5]]",M-float16-B2S512D256-4heads
