operator,case_id,input_shape,dtype,attrs,value_range,note
CategoricalEmbeddingBag,1,"[[2, 4, 2], [32, 16], [4, 16]]","[""int64"", ""float16"", ""float16""]","{""mean_pool"": false, ""padding_idx"": -1}","[[0, 39], [-0.5, 0.5], [-0.1, 0.1]]",case1-B2-F4-Bag2-V32-D16-float16-biasTrue
CategoricalEmbeddingBag,2,"[[4, 8, 4], [64, 32], [8, 32]]","[""int64"", ""bfloat16"", ""bfloat16""]","{""mean_pool"": false, ""padding_idx"": -1}","[[0, 71], [-0.5, 0.5], [-0.1, 0.1]]",case2-B4-F8-Bag4-V64-D32-bfloat16-biasTrue
CategoricalEmbeddingBag,3,"[[8, 16, 8], [128, 64], [16, 64]]","[""int64"", ""float32"", ""float32""]","{""mean_pool"": true, ""padding_idx"": -1}","[[0, 135], [-0.5, 0.5], [-0.1, 0.1]]",case3-B8-F16-Bag8-V128-D64-float32-biasTrue
CategoricalEmbeddingBag,4,"[[1, 2, 1], [256, 128], null]","[""int64"", ""float16"", null]","{""mean_pool"": false, ""padding_idx"": -1}","[[0, 263], [-0.5, 0.5], null]",case4-B1-F2-Bag1-V256-D128-float16-biasFalse
CategoricalEmbeddingBag,5,"[[2, 4, 2], [16, 8], [4, 8]]","[""int64"", ""bfloat16"", ""bfloat16""]","{""mean_pool"": false, ""padding_idx"": -1}","[[0, 23], [-0.5, 0.5], [-0.1, 0.1]]",case5-B2-F4-Bag2-V16-D8-bfloat16-biasTrue
CategoricalEmbeddingBag,6,"[[4, 8, 4], [32, 16], [8, 16]]","[""int64"", ""float32"", ""float32""]","{""mean_pool"": true, ""padding_idx"": -1}","[[0, 39], [-0.5, 0.5], [-0.1, 0.1]]",case6-B4-F8-Bag4-V32-D16-float32-biasTrue
CategoricalEmbeddingBag,7,"[[8, 16, 8], [64, 32], [16, 32]]","[""int64"", ""float16"", ""float16""]","{""mean_pool"": false, ""padding_idx"": -1}","[[0, 71], [-0.5, 0.5], [-0.1, 0.1]]",case7-B8-F16-Bag8-V64-D32-float16-biasTrue
CategoricalEmbeddingBag,8,"[[1, 2, 1], [128, 64], null]","[""int64"", ""bfloat16"", null]","{""mean_pool"": false, ""padding_idx"": -1}","[[0, 135], [-0.5, 0.5], null]",case8-B1-F2-Bag1-V128-D64-bfloat16-biasFalse
CategoricalEmbeddingBag,9,"[[2, 4, 2], [256, 128], [4, 128]]","[""int64"", ""float32"", ""float32""]","{""mean_pool"": true, ""padding_idx"": -1}","[[0, 263], [-0.5, 0.5], [-0.1, 0.1]]",case9-B2-F4-Bag2-V256-D128-float32-biasTrue
CategoricalEmbeddingBag,10,"[[4, 8, 4], [16, 8], [8, 8]]","[""int64"", ""float16"", ""float16""]","{""mean_pool"": false, ""padding_idx"": -1}","[[0, 23], [-0.5, 0.5], [-0.1, 0.1]]",case10-B4-F8-Bag4-V16-D8-float16-biasTrue
CategoricalEmbeddingBag,11,"[[8, 16, 8], [32, 16], [16, 16]]","[""int64"", ""bfloat16"", ""bfloat16""]","{""mean_pool"": false, ""padding_idx"": -1}","[[0, 39], [-0.5, 0.5], [-0.1, 0.1]]",case11-B8-F16-Bag8-V32-D16-bfloat16-biasTrue
CategoricalEmbeddingBag,12,"[[1, 2, 1], [64, 32], null]","[""int64"", ""float32"", null]","{""mean_pool"": true, ""padding_idx"": -1}","[[0, 71], [-0.5, 0.5], null]",case12-B1-F2-Bag1-V64-D32-float32-biasFalse
CategoricalEmbeddingBag,13,"[[2, 4, 2], [128, 64], [4, 64]]","[""int64"", ""float16"", ""float16""]","{""mean_pool"": false, ""padding_idx"": -1}","[[0, 135], [-0.5, 0.5], [-0.1, 0.1]]",case13-B2-F4-Bag2-V128-D64-float16-biasTrue
CategoricalEmbeddingBag,14,"[[4, 8, 4], [256, 128], [8, 128]]","[""int64"", ""bfloat16"", ""bfloat16""]","{""mean_pool"": false, ""padding_idx"": -1}","[[0, 263], [-0.5, 0.5], [-0.1, 0.1]]",case14-B4-F8-Bag4-V256-D128-bfloat16-biasTrue
CategoricalEmbeddingBag,15,"[[8, 16, 8], [16, 8], [16, 8]]","[""int64"", ""float32"", ""float32""]","{""mean_pool"": true, ""padding_idx"": -1}","[[0, 23], [-0.5, 0.5], [-0.1, 0.1]]",case15-B8-F16-Bag8-V16-D8-float32-biasTrue
CategoricalEmbeddingBag,16,"[[1, 2, 1], [32, 16], null]","[""int64"", ""float16"", null]","{""mean_pool"": false, ""padding_idx"": -1}","[[0, 39], [-0.5, 0.5], null]",case16-B1-F2-Bag1-V32-D16-float16-biasFalse
CategoricalEmbeddingBag,17,"[[2, 4, 2], [64, 32], [4, 32]]","[""int64"", ""bfloat16"", ""bfloat16""]","{""mean_pool"": false, ""padding_idx"": -1}","[[0, 71], [-0.5, 0.5], [-0.1, 0.1]]",case17-B2-F4-Bag2-V64-D32-bfloat16-biasTrue
