operator,case_id,input_shape,dtype,attrs,value_range,note
Downsample2D,1,"[[2, 3, 31, 29]]","[""float16""]","{""kernel_h"": 3, ""kernel_w"": 4, ""stride_h"": 2, ""stride_w"": 1, ""pad_h"": 1, ""pad_w"": 0}","[[-2, 2]]",case1-B2-C3-HxW31x29-k3x4-s2x1-p1x0-float16
Downsample2D,2,"[[4, 8, 64, 80]]","[""bfloat16""]","{""kernel_h"": 4, ""kernel_w"": 2, ""stride_h"": 3, ""stride_w"": 2, ""pad_h"": 0, ""pad_w"": 1}","[[-2, 2]]",case2-B4-C8-HxW64x80-k4x2-s3x2-p0x1-bfloat16
Downsample2D,3,"[[1, 16, 96, 112]]","[""float32""]","{""kernel_h"": 2, ""kernel_w"": 3, ""stride_h"": 1, ""stride_w"": 3, ""pad_h"": 1, ""pad_w"": 0}","[[-2, 2]]",case3-B1-C16-HxW96x112-k2x3-s1x3-p1x0-float32
Downsample2D,4,"[[1, 1, 128, 160]]","[""float16""]","{""kernel_h"": 3, ""kernel_w"": 4, ""stride_h"": 2, ""stride_w"": 1, ""pad_h"": 0, ""pad_w"": 1}","[[-2, 2]]",case4-B1-C1-HxW128x160-k3x4-s2x1-p0x1-float16
Downsample2D,5,"[[2, 3, 16, 16]]","[""bfloat16""]","{""kernel_h"": 4, ""kernel_w"": 2, ""stride_h"": 3, ""stride_w"": 2, ""pad_h"": 1, ""pad_w"": 0}","[[-2, 2]]",case5-B2-C3-HxW16x16-k4x2-s3x2-p1x0-bfloat16
Downsample2D,6,"[[4, 8, 31, 29]]","[""float32""]","{""kernel_h"": 2, ""kernel_w"": 3, ""stride_h"": 1, ""stride_w"": 3, ""pad_h"": 0, ""pad_w"": 1}","[[-2, 2]]",case6-B4-C8-HxW31x29-k2x3-s1x3-p0x1-float32
Downsample2D,7,"[[1, 16, 64, 80]]","[""float16""]","{""kernel_h"": 3, ""kernel_w"": 4, ""stride_h"": 2, ""stride_w"": 1, ""pad_h"": 1, ""pad_w"": 0}","[[-2, 2]]",case7-B1-C16-HxW64x80-k3x4-s2x1-p1x0-float16
Downsample2D,8,"[[1, 1, 96, 112]]","[""bfloat16""]","{""kernel_h"": 4, ""kernel_w"": 2, ""stride_h"": 3, ""stride_w"": 2, ""pad_h"": 0, ""pad_w"": 1}","[[-2, 2]]",case8-B1-C1-HxW96x112-k4x2-s3x2-p0x1-bfloat16
Downsample2D,9,"[[2, 3, 128, 160]]","[""float32""]","{""kernel_h"": 2, ""kernel_w"": 3, ""stride_h"": 1, ""stride_w"": 3, ""pad_h"": 1, ""pad_w"": 0}","[[-2, 2]]",case9-B2-C3-HxW128x160-k2x3-s1x3-p1x0-float32
Downsample2D,10,"[[4, 8, 16, 16]]","[""float16""]","{""kernel_h"": 3, ""kernel_w"": 4, ""stride_h"": 2, ""stride_w"": 1, ""pad_h"": 0, ""pad_w"": 1}","[[-2, 2]]",case10-B4-C8-HxW16x16-k3x4-s2x1-p0x1-float16
