operator,case_id,input_shape,dtype,attrs,value_range,note
ImageResizeNormalize,1,"[[2, 3, 31, 29], [3], [3]]","[""float16"", ""float16"", ""float16""]","{""out_h"": 32, ""out_w"": 48, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case1-B2-C3-HxW31x29-out32x48-float16-alignFalse
ImageResizeNormalize,2,"[[4, 4, 64, 80], [4], [4]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""out_h"": 64, ""out_w"": 96, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case2-B4-C4-HxW64x80-out64x96-bfloat16-alignFalse
ImageResizeNormalize,3,"[[1, 8, 127, 128], [8], [8]]","[""float32"", ""float32"", ""float32""]","{""out_h"": 128, ""out_w"": 160, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case3-B1-C8-HxW127x128-out128x160-float32-alignFalse
ImageResizeNormalize,4,"[[1, 1, 224, 256], [1], [1]]","[""float16"", ""float16"", ""float16""]","{""out_h"": 224, ""out_w"": 224, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case4-B1-C1-HxW224x256-out224x224-float16-alignFalse
ImageResizeNormalize,5,"[[2, 3, 16, 16], [3], [3]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""out_h"": 256, ""out_w"": 320, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case5-B2-C3-HxW16x16-out256x320-bfloat16-alignFalse
ImageResizeNormalize,6,"[[4, 4, 31, 29], [4], [4]]","[""float32"", ""float32"", ""float32""]","{""out_h"": 16, ""out_w"": 16, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case6-B4-C4-HxW31x29-out16x16-float32-alignFalse
ImageResizeNormalize,7,"[[1, 8, 64, 80], [8], [8]]","[""float16"", ""float16"", ""float16""]","{""out_h"": 32, ""out_w"": 48, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case7-B1-C8-HxW64x80-out32x48-float16-alignFalse
ImageResizeNormalize,8,"[[1, 1, 127, 128], [1], [1]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""out_h"": 64, ""out_w"": 96, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case8-B1-C1-HxW127x128-out64x96-bfloat16-alignFalse
ImageResizeNormalize,9,"[[2, 3, 224, 256], [3], [3]]","[""float32"", ""float32"", ""float32""]","{""out_h"": 128, ""out_w"": 160, ""align_corners"": true}","[[0, 255], [0, 1], [0.1, 2.0]]",case9-B2-C3-HxW224x256-out128x160-float32-alignTrue
ImageResizeNormalize,10,"[[4, 4, 16, 16], [4], [4]]","[""float16"", ""float16"", ""float16""]","{""out_h"": 224, ""out_w"": 224, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case10-B4-C4-HxW16x16-out224x224-float16-alignFalse
ImageResizeNormalize,11,"[[1, 8, 31, 29], [8], [8]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""out_h"": 256, ""out_w"": 320, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case11-B1-C8-HxW31x29-out256x320-bfloat16-alignFalse
ImageResizeNormalize,12,"[[1, 1, 64, 80], [1], [1]]","[""float32"", ""float32"", ""float32""]","{""out_h"": 16, ""out_w"": 16, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case12-B1-C1-HxW64x80-out16x16-float32-alignFalse
ImageResizeNormalize,13,"[[2, 3, 127, 128], [3], [3]]","[""float16"", ""float16"", ""float16""]","{""out_h"": 32, ""out_w"": 48, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case13-B2-C3-HxW127x128-out32x48-float16-alignFalse
ImageResizeNormalize,14,"[[4, 4, 224, 256], [4], [4]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""out_h"": 64, ""out_w"": 96, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case14-B4-C4-HxW224x256-out64x96-bfloat16-alignFalse
ImageResizeNormalize,15,"[[1, 8, 16, 16], [8], [8]]","[""float32"", ""float32"", ""float32""]","{""out_h"": 128, ""out_w"": 160, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case15-B1-C8-HxW16x16-out128x160-float32-alignFalse
ImageResizeNormalize,16,"[[1, 1, 31, 29], [1], [1]]","[""float16"", ""float16"", ""float16""]","{""out_h"": 224, ""out_w"": 224, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case16-B1-C1-HxW31x29-out224x224-float16-alignFalse
ImageResizeNormalize,17,"[[2, 3, 64, 80], [3], [3]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""out_h"": 256, ""out_w"": 320, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case17-B2-C3-HxW64x80-out256x320-bfloat16-alignFalse
ImageResizeNormalize,18,"[[4, 4, 127, 128], [4], [4]]","[""float32"", ""float32"", ""float32""]","{""out_h"": 16, ""out_w"": 16, ""align_corners"": true}","[[0, 255], [0, 1], [0.1, 2.0]]",case18-B4-C4-HxW127x128-out16x16-float32-alignTrue
ImageResizeNormalize,19,"[[1, 8, 224, 256], [8], [8]]","[""float16"", ""float16"", ""float16""]","{""out_h"": 32, ""out_w"": 48, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case19-B1-C8-HxW224x256-out32x48-float16-alignFalse
ImageResizeNormalize,20,"[[1, 1, 16, 16], [1], [1]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""out_h"": 64, ""out_w"": 96, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case20-B1-C1-HxW16x16-out64x96-bfloat16-alignFalse
ImageResizeNormalize,21,"[[2, 3, 31, 29], [3], [3]]","[""float32"", ""float32"", ""float32""]","{""out_h"": 128, ""out_w"": 160, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case21-B2-C3-HxW31x29-out128x160-float32-alignFalse
ImageResizeNormalize,22,"[[4, 4, 64, 80], [4], [4]]","[""float16"", ""float16"", ""float16""]","{""out_h"": 224, ""out_w"": 224, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case22-B4-C4-HxW64x80-out224x224-float16-alignFalse
ImageResizeNormalize,23,"[[1, 8, 127, 128], [8], [8]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""out_h"": 256, ""out_w"": 320, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case23-B1-C8-HxW127x128-out256x320-bfloat16-alignFalse
ImageResizeNormalize,24,"[[1, 1, 224, 256], [1], [1]]","[""float32"", ""float32"", ""float32""]","{""out_h"": 16, ""out_w"": 16, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case24-B1-C1-HxW224x256-out16x16-float32-alignFalse
ImageResizeNormalize,25,"[[2, 3, 16, 16], [3], [3]]","[""float16"", ""float16"", ""float16""]","{""out_h"": 32, ""out_w"": 48, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case25-B2-C3-HxW16x16-out32x48-float16-alignFalse
ImageResizeNormalize,26,"[[4, 4, 31, 29], [4], [4]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""out_h"": 64, ""out_w"": 96, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case26-B4-C4-HxW31x29-out64x96-bfloat16-alignFalse
ImageResizeNormalize,27,"[[1, 8, 64, 80], [8], [8]]","[""float32"", ""float32"", ""float32""]","{""out_h"": 128, ""out_w"": 160, ""align_corners"": true}","[[0, 255], [0, 1], [0.1, 2.0]]",case27-B1-C8-HxW64x80-out128x160-float32-alignTrue
ImageResizeNormalize,28,"[[1, 1, 127, 128], [1], [1]]","[""float16"", ""float16"", ""float16""]","{""out_h"": 224, ""out_w"": 224, ""align_corners"": false}","[[0, 255], [0, 1], [0.1, 2.0]]",case28-B1-C1-HxW127x128-out224x224-float16-alignFalse
