operator,case_id,input_shape,dtype,attrs,value_range,note
KvCacheAppend,1,"[[4, 8, 1, 32], [4, 8, 1, 32], [1, 1, 32], [1, 1, 32], [1]]","['float16', 'float16', 'float16', 'float16', 'int64']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 31]]",float16-blocks4-page8-T1-Hkv1-D32-slots32
KvCacheAppend,2,"[[4, 8, 1, 32], [4, 8, 1, 32], [1, 1, 32], [1, 1, 32], [1]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 31]]",bfloat16-blocks4-page8-T1-Hkv1-D32-slots32
KvCacheAppend,3,"[[4, 8, 1, 32], [4, 8, 1, 32], [1, 1, 32], [1, 1, 32], [1]]","['float32', 'float32', 'float32', 'float32', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 31]]",float32-blocks4-page8-T1-Hkv1-D32-slots32
KvCacheAppend,4,"[[8, 8, 1, 32], [8, 8, 1, 32], [1, 1, 32], [1, 1, 32], [1]]","['float16', 'float16', 'float16', 'float16', 'int64']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 63]]",float16-blocks8-page8-T1-Hkv1-D32-slots64
KvCacheAppend,5,"[[8, 8, 1, 32], [8, 8, 1, 32], [1, 1, 32], [1, 1, 32], [1]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 63]]",bfloat16-blocks8-page8-T1-Hkv1-D32-slots64
KvCacheAppend,6,"[[8, 16, 1, 32], [8, 16, 1, 32], [1, 1, 32], [1, 1, 32], [1]]","['float32', 'float32', 'float32', 'float32', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 127]]",float32-blocks8-page16-T1-Hkv1-D32-slots128
KvCacheAppend,7,"[[16, 16, 1, 32], [16, 16, 1, 32], [1, 1, 32], [1, 1, 32], [1]]","['float16', 'float16', 'float16', 'float16', 'int64']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 255]]",float16-blocks16-page16-T1-Hkv1-D32-slots256
KvCacheAppend,8,"[[16, 16, 2, 32], [16, 16, 2, 32], [1, 2, 32], [1, 2, 32], [1]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 255]]",bfloat16-blocks16-page16-T1-Hkv2-D32-slots256
KvCacheAppend,9,"[[16, 16, 2, 32], [16, 16, 2, 32], [1, 2, 32], [1, 2, 32], [1]]","['float32', 'float32', 'float32', 'float32', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 255]]",float32-blocks16-page16-T1-Hkv2-D32-slots256
KvCacheAppend,10,"[[32, 16, 2, 32], [32, 16, 2, 32], [1, 2, 32], [1, 2, 32], [1]]","['float16', 'float16', 'float16', 'float16', 'int64']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 511]]",float16-blocks32-page16-T1-Hkv2-D32-slots512
KvCacheAppend,11,"[[32, 32, 2, 32], [32, 32, 2, 32], [1, 2, 32], [1, 2, 32], [1]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 1023]]",bfloat16-blocks32-page32-T1-Hkv2-D32-slots1024
KvCacheAppend,12,"[[32, 32, 2, 64], [32, 32, 2, 64], [1, 2, 64], [1, 2, 64], [1]]","['float32', 'float32', 'float32', 'float32', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 1023]]",float32-blocks32-page32-T1-Hkv2-D64-slots1024
KvCacheAppend,13,"[[64, 32, 2, 64], [64, 32, 2, 64], [1, 2, 64], [1, 2, 64], [1]]","['float16', 'float16', 'float16', 'float16', 'int64']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 2047]]",float16-blocks64-page32-T1-Hkv2-D64-slots2048
KvCacheAppend,14,"[[64, 32, 2, 64], [64, 32, 2, 64], [2, 2, 64], [2, 2, 64], [2]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 2047]]",bfloat16-blocks64-page32-T2-Hkv2-D64-slots2048
KvCacheAppend,15,"[[64, 32, 4, 64], [64, 32, 4, 64], [2, 4, 64], [2, 4, 64], [2]]","['float32', 'float32', 'float32', 'float32', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 2047]]",float32-blocks64-page32-T2-Hkv4-D64-slots2048
KvCacheAppend,16,"[[4, 8, 4, 64], [4, 8, 4, 64], [2, 4, 64], [2, 4, 64], [2]]","['float16', 'float16', 'float16', 'float16', 'int64']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 31]]",float16-blocks4-page8-T2-Hkv4-D64-slots32
KvCacheAppend,17,"[[4, 8, 4, 64], [4, 8, 4, 64], [2, 4, 64], [2, 4, 64], [2]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 31]]",bfloat16-blocks4-page8-T2-Hkv4-D64-slots32
KvCacheAppend,18,"[[4, 8, 4, 64], [4, 8, 4, 64], [2, 4, 64], [2, 4, 64], [2]]","['float32', 'float32', 'float32', 'float32', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 31]]",float32-blocks4-page8-T2-Hkv4-D64-slots32
KvCacheAppend,19,"[[8, 8, 4, 64], [8, 8, 4, 64], [2, 4, 64], [2, 4, 64], [2]]","['float16', 'float16', 'float16', 'float16', 'int64']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 63]]",float16-blocks8-page8-T2-Hkv4-D64-slots64
KvCacheAppend,20,"[[8, 8, 4, 64], [8, 8, 4, 64], [2, 4, 64], [2, 4, 64], [2]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 63]]",bfloat16-blocks8-page8-T2-Hkv4-D64-slots64
KvCacheAppend,21,"[[8, 16, 4, 64], [8, 16, 4, 64], [2, 4, 64], [2, 4, 64], [2]]","['float32', 'float32', 'float32', 'float32', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 127]]",float32-blocks8-page16-T2-Hkv4-D64-slots128
KvCacheAppend,22,"[[16, 16, 8, 64], [16, 16, 8, 64], [2, 8, 64], [2, 8, 64], [2]]","['float16', 'float16', 'float16', 'float16', 'int64']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 255]]",float16-blocks16-page16-T2-Hkv8-D64-slots256
KvCacheAppend,23,"[[16, 16, 8, 128], [16, 16, 8, 128], [2, 8, 128], [2, 8, 128], [2]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 255]]",bfloat16-blocks16-page16-T2-Hkv8-D128-slots256
KvCacheAppend,24,"[[16, 16, 8, 128], [16, 16, 8, 128], [2, 8, 128], [2, 8, 128], [2]]","['float32', 'float32', 'float32', 'float32', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 255]]",float32-blocks16-page16-T2-Hkv8-D128-slots256
KvCacheAppend,25,"[[32, 16, 8, 128], [32, 16, 8, 128], [2, 8, 128], [2, 8, 128], [2]]","['float16', 'float16', 'float16', 'float16', 'int64']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 511]]",float16-blocks32-page16-T2-Hkv8-D128-slots512
KvCacheAppend,26,"[[32, 32, 8, 128], [32, 32, 8, 128], [2, 8, 128], [2, 8, 128], [2]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 1023]]",bfloat16-blocks32-page32-T2-Hkv8-D128-slots1024
KvCacheAppend,27,"[[32, 32, 8, 128], [32, 32, 8, 128], [4, 8, 128], [4, 8, 128], [4]]","['float32', 'float32', 'float32', 'float32', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 1023]]",float32-blocks32-page32-T4-Hkv8-D128-slots1024
KvCacheAppend,28,"[[64, 32, 8, 128], [64, 32, 8, 128], [4, 8, 128], [4, 8, 128], [4]]","['float16', 'float16', 'float16', 'float16', 'int64']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 2047]]",float16-blocks64-page32-T4-Hkv8-D128-slots2048
KvCacheAppend,29,"[[64, 32, 16, 128], [64, 32, 16, 128], [4, 16, 128], [4, 16, 128], [4]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 2047]]",bfloat16-blocks64-page32-T4-Hkv16-D128-slots2048
KvCacheAppend,30,"[[64, 32, 16, 128], [64, 32, 16, 128], [4, 16, 128], [4, 16, 128], [4]]","['float32', 'float32', 'float32', 'float32', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 2047]]",float32-blocks64-page32-T4-Hkv16-D128-slots2048
KvCacheAppend,31,"[[4, 8, 16, 128], [4, 8, 16, 128], [4, 16, 128], [4, 16, 128], [4]]","['float16', 'float16', 'float16', 'float16', 'int64']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 31]]",float16-blocks4-page8-T4-Hkv16-D128-slots32
KvCacheAppend,32,"[[4, 8, 16, 128], [4, 8, 16, 128], [4, 16, 128], [4, 16, 128], [4]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 31]]",bfloat16-blocks4-page8-T4-Hkv16-D128-slots32
KvCacheAppend,33,"[[4, 8, 16, 128], [4, 8, 16, 128], [4, 16, 128], [4, 16, 128], [4]]","['float32', 'float32', 'float32', 'float32', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 31]]",float32-blocks4-page8-T4-Hkv16-D128-slots32
KvCacheAppend,34,"[[8, 8, 16, 32], [8, 8, 16, 32], [4, 16, 32], [4, 16, 32], [4]]","['float16', 'float16', 'float16', 'float16', 'int64']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 63]]",float16-blocks8-page8-T4-Hkv16-D32-slots64
KvCacheAppend,35,"[[8, 8, 16, 32], [8, 8, 16, 32], [4, 16, 32], [4, 16, 32], [4]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 63]]",bfloat16-blocks8-page8-T4-Hkv16-D32-slots64
KvCacheAppend,36,"[[8, 16, 1, 32], [8, 16, 1, 32], [4, 1, 32], [4, 1, 32], [4]]","['float32', 'float32', 'float32', 'float32', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 127]]",float32-blocks8-page16-T4-Hkv1-D32-slots128
KvCacheAppend,37,"[[16, 16, 1, 32], [16, 16, 1, 32], [4, 1, 32], [4, 1, 32], [4]]","['float16', 'float16', 'float16', 'float16', 'int64']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 255]]",float16-blocks16-page16-T4-Hkv1-D32-slots256
KvCacheAppend,38,"[[16, 16, 1, 32], [16, 16, 1, 32], [4, 1, 32], [4, 1, 32], [4]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 255]]",bfloat16-blocks16-page16-T4-Hkv1-D32-slots256
KvCacheAppend,39,"[[16, 16, 1, 32], [16, 16, 1, 32], [4, 1, 32], [4, 1, 32], [4]]","['float32', 'float32', 'float32', 'float32', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 255]]",float32-blocks16-page16-T4-Hkv1-D32-slots256
KvCacheAppend,40,"[[32, 16, 1, 32], [32, 16, 1, 32], [8, 1, 32], [8, 1, 32], [8]]","['float16', 'float16', 'float16', 'float16', 'int64']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 511]]",float16-blocks32-page16-T8-Hkv1-D32-slots512
KvCacheAppend,41,"[[32, 32, 1, 32], [32, 32, 1, 32], [8, 1, 32], [8, 1, 32], [8]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 1023]]",bfloat16-blocks32-page32-T8-Hkv1-D32-slots1024
KvCacheAppend,42,"[[32, 32, 1, 32], [32, 32, 1, 32], [8, 1, 32], [8, 1, 32], [8]]","['float32', 'float32', 'float32', 'float32', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 1023]]",float32-blocks32-page32-T8-Hkv1-D32-slots1024
KvCacheAppend,43,"[[64, 32, 2, 32], [64, 32, 2, 32], [8, 2, 32], [8, 2, 32], [8]]","['float16', 'float16', 'float16', 'float16', 'int64']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 2047]]",float16-blocks64-page32-T8-Hkv2-D32-slots2048
KvCacheAppend,44,"[[64, 32, 2, 32], [64, 32, 2, 32], [8, 2, 32], [8, 2, 32], [8]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 2047]]",bfloat16-blocks64-page32-T8-Hkv2-D32-slots2048
KvCacheAppend,45,"[[64, 32, 2, 64], [64, 32, 2, 64], [8, 2, 64], [8, 2, 64], [8]]","['float32', 'float32', 'float32', 'float32', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 2047]]",float32-blocks64-page32-T8-Hkv2-D64-slots2048
KvCacheAppend,46,"[[4, 8, 2, 64], [4, 8, 2, 64], [8, 2, 64], [8, 2, 64], [8]]","['float16', 'float16', 'float16', 'float16', 'int64']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 31]]",float16-blocks4-page8-T8-Hkv2-D64-slots32
KvCacheAppend,47,"[[4, 8, 2, 64], [4, 8, 2, 64], [8, 2, 64], [8, 2, 64], [8]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 31]]",bfloat16-blocks4-page8-T8-Hkv2-D64-slots32
KvCacheAppend,48,"[[4, 8, 2, 64], [4, 8, 2, 64], [8, 2, 64], [8, 2, 64], [8]]","['float32', 'float32', 'float32', 'float32', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 31]]",float32-blocks4-page8-T8-Hkv2-D64-slots32
KvCacheAppend,49,"[[8, 8, 2, 64], [8, 8, 2, 64], [8, 2, 64], [8, 2, 64], [8]]","['float16', 'float16', 'float16', 'float16', 'int64']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 63]]",float16-blocks8-page8-T8-Hkv2-D64-slots64
KvCacheAppend,50,"[[8, 8, 4, 64], [8, 8, 4, 64], [8, 4, 64], [8, 4, 64], [8]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16', 'int32']",{},"[[-0.25, 0.25], [-0.25, 0.25], [-1, 1], [-1, 1], [0, 63]]",bfloat16-blocks8-page8-T8-Hkv4-D64-slots64
