operator,case_id,input_shape,dtype,attrs,value_range,note
QkRmsNorm,1,"[[1, 64, 80], [1, 64, 80], [80], [80]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""eps"": 0.00001}","[[-3, 3], [-3, 3], [1, 1], [1, 1]]",case1-rank3-B1-S64-D80-float16
QkRmsNorm,2,"[[1, 16, 160], [1, 16, 160], [160], [160]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""eps"": 0.0001}","[[-3, 3], [-3, 3], [1, 1], [1, 1]]",case2-rank3-B1-S16-D160-bfloat16
QkRmsNorm,3,"[[1, 2, 8, 320], [1, 2, 8, 320], [320], [320]]","[""float32"", ""float32"", ""float32"", ""float32""]","{""eps"": 0.001}","[[-3, 3], [-3, 3], [1, 1], [1, 1]]",case3-rank4-B1-S2-Hq8-Hk8-D320-float32
QkRmsNorm,4,"[[1, 96, 1024], [1, 96, 1024], [1024], [1024]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""eps"": 0.00000001}","[[-3, 3], [-3, 3], [1, 1], [1, 1]]",case4-rank3-B1-S96-D1024-float16
QkRmsNorm,5,"[[1, 17, 64], [1, 17, 64], [64], [64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""eps"": 0.000001}","[[-3, 3], [-3, 3], [1, 1], [1, 1]]",case5-rank3-B1-S17-D64-bfloat16
QkRmsNorm,6,"[[1, 4, 1, 128], [1, 4, 4, 128], [128], [128]]","[""float32"", ""float32"", ""float32"", ""float32""]","{""eps"": 0.00001}","[[-3, 3], [-3, 3], [1, 1], [1, 1]]",case6-rank4-B1-S4-Hq1-Hk4-D128-float32
QkRmsNorm,7,"[[1, 128, 256], [1, 128, 256], [256], [256]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""eps"": 0.0001}","[[-0.1, 0.1], [-0.1, 0.1], [1, 1], [1, 1]]",case7-rank3-B1-S128-D256-float16
QkRmsNorm,8,"[[1, 32, 768], [1, 32, 768], [768], [768]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""eps"": 0.001}","[[-3, 3], [-3, 3], [1, 1], [1, 1]]",case8-rank3-B1-S32-D768-bfloat16
QkRmsNorm,9,"[[1, 8, 8, 32], [1, 8, 2, 32], [32], [32]]","[""float32"", ""float32"", ""float32"", ""float32""]","{""eps"": 0.00000001}","[[-3, 3], [-3, 3], [1, 1], [1, 1]]",case9-rank4-B1-S8-Hq8-Hk2-D32-float32
QkRmsNorm,10,"[[1, 1, 96], [1, 1, 96], [96], [96]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""eps"": 0.000001}","[[-3, 3], [-3, 3], [0, 0], [1, 1]]",case10-rank3-B1-S1-D96-float16
QkRmsNorm,11,"[[1, 64, 192], [1, 64, 192], [192], [192]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""eps"": 0.00001}","[[-3, 3], [-3, 3], [0.5, 2], [0.25, 1.5]]",case11-rank3-B1-S64-D192-bfloat16
QkRmsNorm,12,"[[1, 16, 1, 512], [1, 16, 1, 512], [512], [512]]","[""float32"", ""float32"", ""float32"", ""float32""]","{""eps"": 0.0001}","[[-3, 3], [-3, 3], [1, 1], [1, 1]]",case12-rank4-B1-S16-Hq1-Hk1-D512-float32
QkRmsNorm,13,"[[1, 2, 16], [1, 2, 16], [16], [16]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""eps"": 0.001}","[[-3, 3], [-3, 3], [1, 1], [1, 1]]",case13-rank3-B1-S2-D16-float16
QkRmsNorm,14,"[[1, 96, 80], [1, 96, 80], [80], [80]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""eps"": 0.00000001}","[[-0.1, 0.1], [-0.1, 0.1], [1, 1], [1, 1]]",case14-rank3-B1-S96-D80-bfloat16
QkRmsNorm,15,"[[1, 17, 8, 160], [1, 17, 8, 160], [160], [160]]","[""float32"", ""float32"", ""float32"", ""float32""]","{""eps"": 0.000001}","[[-3, 3], [-3, 3], [1, 1], [1, 1]]",case15-rank4-B1-S17-Hq8-Hk8-D160-float32
QkRmsNorm,16,"[[1, 4, 320], [1, 4, 320], [320], [320]]","[""float16"", ""float16"", ""float16"", ""float16""]","{""eps"": 0.00001}","[[-3, 3], [-3, 3], [1, 1], [1, 1]]",case16-rank3-B1-S4-D320-float16
QkRmsNorm,17,"[[1, 128, 1024], [1, 128, 1024], [1024], [1024]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""eps"": 0.0001}","[[-3, 3], [-3, 3], [1, 1], [1, 1]]",case17-rank3-B1-S128-D1024-bfloat16
