operator,case_id,input_shape,dtype,attrs,value_range,note
TabularFeatureTokenizer,1,"[[8, 32], [8, 4], [32, 256], [1024, 256], [32, 256]]","[""float16"", ""int64"", ""float16"", ""float16"", ""float16""]","{""unknown_id"": 0}","[[-3, 3], [0, 1023], [-0.5, 0.5], [-1, 1], [-0.1, 0.1]]",case1-B8-Fnum32-Fcat4-D256-Card1024-float16-int64-biasTrue
TabularFeatureTokenizer,2,"[[1, 16], [1, 16], [16, 128], [512, 128], [16, 128]]","[""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""unknown_id"": 0}","[[-3, 3], [0, 511], [-0.5, 0.5], [-1, 1], [-0.1, 0.1]]",case2-B1-Fnum16-Fcat16-D128-Card512-bfloat16-int32-biasTrue
TabularFeatureTokenizer,3,"[[8, 8], [8, 2], [8, 64], [256, 64], [8, 64]]","[""float32"", ""int64"", ""float32"", ""float32"", ""float32""]","{""unknown_id"": 0}","[[-3, 3], [0, 255], [-0.5, 0.5], [-1, 1], [-0.1, 0.1]]",case3-B8-Fnum8-Fcat2-D64-Card256-float32-int64-biasTrue
TabularFeatureTokenizer,4,"[[1, 4], [1, 8], [4, 32], [128, 32], null]","[""float16"", ""int32"", ""float16"", ""float16"", null]","{""unknown_id"": 0}","[[-3, 3], [0, 127], [-0.5, 0.5], [-1, 1], null]",case4-B1-Fnum4-Fcat8-D32-Card128-float16-int32-biasFalse
TabularFeatureTokenizer,5,"[[8, 2], [8, 1], [2, 16], [64, 16], [2, 16]]","[""bfloat16"", ""int64"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""unknown_id"": 1}","[[-3, 3], [0, 63], [-0.5, 0.5], [-1, 1], [-0.1, 0.1]]",case5-B8-Fnum2-Fcat1-D16-Card64-bfloat16-int64-biasTrue
TabularFeatureTokenizer,6,"[[1, 1], [1, 4], [1, 8], [32, 8], [1, 8]]","[""float32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""unknown_id"": 0}","[[-3, 3], [0, 31], [-0.5, 0.5], [-1, 1], [-0.1, 0.1]]",case6-B1-Fnum1-Fcat4-D8-Card32-float32-int32-biasTrue
TabularFeatureTokenizer,7,"[[8, 32], [8, 16], [32, 256], [16, 256], [32, 256]]","[""float16"", ""int64"", ""float16"", ""float16"", ""float16""]","{""unknown_id"": 0}","[[-3, 3], [0, 15], [-0.5, 0.5], [-1, 1], [-0.1, 0.1]]",case7-B8-Fnum32-Fcat16-D256-Card16-float16-int64-biasTrue
TabularFeatureTokenizer,8,"[[1, 16], [1, 2], [16, 128], [1024, 128], null]","[""bfloat16"", ""int32"", ""bfloat16"", ""bfloat16"", null]","{""unknown_id"": 0}","[[-3, 3], [0, 1023], [-0.5, 0.5], [-1, 1], null]",case8-B1-Fnum16-Fcat2-D128-Card1024-bfloat16-int32-biasFalse
TabularFeatureTokenizer,9,"[[8, 8], [8, 8], [8, 64], [512, 64], [8, 64]]","[""float32"", ""int64"", ""float32"", ""float32"", ""float32""]","{""unknown_id"": 0}","[[-3, 3], [0, 511], [-0.5, 0.5], [-1, 1], [-0.1, 0.1]]",case9-B8-Fnum8-Fcat8-D64-Card512-float32-int64-biasTrue
TabularFeatureTokenizer,10,"[[1, 4], [1, 1], [4, 32], [256, 32], [4, 32]]","[""float16"", ""int32"", ""float16"", ""float16"", ""float16""]","{""unknown_id"": 1}","[[-3, 3], [0, 255], [-0.5, 0.5], [-1, 1], [-0.1, 0.1]]",case10-B1-Fnum4-Fcat1-D32-Card256-float16-int32-biasTrue
