operator,case_id,input_shape,dtype,attrs,value_range,note
UpsampleNearest2D,1,"[[2, 3, 7, 9]]","[""float16""]","{""scale_h"": 2, ""scale_w"": 3}","[[-2, 2]]",case1-B2-C3-HxW7x9-scale2x3-float16
UpsampleNearest2D,2,"[[4, 8, 16, 20]]","[""bfloat16""]","{""scale_h"": 3, ""scale_w"": 4}","[[-2, 2]]",case2-B4-C8-HxW16x20-scale3x4-bfloat16
UpsampleNearest2D,3,"[[1, 16, 31, 33]]","[""float32""]","{""scale_h"": 4, ""scale_w"": 1}","[[-2, 2]]",case3-B1-C16-HxW31x33-scale4x1-float32
UpsampleNearest2D,4,"[[1, 1, 64, 80]]","[""float16""]","{""scale_h"": 1, ""scale_w"": 2}","[[-2, 2]]",case4-B1-C1-HxW64x80-scale1x2-float16
UpsampleNearest2D,5,"[[2, 3, 4, 4]]","[""bfloat16""]","{""scale_h"": 2, ""scale_w"": 3}","[[-2, 2]]",case5-B2-C3-HxW4x4-scale2x3-bfloat16
UpsampleNearest2D,6,"[[4, 8, 7, 9]]","[""float32""]","{""scale_h"": 3, ""scale_w"": 4}","[[-2, 2]]",case6-B4-C8-HxW7x9-scale3x4-float32
UpsampleNearest2D,7,"[[1, 16, 16, 20]]","[""float16""]","{""scale_h"": 4, ""scale_w"": 1}","[[-2, 2]]",case7-B1-C16-HxW16x20-scale4x1-float16
UpsampleNearest2D,8,"[[1, 1, 31, 33]]","[""bfloat16""]","{""scale_h"": 1, ""scale_w"": 2}","[[-2, 2]]",case8-B1-C1-HxW31x33-scale1x2-bfloat16
UpsampleNearest2D,9,"[[2, 3, 64, 80]]","[""float32""]","{""scale_h"": 2, ""scale_w"": 3}","[[-2, 2]]",case9-B2-C3-HxW64x80-scale2x3-float32
UpsampleNearest2D,10,"[[4, 8, 4, 4]]","[""float16""]","{""scale_h"": 3, ""scale_w"": 4}","[[-2, 2]]",case10-B4-C8-HxW4x4-scale3x4-float16
UpsampleNearest2D,11,"[[1, 16, 7, 9]]","[""bfloat16""]","{""scale_h"": 4, ""scale_w"": 1}","[[-2, 2]]",case11-B1-C16-HxW7x9-scale4x1-bfloat16
UpsampleNearest2D,12,"[[1, 1, 16, 20]]","[""float32""]","{""scale_h"": 1, ""scale_w"": 2}","[[-2, 2]]",case12-B1-C1-HxW16x20-scale1x2-float32
UpsampleNearest2D,13,"[[2, 3, 31, 33]]","[""float16""]","{""scale_h"": 2, ""scale_w"": 3}","[[-2, 2]]",case13-B2-C3-HxW31x33-scale2x3-float16
UpsampleNearest2D,14,"[[4, 8, 64, 80]]","[""bfloat16""]","{""scale_h"": 3, ""scale_w"": 4}","[[-2, 2]]",case14-B4-C8-HxW64x80-scale3x4-bfloat16
UpsampleNearest2D,15,"[[1, 16, 4, 4]]","[""float32""]","{""scale_h"": 4, ""scale_w"": 1}","[[-2, 2]]",case15-B1-C16-HxW4x4-scale4x1-float32
UpsampleNearest2D,16,"[[1, 1, 7, 9]]","[""float16""]","{""scale_h"": 1, ""scale_w"": 2}","[[-2, 2]]",case16-B1-C1-HxW7x9-scale1x2-float16
UpsampleNearest2D,17,"[[2, 3, 16, 20]]","[""bfloat16""]","{""scale_h"": 2, ""scale_w"": 3}","[[-2, 2]]",case17-B2-C3-HxW16x20-scale2x3-bfloat16
UpsampleNearest2D,18,"[[4, 8, 31, 33]]","[""float32""]","{""scale_h"": 3, ""scale_w"": 4}","[[-2, 2]]",case18-B4-C8-HxW31x33-scale3x4-float32
UpsampleNearest2D,19,"[[1, 16, 64, 80]]","[""float16""]","{""scale_h"": 4, ""scale_w"": 1}","[[-2, 2]]",case19-B1-C16-HxW64x80-scale4x1-float16
UpsampleNearest2D,20,"[[1, 1, 4, 4]]","[""bfloat16""]","{""scale_h"": 1, ""scale_w"": 2}","[[-2, 2]]",case20-B1-C1-HxW4x4-scale1x2-bfloat16
UpsampleNearest2D,21,"[[2, 3, 7, 9]]","[""float32""]","{""scale_h"": 2, ""scale_w"": 3}","[[-2, 2]]",case21-B2-C3-HxW7x9-scale2x3-float32
UpsampleNearest2D,22,"[[4, 8, 16, 20]]","[""float16""]","{""scale_h"": 3, ""scale_w"": 4}","[[-2, 2]]",case22-B4-C8-HxW16x20-scale3x4-float16
UpsampleNearest2D,23,"[[1, 16, 31, 33]]","[""bfloat16""]","{""scale_h"": 4, ""scale_w"": 1}","[[-2, 2]]",case23-B1-C16-HxW31x33-scale4x1-bfloat16
UpsampleNearest2D,24,"[[1, 1, 64, 80]]","[""float32""]","{""scale_h"": 1, ""scale_w"": 2}","[[-2, 2]]",case24-B1-C1-HxW64x80-scale1x2-float32
UpsampleNearest2D,25,"[[2, 3, 4, 4]]","[""float16""]","{""scale_h"": 2, ""scale_w"": 3}","[[-2, 2]]",case25-B2-C3-HxW4x4-scale2x3-float16
UpsampleNearest2D,26,"[[4, 8, 7, 9]]","[""bfloat16""]","{""scale_h"": 3, ""scale_w"": 4}","[[-2, 2]]",case26-B4-C8-HxW7x9-scale3x4-bfloat16
UpsampleNearest2D,27,"[[1, 16, 16, 20]]","[""float32""]","{""scale_h"": 4, ""scale_w"": 1}","[[-2, 2]]",case27-B1-C16-HxW16x20-scale4x1-float32
UpsampleNearest2D,28,"[[1, 1, 31, 33]]","[""float16""]","{""scale_h"": 1, ""scale_w"": 2}","[[-2, 2]]",case28-B1-C1-HxW31x33-scale1x2-float16
UpsampleNearest2D,29,"[[2, 3, 64, 80]]","[""bfloat16""]","{""scale_h"": 2, ""scale_w"": 3}","[[-2, 2]]",case29-B2-C3-HxW64x80-scale2x3-bfloat16
UpsampleNearest2D,30,"[[4, 8, 4, 4]]","[""float32""]","{""scale_h"": 3, ""scale_w"": 4}","[[-2, 2]]",case30-B4-C8-HxW4x4-scale3x4-float32
UpsampleNearest2D,31,"[[1, 16, 7, 9]]","[""float16""]","{""scale_h"": 4, ""scale_w"": 1}","[[-2, 2]]",case31-B1-C16-HxW7x9-scale4x1-float16
UpsampleNearest2D,32,"[[1, 1, 16, 20]]","[""bfloat16""]","{""scale_h"": 1, ""scale_w"": 2}","[[-2, 2]]",case32-B1-C1-HxW16x20-scale1x2-bfloat16
UpsampleNearest2D,33,"[[2, 3, 31, 33]]","[""float32""]","{""scale_h"": 2, ""scale_w"": 3}","[[-2, 2]]",case33-B2-C3-HxW31x33-scale2x3-float32
UpsampleNearest2D,34,"[[4, 8, 64, 80]]","[""float16""]","{""scale_h"": 3, ""scale_w"": 4}","[[-2, 2]]",case34-B4-C8-HxW64x80-scale3x4-float16
UpsampleNearest2D,35,"[[1, 16, 4, 4]]","[""bfloat16""]","{""scale_h"": 4, ""scale_w"": 1}","[[-2, 2]]",case35-B1-C16-HxW4x4-scale4x1-bfloat16
UpsampleNearest2D,36,"[[1, 1, 7, 9]]","[""float32""]","{""scale_h"": 1, ""scale_w"": 2}","[[-2, 2]]",case36-B1-C1-HxW7x9-scale1x2-float32
UpsampleNearest2D,37,"[[2, 3, 16, 20]]","[""float16""]","{""scale_h"": 2, ""scale_w"": 3}","[[-2, 2]]",case37-B2-C3-HxW16x20-scale2x3-float16
UpsampleNearest2D,38,"[[4, 8, 31, 33]]","[""bfloat16""]","{""scale_h"": 3, ""scale_w"": 4}","[[-2, 2]]",case38-B4-C8-HxW31x33-scale3x4-bfloat16
UpsampleNearest2D,39,"[[1, 16, 64, 80]]","[""float32""]","{""scale_h"": 4, ""scale_w"": 1}","[[-2, 2]]",case39-B1-C16-HxW64x80-scale4x1-float32
UpsampleNearest2D,40,"[[1, 1, 4, 4]]","[""float16""]","{""scale_h"": 1, ""scale_w"": 2}","[[-2, 2]]",case40-B1-C1-HxW4x4-scale1x2-float16
UpsampleNearest2D,41,"[[2, 3, 7, 9]]","[""bfloat16""]","{""scale_h"": 2, ""scale_w"": 3}","[[-2, 2]]",case41-B2-C3-HxW7x9-scale2x3-bfloat16
UpsampleNearest2D,42,"[[4, 8, 16, 20]]","[""float32""]","{""scale_h"": 3, ""scale_w"": 4}","[[-2, 2]]",case42-B4-C8-HxW16x20-scale3x4-float32
UpsampleNearest2D,43,"[[1, 16, 31, 33]]","[""float16""]","{""scale_h"": 4, ""scale_w"": 1}","[[-2, 2]]",case43-B1-C16-HxW31x33-scale4x1-float16
UpsampleNearest2D,44,"[[1, 1, 64, 80]]","[""bfloat16""]","{""scale_h"": 1, ""scale_w"": 2}","[[-2, 2]]",case44-B1-C1-HxW64x80-scale1x2-bfloat16
UpsampleNearest2D,45,"[[2, 3, 4, 4]]","[""float32""]","{""scale_h"": 2, ""scale_w"": 3}","[[-2, 2]]",case45-B2-C3-HxW4x4-scale2x3-float32
UpsampleNearest2D,46,"[[4, 8, 7, 9]]","[""float16""]","{""scale_h"": 3, ""scale_w"": 4}","[[-2, 2]]",case46-B4-C8-HxW7x9-scale3x4-float16
UpsampleNearest2D,47,"[[1, 16, 16, 20]]","[""bfloat16""]","{""scale_h"": 4, ""scale_w"": 1}","[[-2, 2]]",case47-B1-C16-HxW16x20-scale4x1-bfloat16
UpsampleNearest2D,48,"[[1, 1, 31, 33]]","[""float32""]","{""scale_h"": 1, ""scale_w"": 2}","[[-2, 2]]",case48-B1-C1-HxW31x33-scale1x2-float32
UpsampleNearest2D,49,"[[2, 3, 64, 80]]","[""float16""]","{""scale_h"": 2, ""scale_w"": 3}","[[-2, 2]]",case49-B2-C3-HxW64x80-scale2x3-float16
UpsampleNearest2D,50,"[[4, 8, 4, 4]]","[""bfloat16""]","{""scale_h"": 3, ""scale_w"": 4}","[[-2, 2]]",case50-B4-C8-HxW4x4-scale3x4-bfloat16
UpsampleNearest2D,51,"[[1, 16, 7, 9]]","[""float32""]","{""scale_h"": 4, ""scale_w"": 1}","[[-2, 2]]",case51-B1-C16-HxW7x9-scale4x1-float32
UpsampleNearest2D,52,"[[1, 1, 16, 20]]","[""float16""]","{""scale_h"": 1, ""scale_w"": 2}","[[-2, 2]]",case52-B1-C1-HxW16x20-scale1x2-float16
UpsampleNearest2D,53,"[[2, 3, 31, 33]]","[""bfloat16""]","{""scale_h"": 2, ""scale_w"": 3}","[[-2, 2]]",case53-B2-C3-HxW31x33-scale2x3-bfloat16
UpsampleNearest2D,54,"[[4, 8, 64, 80]]","[""float32""]","{""scale_h"": 3, ""scale_w"": 4}","[[-2, 2]]",case54-B4-C8-HxW64x80-scale3x4-float32
UpsampleNearest2D,55,"[[1, 16, 4, 4]]","[""float16""]","{""scale_h"": 4, ""scale_w"": 1}","[[-2, 2]]",case55-B1-C16-HxW4x4-scale4x1-float16
UpsampleNearest2D,56,"[[1, 1, 7, 9]]","[""bfloat16""]","{""scale_h"": 1, ""scale_w"": 2}","[[-2, 2]]",case56-B1-C1-HxW7x9-scale1x2-bfloat16
UpsampleNearest2D,57,"[[2, 3, 16, 20]]","[""float32""]","{""scale_h"": 2, ""scale_w"": 3}","[[-2, 2]]",case57-B2-C3-HxW16x20-scale2x3-float32
UpsampleNearest2D,58,"[[4, 8, 31, 33]]","[""float16""]","{""scale_h"": 3, ""scale_w"": 4}","[[-2, 2]]",case58-B4-C8-HxW31x33-scale3x4-float16
UpsampleNearest2D,59,"[[1, 16, 64, 80]]","[""bfloat16""]","{""scale_h"": 4, ""scale_w"": 1}","[[-2, 2]]",case59-B1-C16-HxW64x80-scale4x1-bfloat16
UpsampleNearest2D,60,"[[1, 1, 4, 4]]","[""float32""]","{""scale_h"": 1, ""scale_w"": 2}","[[-2, 2]]",case60-B1-C1-HxW4x4-scale1x2-float32
UpsampleNearest2D,61,"[[2, 3, 7, 9]]","[""float16""]","{""scale_h"": 2, ""scale_w"": 3}","[[-2, 2]]",case61-B2-C3-HxW7x9-scale2x3-float16
