operator,case_id,input_shape,dtype,attrs,value_range,note
AdaLayerNormZero,1,"[[8, 128, 512], [8, 32], [512], [512], [1536, 32], [1536]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""eps"": 0.00001}","[[-1, 1], [-1, 1], [1, 1], [0, 0], [-0.1, 0.1], [-0.05, 0.05]]",case1-B8-T128-D512-C32-float16-biasTrue
AdaLayerNormZero,2,"[[4, 32, 384], [4, 64], [384], [384], [1152, 64], [1152]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""eps"": 0.0001}","[[-1, 1], [-1, 1], [1, 1], [0, 0], [-0.1, 0.1], [-0.05, 0.05]]",case2-B4-T32-D384-C64-bfloat16-biasTrue
AdaLayerNormZero,3,"[[2, 4, 256], [2, 128], [256], [256], [768, 128], [768]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""eps"": 0.001}","[[-1, 1], [-1, 1], [1, 1], [0, 0], [-0.1, 0.1], [-0.05, 0.05]]",case3-B2-T4-D256-C128-float32-biasTrue
AdaLayerNormZero,4,"[[1, 256, 192], [1, 256], [192], [192], [576, 256], null]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", null]","{""eps"": 0.000001}","[[-1, 1], [-1, 1], [1, 1], [0, 0], [-0.1, 0.1], null]",case4-B1-T256-D192-C256-float16-biasFalse
AdaLayerNormZero,5,"[[8, 64, 128], [8, 16], [128], [128], [384, 16], [384]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""eps"": 0.00001}","[[-1, 1], [-1, 1], [1, 1], [0, 0], [-0.1, 0.1], [-0.05, 0.05]]",case5-B8-T64-D128-C16-bfloat16-biasTrue
AdaLayerNormZero,6,"[[4, 16, 96], [4, 32], [96], [96], [288, 32], [288]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""eps"": 0.0001}","[[-1, 1], [-1, 1], [1, 1], [0, 0], [-0.1, 0.1], [-0.05, 0.05]]",case6-B4-T16-D96-C32-float32-biasTrue
AdaLayerNormZero,7,"[[2, 1, 64], [2, 64], [64], [64], [192, 64], [192]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""eps"": 0.001}","[[-1, 1], [-1, 1], [1, 1], [0, 0], [-0.1, 0.1], [-0.05, 0.05]]",case7-B2-T1-D64-C64-float16-biasTrue
AdaLayerNormZero,8,"[[1, 128, 32], [1, 128], [32], [32], [96, 128], null]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", null]","{""eps"": 0.000001}","[[-1, 1], [-1, 1], [1, 1], [0, 0], [-0.1, 0.1], null]",case8-B1-T128-D32-C128-bfloat16-biasFalse
AdaLayerNormZero,9,"[[8, 32, 512], [8, 256], [512], [512], [1536, 256], [1536]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""eps"": 0.00001}","[[-1, 1], [-1, 1], [1, 1], [0, 0], [-0.1, 0.1], [-0.05, 0.05]]",case9-B8-T32-D512-C256-float32-biasTrue
AdaLayerNormZero,10,"[[4, 4, 384], [4, 16], [384], [384], [1152, 16], [1152]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""eps"": 0.0001}","[[-1, 1], [-1, 1], [1, 1], [0, 0], [-0.1, 0.1], [-0.05, 0.05]]",case10-B4-T4-D384-C16-float16-biasTrue
