operator,case_id,input_shape,dtype,attrs,value_range,note
Fp4DequantMatmul,1,"[[2, 1, 16], [128], [16, 1]]","['float16', 'uint8', 'float16']","{'out_features': 16, 'in_features': 16, 'block_size': 16}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float16-M1-K16-N16-block16
Fp4DequantMatmul,2,"[[1, 16], [128], [16, 1]]","['bfloat16', 'uint8', 'bfloat16']","{'out_features': 16, 'in_features': 16, 'block_size': 16}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",bfloat16-M1-K16-N16-block16
Fp4DequantMatmul,3,"[[1, 16], [128], [16, 1]]","['float32', 'uint8', 'float32']","{'out_features': 16, 'in_features': 16, 'block_size': 16}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float32-M1-K16-N16-block16
Fp4DequantMatmul,4,"[[2, 16], [128], [16, 1]]","['float16', 'uint8', 'float16']","{'out_features': 16, 'in_features': 16, 'block_size': 16}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float16-M2-K16-N16-block16
Fp4DequantMatmul,5,"[[2, 16], [128], [16, 1]]","['bfloat16', 'uint8', 'bfloat16']","{'out_features': 16, 'in_features': 16, 'block_size': 16}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",bfloat16-M2-K16-N16-block16
Fp4DequantMatmul,6,"[[2, 24], [192], [16, 2]]","['float32', 'uint8', 'float32']","{'out_features': 16, 'in_features': 24, 'block_size': 16}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float32-M2-K24-N16-block16
Fp4DequantMatmul,7,"[[4, 24], [192], [16, 2]]","['float16', 'uint8', 'float16']","{'out_features': 16, 'in_features': 24, 'block_size': 16}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float16-M4-K24-N16-block16
Fp4DequantMatmul,8,"[[4, 24], [288], [24, 2]]","['bfloat16', 'uint8', 'bfloat16']","{'out_features': 24, 'in_features': 24, 'block_size': 16}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",bfloat16-M4-K24-N24-block16
Fp4DequantMatmul,9,"[[4, 24], [288], [24, 2]]","['float32', 'uint8', 'float32']","{'out_features': 24, 'in_features': 24, 'block_size': 16}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float32-M4-K24-N24-block16
Fp4DequantMatmul,10,"[[8, 24], [288], [24, 2]]","['float16', 'uint8', 'float16']","{'out_features': 24, 'in_features': 24, 'block_size': 16}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float16-M8-K24-N24-block16
Fp4DequantMatmul,11,"[[8, 32], [384], [24, 2]]","['bfloat16', 'uint8', 'bfloat16']","{'out_features': 24, 'in_features': 32, 'block_size': 16}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",bfloat16-M8-K32-N24-block16
Fp4DequantMatmul,12,"[[8, 32], [384], [24, 1]]","['float32', 'uint8', 'float32']","{'out_features': 24, 'in_features': 32, 'block_size': 32}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float32-M8-K32-N24-block32
Fp4DequantMatmul,13,"[[16, 32], [384], [24, 1]]","['float16', 'uint8', 'float16']","{'out_features': 24, 'in_features': 32, 'block_size': 32}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float16-M16-K32-N24-block32
Fp4DequantMatmul,14,"[[32], [384], [24, 1]]","['bfloat16', 'uint8', 'bfloat16']","{'out_features': 24, 'in_features': 32, 'block_size': 32}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",bfloat16-M16-K32-N24-block32
Fp4DequantMatmul,15,"[[16, 32], [512], [32, 1]]","['float32', 'uint8', 'float32']","{'out_features': 32, 'in_features': 32, 'block_size': 32}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float32-M16-K32-N32-block32
Fp4DequantMatmul,16,"[[32, 48], [768], [32, 2]]","['float16', 'uint8', 'float16']","{'out_features': 32, 'in_features': 48, 'block_size': 32}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float16-M32-K48-N32-block32
Fp4DequantMatmul,17,"[[32, 48], [768], [32, 2]]","['bfloat16', 'uint8', 'bfloat16']","{'out_features': 32, 'in_features': 48, 'block_size': 32}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",bfloat16-M32-K48-N32-block32
Fp4DequantMatmul,18,"[[2, 32, 48], [768], [32, 2]]","['float32', 'uint8', 'float32']","{'out_features': 32, 'in_features': 48, 'block_size': 32}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float32-M32-K48-N32-block32
Fp4DequantMatmul,19,"[[64, 48], [768], [32, 2]]","['float16', 'uint8', 'float16']","{'out_features': 32, 'in_features': 48, 'block_size': 32}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float16-M64-K48-N32-block32
Fp4DequantMatmul,20,"[[64, 48], [768], [32, 2]]","['bfloat16', 'uint8', 'bfloat16']","{'out_features': 32, 'in_features': 48, 'block_size': 32}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",bfloat16-M64-K48-N32-block32
Fp4DequantMatmul,21,"[[64, 64], [1024], [32, 2]]","['float32', 'uint8', 'float32']","{'out_features': 32, 'in_features': 64, 'block_size': 32}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float32-M64-K64-N32-block32
Fp4DequantMatmul,22,"[[1, 64], [1536], [48, 2]]","['float16', 'uint8', 'float16']","{'out_features': 48, 'in_features': 64, 'block_size': 32}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float16-M1-K64-N48-block32
Fp4DequantMatmul,23,"[[1, 64], [1536], [48, 4]]","['bfloat16', 'uint8', 'bfloat16']","{'out_features': 48, 'in_features': 64, 'block_size': 16}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",bfloat16-M1-K64-N48-block16
Fp4DequantMatmul,24,"[[1, 64], [1536], [48, 4]]","['float32', 'uint8', 'float32']","{'out_features': 48, 'in_features': 64, 'block_size': 16}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float32-M1-K64-N48-block16
Fp4DequantMatmul,25,"[[2, 64], [1536], [48, 4]]","['float16', 'uint8', 'float16']","{'out_features': 48, 'in_features': 64, 'block_size': 16}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float16-M2-K64-N48-block16
