operator,case_id,input_shape,dtype,attrs,value_range,note
GgufDequantMatmul,1,"[[32], [256], [16, 1]]","['float16', 'uint8', 'float16']","{'out_features': 16, 'in_features': 32, 'block_size': 32, 'quant_type': 'q4_0'}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float16-M1-K32-N16-Q4_0-block32-1d
GgufDequantMatmul,2,"[[64], [1024], [32, 2]]","['bfloat16', 'uint8', 'float16']","{'out_features': 32, 'in_features': 64, 'block_size': 32, 'quant_type': 'q4_0'}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",bfloat16-M1-K64-N32-Q4_0-block32-1d
GgufDequantMatmul,3,"[[96], [3072], [64, 3]]","['float32', 'uint8', 'float16']","{'out_features': 64, 'in_features': 96, 'block_size': 32, 'quant_type': 'q4_0'}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float32-M1-K96-N64-Q4_0-block32-1d
GgufDequantMatmul,4,"[[128], [12288], [192, 4]]","['float16', 'uint8', 'float16']","{'out_features': 192, 'in_features': 128, 'block_size': 32, 'quant_type': 'q4_0'}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float16-M1-K128-N192-Q4_0-block32-1d
GgufDequantMatmul,5,"[[160], [40960], [512, 5]]","['bfloat16', 'uint8', 'float16']","{'out_features': 512, 'in_features': 160, 'block_size': 32, 'quant_type': 'q4_0'}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",bfloat16-M1-K160-N512-Q4_0-block32-1d
GgufDequantMatmul,6,"[[256], [3072], [24, 8]]","['float32', 'uint8', 'float16']","{'out_features': 24, 'in_features': 256, 'block_size': 32, 'quant_type': 'q4_0'}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float32-M1-K256-N24-Q4_0-block32-1d
GgufDequantMatmul,7,"[[384], [12288], [64, 12]]","['float16', 'uint8', 'float16']","{'out_features': 64, 'in_features': 384, 'block_size': 32, 'quant_type': 'q4_0'}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float16-M1-K384-N64-Q4_0-block32-1d
GgufDequantMatmul,8,"[[512], [32768], [128, 16]]","['bfloat16', 'uint8', 'float16']","{'out_features': 128, 'in_features': 512, 'block_size': 32, 'quant_type': 'q4_0'}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",bfloat16-M1-K512-N128-Q4_0-block32-1d
GgufDequantMatmul,9,"[[1, 32], [4096], [256, 1]]","['float32', 'uint8', 'float16']","{'out_features': 256, 'in_features': 32, 'block_size': 32, 'quant_type': 'q4_0'}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float32-M1-K32-N256-Q4_0-block32-2d
GgufDequantMatmul,10,"[[1, 96], [1152], [24, 3]]","['float16', 'uint8', 'float16']","{'out_features': 24, 'in_features': 96, 'block_size': 32, 'quant_type': 'q4_0'}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float16-M1-K96-N24-Q4_0-block32-2d
GgufDequantMatmul,11,"[[1, 128], [3072], [48, 4]]","['bfloat16', 'uint8', 'float16']","{'out_features': 48, 'in_features': 128, 'block_size': 32, 'quant_type': 'q4_0'}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",bfloat16-M1-K128-N48-Q4_0-block32-2d
GgufDequantMatmul,12,"[[1, 160], [7680], [96, 5]]","['float32', 'uint8', 'float16']","{'out_features': 96, 'in_features': 160, 'block_size': 32, 'quant_type': 'q4_0'}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float32-M1-K160-N96-Q4_0-block32-2d
GgufDequantMatmul,13,"[[1, 192], [24576], [256, 6]]","['float16', 'uint8', 'float16']","{'out_features': 256, 'in_features': 192, 'block_size': 32, 'quant_type': 'q4_0'}","[[-0.5, 0.5], [0, 255], [0.01, 0.08]]",float16-M1-K192-N256-Q4_0-block32-2d
