operator,case_id,input_shape,dtype,attrs,value_range,note
PatchEmbedding2D,1,"[[1, 3, 160, 48], [64, 3, 4, 32], [64]]","[""float16"", ""float16"", ""float16""]","{""stride_h"": 4, ""stride_w"": 32, ""pad_h"": 0, ""pad_w"": 0, ""flatten"": true}","[[-1, 1], [-0.2, 0.2], [-0.1, 0.1]]",case1-B1-C3-HW160x48-E64-P4x32-S4x32-float16-flatTrue
PatchEmbedding2D,2,"[[1, 4, 96, 64], [192, 4, 8, 16], [192]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""stride_h"": 8, ""stride_w"": 16, ""pad_h"": 0, ""pad_w"": 0, ""flatten"": true}","[[-1, 1], [-0.2, 0.2], [-0.1, 0.1]]",case2-B1-C4-HW96x64-E192-P8x16-S8x16-bfloat16-flatTrue
PatchEmbedding2D,3,"[[1, 8, 48, 80], [32, 8, 14, 14], [32]]","[""float32"", ""float32"", ""float32""]","{""stride_h"": 14, ""stride_w"": 14, ""pad_h"": 3, ""pad_w"": 0, ""flatten"": true}","[[-1, 1], [-0.2, 0.2], [-0.1, 0.1]]",case3-B1-C8-HW48x80-E32-P14x14-S14x14-float32-flatTrue
PatchEmbedding2D,4,"[[1, 1, 192, 96], [96, 1, 16, 8], [96]]","[""float16"", ""float16"", ""float16""]","{""stride_h"": 8, ""stride_w"": 8, ""pad_h"": 0, ""pad_w"": 2, ""flatten"": true}","[[-1, 1], [-0.2, 0.2], [-0.1, 0.1]]",case4-B1-C1-HW192x96-E96-P16x8-S8x8-float16-flatTrue
PatchEmbedding2D,5,"[[1, 3, 112, 112], [256, 3, 32, 4], null]","[""bfloat16"", ""bfloat16"", null]","{""stride_h"": 32, ""stride_w"": 2, ""pad_h"": 0, ""pad_w"": 0, ""flatten"": true}","[[-1, 1], [-0.2, 0.2], null]",case5-B1-C3-HW112x112-E256-P32x4-S32x2-bfloat16-flatTrue
PatchEmbedding2D,6,"[[1, 4, 64, 128], [48, 4, 2, 2], [48]]","[""float32"", ""float32"", ""float32""]","{""stride_h"": 2, ""stride_w"": 2, ""pad_h"": 0, ""pad_w"": 0, ""flatten"": false}","[[-1, 1], [-0.2, 0.2], [-0.1, 0.1]]",case6-B1-C4-HW64x128-E48-P2x2-S2x2-float32-flatFalse
PatchEmbedding2D,7,"[[1, 8, 224, 160], [128, 8, 4, 32], [128]]","[""float16"", ""float16"", ""float16""]","{""stride_h"": 4, ""stride_w"": 32, ""pad_h"": 0, ""pad_w"": 0, ""flatten"": true}","[[-1, 1], [-0.2, 0.2], [-0.1, 0.1]]",case7-B1-C8-HW224x160-E128-P4x32-S4x32-float16-flatTrue
PatchEmbedding2D,8,"[[1, 1, 128, 192], [16, 1, 8, 16], [16]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""stride_h"": 4, ""stride_w"": 16, ""pad_h"": 0, ""pad_w"": 4, ""flatten"": true}","[[-1, 1], [-0.2, 0.2], [-0.1, 0.1]]",case8-B1-C1-HW128x192-E16-P8x16-S4x16-bfloat16-flatTrue
PatchEmbedding2D,9,"[[1, 3, 80, 224], [64, 3, 14, 14], [64]]","[""float32"", ""float32"", ""float32""]","{""stride_h"": 14, ""stride_w"": 14, ""pad_h"": 3, ""pad_w"": 0, ""flatten"": true}","[[-1, 1], [-0.2, 0.2], [-0.1, 0.1]]",case9-B1-C3-HW80x224-E64-P14x14-S14x14-float32-flatTrue
PatchEmbedding2D,10,"[[1, 4, 32, 32], [192, 4, 16, 8], null]","[""float16"", ""float16"", null]","{""stride_h"": 16, ""stride_w"": 4, ""pad_h"": 0, ""pad_w"": 0, ""flatten"": true}","[[-1, 1], [-0.2, 0.2], null]",case10-B1-C4-HW32x32-E192-P16x8-S16x4-float16-flatTrue
