operator,case_id,input_shape,dtype,attrs,value_range,note
AttentionSinkDecode,1,"[[2, 2, 2, 64], [2, 32, 2, 64], [2, 32, 2, 64], [2, 2, 2, 64], [2, 2, 2, 64]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case1-B2-Sq2-Skv32-Sink2-H2-D64-float16-causalTrue
AttentionSinkDecode,2,"[[1, 4, 4, 80], [1, 64, 4, 80], [1, 64, 4, 80], [1, 4, 4, 80], [1, 4, 4, 80]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case2-B1-Sq4-Skv64-Sink4-H4-D80-bfloat16-causalTrue
AttentionSinkDecode,3,"[[4, 8, 8, 128], [4, 128, 8, 128], [4, 128, 8, 128], [4, 8, 8, 128], [4, 8, 8, 128]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case3-B4-Sq8-Skv128-Sink8-H8-D128-float32-causalTrue
AttentionSinkDecode,4,"[[1, 16, 1, 32], [1, 192, 1, 32], [1, 192, 1, 32], [1, 1, 1, 32], [1, 1, 1, 32]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case4-B1-Sq16-Skv192-Sink1-H1-D32-float16-causalTrue
AttentionSinkDecode,5,"[[2, 1, 2, 64], [2, 256, 2, 64], [2, 256, 2, 64], [2, 2, 2, 64], [2, 2, 2, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case5-B2-Sq1-Skv256-Sink2-H2-D64-bfloat16-causalTrue
AttentionSinkDecode,6,"[[1, 2, 4, 80], [1, 16, 4, 80], [1, 16, 4, 80], [1, 4, 4, 80], [1, 4, 4, 80]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case6-B1-Sq2-Skv16-Sink4-H4-D80-float32-causalTrue
AttentionSinkDecode,7,"[[4, 4, 8, 128], [4, 32, 8, 128], [4, 32, 8, 128], [4, 8, 8, 128], [4, 8, 8, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case7-B4-Sq4-Skv32-Sink8-H8-D128-float16-causalTrue
AttentionSinkDecode,8,"[[1, 8, 1, 32], [1, 64, 1, 32], [1, 64, 1, 32], [1, 1, 1, 32], [1, 1, 1, 32]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case8-B1-Sq8-Skv64-Sink1-H1-D32-bfloat16-causalTrue
AttentionSinkDecode,9,"[[2, 16, 2, 64], [2, 128, 2, 64], [2, 128, 2, 64], [2, 2, 2, 64], [2, 2, 2, 64]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""causal"": false}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case9-B2-Sq16-Skv128-Sink2-H2-D64-float32-causalFalse
AttentionSinkDecode,10,"[[1, 1, 4, 80], [1, 192, 4, 80], [1, 192, 4, 80], [1, 4, 4, 80], [1, 4, 4, 80]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case10-B1-Sq1-Skv192-Sink4-H4-D80-float16-causalTrue
AttentionSinkDecode,11,"[[4, 2, 8, 128], [4, 256, 8, 128], [4, 256, 8, 128], [4, 8, 8, 128], [4, 8, 8, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case11-B4-Sq2-Skv256-Sink8-H8-D128-bfloat16-causalTrue
AttentionSinkDecode,12,"[[1, 4, 1, 32], [1, 16, 1, 32], [1, 16, 1, 32], [1, 1, 1, 32], [1, 1, 1, 32]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case12-B1-Sq4-Skv16-Sink1-H1-D32-float32-causalTrue
AttentionSinkDecode,13,"[[2, 8, 2, 64], [2, 32, 2, 64], [2, 32, 2, 64], [2, 2, 2, 64], [2, 2, 2, 64]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case13-B2-Sq8-Skv32-Sink2-H2-D64-float16-causalTrue
AttentionSinkDecode,14,"[[1, 16, 4, 80], [1, 64, 4, 80], [1, 64, 4, 80], [1, 4, 4, 80], [1, 4, 4, 80]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case14-B1-Sq16-Skv64-Sink4-H4-D80-bfloat16-causalTrue
AttentionSinkDecode,15,"[[4, 1, 8, 128], [4, 128, 8, 128], [4, 128, 8, 128], [4, 8, 8, 128], [4, 8, 8, 128]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case15-B4-Sq1-Skv128-Sink8-H8-D128-float32-causalTrue
AttentionSinkDecode,16,"[[1, 2, 1, 32], [1, 192, 1, 32], [1, 192, 1, 32], [1, 1, 1, 32], [1, 1, 1, 32]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case16-B1-Sq2-Skv192-Sink1-H1-D32-float16-causalTrue
AttentionSinkDecode,17,"[[2, 4, 2, 64], [2, 256, 2, 64], [2, 256, 2, 64], [2, 2, 2, 64], [2, 2, 2, 64]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case17-B2-Sq4-Skv256-Sink2-H2-D64-bfloat16-causalTrue
AttentionSinkDecode,18,"[[1, 8, 4, 80], [1, 16, 4, 80], [1, 16, 4, 80], [1, 4, 4, 80], [1, 4, 4, 80]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""causal"": false}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case18-B1-Sq8-Skv16-Sink4-H4-D80-float32-causalFalse
AttentionSinkDecode,19,"[[4, 16, 8, 128], [4, 32, 8, 128], [4, 32, 8, 128], [4, 8, 8, 128], [4, 8, 8, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case19-B4-Sq16-Skv32-Sink8-H8-D128-float16-causalTrue
AttentionSinkDecode,20,"[[1, 1, 1, 32], [1, 64, 1, 32], [1, 64, 1, 32], [1, 1, 1, 32], [1, 1, 1, 32]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case20-B1-Sq1-Skv64-Sink1-H1-D32-bfloat16-causalTrue
AttentionSinkDecode,21,"[[2, 2, 2, 64], [2, 128, 2, 64], [2, 128, 2, 64], [2, 2, 2, 64], [2, 2, 2, 64]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case21-B2-Sq2-Skv128-Sink2-H2-D64-float32-causalTrue
AttentionSinkDecode,22,"[[1, 4, 4, 80], [1, 192, 4, 80], [1, 192, 4, 80], [1, 4, 4, 80], [1, 4, 4, 80]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case22-B1-Sq4-Skv192-Sink4-H4-D80-float16-causalTrue
AttentionSinkDecode,23,"[[4, 8, 8, 128], [4, 256, 8, 128], [4, 256, 8, 128], [4, 8, 8, 128], [4, 8, 8, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case23-B4-Sq8-Skv256-Sink8-H8-D128-bfloat16-causalTrue
AttentionSinkDecode,24,"[[1, 16, 1, 32], [1, 16, 1, 32], [1, 16, 1, 32], [1, 1, 1, 32], [1, 1, 1, 32]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case24-B1-Sq16-Skv16-Sink1-H1-D32-float32-causalTrue
AttentionSinkDecode,25,"[[2, 1, 2, 64], [2, 32, 2, 64], [2, 32, 2, 64], [2, 2, 2, 64], [2, 2, 2, 64]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""causal"": true}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",case25-B2-Sq1-Skv32-Sink2-H2-D64-float16-causalTrue
