operator,case_id,input_shape,dtype,attrs,value_range,note
PagedAttentionKvCache,1,"[[1, 1, 4, 32], [8, 8, 1, 32], [8, 8, 1, 32], [1], [1, 2]]","['float16', 'float16', 'float16', 'int64', 'int64']",{'causal': True},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [1, 16], [0, 7]]",float16-B1-Sq1-Hq4-Hkv1-D32-page8-blocks8-maxblk2-causalTrue
PagedAttentionKvCache,2,"[[1, 1, 4, 32], [8, 8, 1, 32], [8, 8, 1, 32], [1], [1, 2]]","['bfloat16', 'bfloat16', 'bfloat16', 'int32', 'int32']",{'causal': False},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [1, 16], [0, 7]]",bfloat16-B1-Sq1-Hq4-Hkv1-D32-page8-blocks8-maxblk2-causalFalse
PagedAttentionKvCache,3,"[[1, 1, 4, 32], [8, 8, 1, 32], [8, 8, 1, 32], [1], [1, 2]]","['float32', 'float32', 'float32', 'int32', 'int32']",{'causal': True},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [1, 16], [0, 7]]",float32-B1-Sq1-Hq4-Hkv1-D32-page8-blocks8-maxblk2-causalTrue
PagedAttentionKvCache,4,"[[2, 1, 4, 32], [8, 8, 1, 32], [8, 8, 1, 32], [2], [2, 2]]","['float16', 'float16', 'float16', 'int32', 'int32']",{'causal': False},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [1, 16], [0, 7]]",float16-B2-Sq1-Hq4-Hkv1-D32-page8-blocks8-maxblk2-causalFalse
PagedAttentionKvCache,5,"[[2, 1, 4, 32], [8, 8, 1, 32], [8, 8, 1, 32], [2], [2, 2]]","['bfloat16', 'bfloat16', 'bfloat16', 'int64', 'int32']",{'causal': True},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [1, 16], [0, 7]]",bfloat16-B2-Sq1-Hq4-Hkv1-D32-page8-blocks8-maxblk2-causalTrue
PagedAttentionKvCache,6,"[[2, 2, 4, 32], [8, 8, 1, 32], [8, 8, 1, 32], [2], [2, 2]]","['float32', 'float32', 'float32', 'int32', 'int64']",{'causal': False},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [2, 16], [0, 7]]",float32-B2-Sq2-Hq4-Hkv1-D32-page8-blocks8-maxblk2-causalFalse
PagedAttentionKvCache,7,"[[4, 2, 4, 32], [8, 8, 1, 32], [8, 8, 1, 32], [4], [4, 2]]","['float16', 'float16', 'float16', 'int32', 'int32']",{'causal': True},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [2, 16], [0, 7]]",float16-B4-Sq2-Hq4-Hkv1-D32-page8-blocks8-maxblk2-causalTrue
PagedAttentionKvCache,8,"[[4, 2, 8, 32], [8, 8, 1, 32], [8, 8, 1, 32], [4], [4, 2]]","['bfloat16', 'bfloat16', 'bfloat16', 'int32', 'int32']",{'causal': False},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [2, 16], [0, 7]]",bfloat16-B4-Sq2-Hq8-Hkv1-D32-page8-blocks8-maxblk2-causalFalse
PagedAttentionKvCache,9,"[[4, 2, 8, 32], [8, 8, 1, 32], [8, 8, 1, 32], [4], [4, 2]]","['float32', 'float32', 'float32', 'int64', 'int32']",{'causal': True},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [2, 16], [0, 7]]",float32-B4-Sq2-Hq8-Hkv1-D32-page8-blocks8-maxblk2-causalTrue
PagedAttentionKvCache,10,"[[1, 2, 8, 32], [8, 8, 1, 32], [8, 8, 1, 32], [1], [1, 2]]","['float16', 'float16', 'float16', 'int32', 'int32']",{'causal': False},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [2, 16], [0, 7]]",float16-B1-Sq2-Hq8-Hkv1-D32-page8-blocks8-maxblk2-causalFalse
PagedAttentionKvCache,11,"[[1, 4, 8, 32], [8, 8, 1, 32], [8, 8, 1, 32], [1], [1, 2]]","['bfloat16', 'bfloat16', 'bfloat16', 'int32', 'int64']",{'causal': True},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [4, 16], [0, 7]]",bfloat16-B1-Sq4-Hq8-Hkv1-D32-page8-blocks8-maxblk2-causalTrue
PagedAttentionKvCache,12,"[[1, 4, 8, 64], [8, 8, 1, 64], [8, 8, 1, 64], [1], [1, 2]]","['float32', 'float32', 'float32', 'int32', 'int32']",{'causal': False},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [4, 16], [0, 7]]",float32-B1-Sq4-Hq8-Hkv1-D64-page8-blocks8-maxblk2-causalFalse
PagedAttentionKvCache,13,"[[2, 4, 8, 64], [8, 8, 1, 64], [8, 8, 1, 64], [2], [2, 2]]","['float16', 'float16', 'float16', 'int64', 'int32']",{'causal': True},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [4, 16], [0, 7]]",float16-B2-Sq4-Hq8-Hkv1-D64-page8-blocks8-maxblk2-causalTrue
PagedAttentionKvCache,14,"[[2, 4, 8, 64], [8, 16, 1, 64], [8, 16, 1, 64], [2], [2, 2]]","['bfloat16', 'bfloat16', 'bfloat16', 'int32', 'int32']",{'causal': False},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [4, 32], [0, 7]]",bfloat16-B2-Sq4-Hq8-Hkv1-D64-page16-blocks8-maxblk2-causalFalse
PagedAttentionKvCache,15,"[[2, 4, 8, 64], [8, 16, 2, 64], [8, 16, 2, 64], [2], [2, 2]]","['float32', 'float32', 'float32', 'int32', 'int32']",{'causal': True},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [4, 32], [0, 7]]",float32-B2-Sq4-Hq8-Hkv2-D64-page16-blocks8-maxblk2-causalTrue
PagedAttentionKvCache,16,"[[4, 8, 8, 64], [8, 16, 2, 64], [8, 16, 2, 64], [4], [4, 2]]","['float16', 'float16', 'float16', 'int32', 'int64']",{'causal': False},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [8, 32], [0, 7]]",float16-B4-Sq8-Hq8-Hkv2-D64-page16-blocks8-maxblk2-causalFalse
PagedAttentionKvCache,17,"[[4, 8, 8, 64], [8, 16, 2, 64], [8, 16, 2, 64], [4], [4, 2]]","['bfloat16', 'bfloat16', 'bfloat16', 'int64', 'int32']",{'causal': True},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [8, 32], [0, 7]]",bfloat16-B4-Sq8-Hq8-Hkv2-D64-page16-blocks8-maxblk2-causalTrue
PagedAttentionKvCache,18,"[[4, 8, 8, 64], [16, 16, 2, 64], [16, 16, 2, 64], [4], [4, 2]]","['float32', 'float32', 'float32', 'int32', 'int32']",{'causal': False},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [8, 32], [0, 15]]",float32-B4-Sq8-Hq8-Hkv2-D64-page16-blocks16-maxblk2-causalFalse
PagedAttentionKvCache,19,"[[1, 8, 8, 64], [16, 16, 2, 64], [16, 16, 2, 64], [1], [1, 2]]","['float16', 'float16', 'float16', 'int32', 'int32']",{'causal': True},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [8, 32], [0, 15]]",float16-B1-Sq8-Hq8-Hkv2-D64-page16-blocks16-maxblk2-causalTrue
PagedAttentionKvCache,20,"[[1, 8, 8, 64], [16, 16, 2, 64], [16, 16, 2, 64], [1], [1, 4]]","['bfloat16', 'bfloat16', 'bfloat16', 'int32', 'int32']",{'causal': False},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [8, 64], [0, 15]]",bfloat16-B1-Sq8-Hq8-Hkv2-D64-page16-blocks16-maxblk4-causalFalse
PagedAttentionKvCache,21,"[[1, 16, 8, 64], [16, 16, 2, 64], [16, 16, 2, 64], [1], [1, 4]]","['float32', 'float32', 'float32', 'int64', 'int64']",{'causal': True},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [16, 64], [0, 15]]",float32-B1-Sq16-Hq8-Hkv2-D64-page16-blocks16-maxblk4-causalTrue
PagedAttentionKvCache,22,"[[2, 16, 8, 64], [16, 16, 4, 64], [16, 16, 4, 64], [2], [2, 4]]","['float16', 'float16', 'float16', 'int32', 'int32']",{'causal': False},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [16, 64], [0, 15]]",float16-B2-Sq16-Hq8-Hkv4-D64-page16-blocks16-maxblk4-causalFalse
PagedAttentionKvCache,23,"[[2, 16, 8, 128], [16, 16, 4, 128], [16, 16, 4, 128], [2], [2, 4]]","['bfloat16', 'bfloat16', 'bfloat16', 'int32', 'int32']",{'causal': True},"[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5], [16, 64], [0, 15]]",bfloat16-B2-Sq16-Hq8-Hkv4-D128-page16-blocks16-maxblk4-causalTrue
