operator,case_id,input_shape,dtype,attrs,value_range,note
WindowAttention2D,1,"[[1, 7, 7, 32], [96, 32], [96], [1, 16, 16]]","['float16', 'float16', 'float16', 'float16']","{'window_h': 4, 'window_w': 4, 'num_heads': 1}","[[-0.5, 0.5], [-0.1, 0.1], [-0.05, 0.05], [-0.1, 0.1]]",float16-B1-H7-W7-C32-heads1-window4x4-biasTrue-posbiasTrue
WindowAttention2D,2,"[[1, 7, 7, 32], [96, 32], [96], [1, 16, 16]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'window_h': 4, 'window_w': 4, 'num_heads': 1}","[[-0.5, 0.5], [-0.1, 0.1], [-0.05, 0.05], [-0.1, 0.1]]",bfloat16-B1-H7-W7-C32-heads1-window4x4-biasTrue-posbiasTrue
WindowAttention2D,3,"[[1, 7, 7, 32], [96, 32], [96], [1, 16, 16]]","['float32', 'float32', 'float32', 'float32']","{'window_h': 4, 'window_w': 4, 'num_heads': 1}","[[-0.5, 0.5], [-0.1, 0.1], [-0.05, 0.05], [-0.1, 0.1]]",float32-B1-H7-W7-C32-heads1-window4x4-biasTrue-posbiasTrue
WindowAttention2D,4,"[[2, 7, 7, 32], [96, 32], [96], [1, 16, 16]]","['float16', 'float16', 'float16', 'float16']","{'window_h': 4, 'window_w': 4, 'num_heads': 1}","[[-0.5, 0.5], [-0.1, 0.1], [-0.05, 0.05], [-0.1, 0.1]]",float16-B2-H7-W7-C32-heads1-window4x4-biasTrue-posbiasTrue
WindowAttention2D,5,"[[2, 7, 7, 32], [96, 32], [96], [1, 16, 16]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'window_h': 4, 'window_w': 4, 'num_heads': 1}","[[-0.5, 0.5], [-0.1, 0.1], [-0.05, 0.05], [-0.1, 0.1]]",bfloat16-B2-H7-W7-C32-heads1-window4x4-biasTrue-posbiasTrue
WindowAttention2D,6,"[[2, 8, 7, 32], [96, 32], [96], [1, 16, 16]]","['float32', 'float32', 'float32', 'float32']","{'window_h': 4, 'window_w': 4, 'num_heads': 1}","[[-0.5, 0.5], [-0.1, 0.1], [-0.05, 0.05], [-0.1, 0.1]]",float32-B2-H8-W7-C32-heads1-window4x4-biasTrue-posbiasTrue
WindowAttention2D,7,"[[4, 8, 7, 32], [96, 32], [96], [1, 16, 16]]","['float16', 'float16', 'float16', 'float16']","{'window_h': 4, 'window_w': 4, 'num_heads': 1}","[[-0.5, 0.5], [-0.1, 0.1], [-0.05, 0.05], [-0.1, 0.1]]",float16-B4-H8-W7-C32-heads1-window4x4-biasTrue-posbiasTrue
WindowAttention2D,8,"[[4, 8, 8, 32], [96, 32], [96], [1, 16, 16]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'window_h': 4, 'window_w': 4, 'num_heads': 1}","[[-0.5, 0.5], [-0.1, 0.1], [-0.05, 0.05], [-0.1, 0.1]]",bfloat16-B4-H8-W8-C32-heads1-window4x4-biasTrue-posbiasTrue
WindowAttention2D,9,"[[4, 8, 8, 32], [96, 32], [96], [1, 16, 16]]","['float32', 'float32', 'float32', 'float32']","{'window_h': 4, 'window_w': 4, 'num_heads': 1}","[[-0.5, 0.5], [-0.1, 0.1], [-0.05, 0.05], [-0.1, 0.1]]",float32-B4-H8-W8-C32-heads1-window4x4-biasTrue-posbiasTrue
WindowAttention2D,10,"[[1, 8, 8, 32], [96, 32], [96], [1, 16, 16]]","['float16', 'float16', 'float16', 'float16']","{'window_h': 4, 'window_w': 4, 'num_heads': 1}","[[-0.5, 0.5], [-0.1, 0.1], [-0.05, 0.05], [-0.1, 0.1]]",float16-B1-H8-W8-C32-heads1-window4x4-biasTrue-posbiasTrue
WindowAttention2D,11,"[[1, 14, 8, 32], [96, 32], [96], [1, 16, 16]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'window_h': 4, 'window_w': 4, 'num_heads': 1}","[[-0.5, 0.5], [-0.1, 0.1], [-0.05, 0.05], [-0.1, 0.1]]",bfloat16-B1-H14-W8-C32-heads1-window4x4-biasTrue-posbiasTrue
WindowAttention2D,12,"[[1, 14, 8, 64], [192, 64], [192], [1, 16, 16]]","['float32', 'float32', 'float32', 'float32']","{'window_h': 4, 'window_w': 4, 'num_heads': 1}","[[-0.5, 0.5], [-0.1, 0.1], [-0.05, 0.05], [-0.1, 0.1]]",float32-B1-H14-W8-C64-heads1-window4x4-biasTrue-posbiasTrue
WindowAttention2D,13,"[[2, 14, 8, 64], [192, 64], [192], [1, 16, 16]]","['float16', 'float16', 'float16', 'float16']","{'window_h': 4, 'window_w': 4, 'num_heads': 1}","[[-0.5, 0.5], [-0.1, 0.1], [-0.05, 0.05], [-0.1, 0.1]]",float16-B2-H14-W8-C64-heads1-window4x4-biasTrue-posbiasTrue
WindowAttention2D,14,"[[2, 14, 8, 64], [192, 64], [192], [2, 16, 16]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'window_h': 4, 'window_w': 4, 'num_heads': 2}","[[-0.5, 0.5], [-0.1, 0.1], [-0.05, 0.05], [-0.1, 0.1]]",bfloat16-B2-H14-W8-C64-heads2-window4x4-biasTrue-posbiasTrue
WindowAttention2D,15,"[[2, 14, 14, 64], [192, 64], [192], [2, 16, 16]]","['float32', 'float32', 'float32', 'float32']","{'window_h': 4, 'window_w': 4, 'num_heads': 2}","[[-0.5, 0.5], [-0.1, 0.1], [-0.05, 0.05], [-0.1, 0.1]]",float32-B2-H14-W14-C64-heads2-window4x4-biasTrue-posbiasTrue
WindowAttention2D,16,"[[4, 16, 14, 64], [192, 64], [192], [2, 16, 16]]","['float16', 'float16', 'float16', 'float16']","{'window_h': 4, 'window_w': 4, 'num_heads': 2}","[[-0.5, 0.5], [-0.1, 0.1], [-0.05, 0.05], [-0.1, 0.1]]",float16-B4-H16-W14-C64-heads2-window4x4-biasTrue-posbiasTrue
WindowAttention2D,17,"[[4, 16, 14, 64], [192, 64], [192], [2, 16, 16]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'window_h': 4, 'window_w': 4, 'num_heads': 2}","[[-0.5, 0.5], [-0.1, 0.1], [-0.05, 0.05], [-0.1, 0.1]]",bfloat16-B4-H16-W14-C64-heads2-window4x4-biasTrue-posbiasTrue
