operator,case_id,input_shape,dtype,attrs,value_range,note
Spmm,1,"[[9], [8], [8], [8, 8], [8, 8]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose_a"": false, ""transpose_b"": false}","[[0, 8], [0, 7], [-5, 5], [-5, 5], [-5, 5]]",float32-tiny-8x8x8-非转置B
Spmm,2,"[[9], [8], [8], [8, 8], [8, 8]]","[""int32"", ""int32"", ""float16"", ""float16"", ""float16""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose_a"": false, ""transpose_b"": false}","[[0, 8], [0, 7], [-5, 5], [-5, 5], [-5, 5]]",float16-tiny-8x8x8-非转置B
Spmm,3,"[[65], [0], [0], [64, 16], [64, 16]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose_a"": false, ""transpose_b"": false}","[[0, 0], [0, 63], [-5, 5], [-5, 5], [-5, 5]]",float32-empty-64x64x16-空矩阵
Spmm,4,"[[65], [0], [0], [64, 16], [64, 16]]","[""int32"", ""int32"", ""float16"", ""float16"", ""float16""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose_a"": false, ""transpose_b"": false}","[[0, 0], [0, 63], [-5, 5], [-5, 5], [-5, 5]]",float16-empty-64x64x16-空矩阵
Spmm,5,"[[2], [1024], [1024], [1024, 64], [1, 64]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose_a"": false, ""transpose_b"": false}","[[0, 1024], [0, 1023], [-5, 5], [-5, 5], [-5, 5]]",float32-单行-1024x1024x64-满行密集
Spmm,6,"[[4097], [4096], [4096], [4096, 128], [4096, 128]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose_a"": false, ""transpose_b"": false}","[[0, 4096], [0, 4095], [-5, 5], [-5, 5], [-5, 5]]",float32-极低密度-4096x4096x128
Spmm,7,"[[257], [4096], [4096], [256, 64], [256, 64]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose_a"": false, ""transpose_b"": false}","[[0, 4096], [0, 255], [-5, 5], [-5, 5], [-5, 5]]",float32-S-256x256x64
Spmm,8,"[[257], [4096], [4096], [256, 64], [256, 64]]","[""int32"", ""int32"", ""float16"", ""float16"", ""float16""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose_a"": false, ""transpose_b"": false}","[[0, 4096], [0, 255], [-5, 5], [-5, 5], [-5, 5]]",float16-S-256x256x64
Spmm,9,"[[4097], [65536], [65536], [256, 64], [4096, 64]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose_a"": false, ""transpose_b"": false}","[[0, 65536], [0, 255], [-5, 5], [-5, 5], [-5, 5]]",float32-M-竖长-4096x256x64
Spmm,10,"[[257], [65536], [65536], [1024, 256], [256, 256]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose_a"": false, ""transpose_b"": false}","[[0, 65536], [0, 1023], [-5, 5], [-5, 5], [-5, 5]]",float32-M-宽K-256x1024x256
Spmm,11,"[[257], [4096], [4096], [64, 256], [256, 64]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose_a"": false, ""transpose_b"": true}","[[0, 4096], [0, 255], [-5, 5], [-5, 5], [-5, 5]]",float32-S-256x256x64-转置B
Spmm,12,"[[257], [4096], [4096], [64, 256], [256, 64]]","[""int32"", ""int32"", ""float16"", ""float16"", ""float16""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose_a"": false, ""transpose_b"": true}","[[0, 4096], [0, 255], [-5, 5], [-5, 5], [-5, 5]]",float16-S-256x256x64-转置B
Spmm,13,"[[4097], [1048576], [1048576], [4096, 128], [4096, 128]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose_a"": false, ""transpose_b"": false}","[[0, 1048576], [0, 4095], [-5, 5], [-5, 5], [-5, 5]]",float32-L-4096x4096x128
Spmm,14,"[[4097], [1048576], [1048576], [4096, 128], [4096, 128]]","[""int32"", ""int32"", ""float16"", ""float16"", ""float16""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose_a"": false, ""transpose_b"": false}","[[0, 1048576], [0, 4095], [-5, 5], [-5, 5], [-5, 5]]",float16-L-4096x4096x128
Spmm,15,"[[4097], [1048576], [1048576], [128, 4096], [4096, 128]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose_a"": false, ""transpose_b"": true}","[[0, 1048576], [0, 4095], [-5, 5], [-5, 5], [-5, 5]]",float32-L-4096x4096x128-转置B
Spmm,16,"[[100001], [100000], [100000], [100000, 64], [100000, 64]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose_a"": false, ""transpose_b"": false}","[[0, 100000], [0, 99999], [-5, 5], [-5, 5], [-5, 5]]",float32-L-极稀疏-100000x100000x64
Spmm,17,"[[100001], [100000], [100000], [100000, 64], [100000, 64]]","[""int32"", ""int32"", ""float16"", ""float16"", ""float16""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose_a"": false, ""transpose_b"": false}","[[0, 100000], [0, 99999], [-5, 5], [-5, 5], [-5, 5]]",float16-L-极稀疏-100000x100000x64
Spmm,18,"[[1025], [131072], [131072], [2048, 64], [1024, 64]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 0.5, ""beta"": 2.0, ""transpose_a"": false, ""transpose_b"": false}","[[0, 131072], [0, 2047], [-5, 5], [-5, 5], [-5, 5]]",float32-M-1024x2048x64-alpha-beta缩放
Spmm,19,"[[1025], [131072], [131072], [2048, 64], [1024, 64]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": -1.5, ""beta"": -0.25, ""transpose_a"": false, ""transpose_b"": false}","[[0, 131072], [0, 2047], [-5, 5], [-5, 5], [-5, 5]]",float32-M-负alpha-beta
