operator,case_id,input_shape,dtype,attrs,value_range,note
Spmv,1,"[[9], [8], [8], [8], [8]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose"": false}","[[0, 8], [0, 7], [-5, 5], [-5, 5], [-5, 5]]",float32-tiny-8x8-非转置
Spmv,2,"[[9], [8], [8], [8], [8]]","[""int32"", ""int32"", ""float16"", ""float16"", ""float16""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose"": false}","[[0, 8], [0, 7], [-5, 5], [-5, 5], [-5, 5]]",float16-tiny-8x8-非转置
Spmv,3,"[[65], [0], [0], [64], [64]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose"": false}","[[0, 0], [0, 63], [-5, 5], [-5, 5], [-5, 5]]",float32-empty-64x64-空矩阵
Spmv,4,"[[65], [0], [0], [64], [64]]","[""int32"", ""int32"", ""float16"", ""float16"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose"": false}","[[0, 0], [0, 63], [-5, 5], [-5, 5], [-5, 5]]",float16-empty-64x64-空矩阵-混合输出
Spmv,5,"[[2], [4096], [4096], [4096], [1]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose"": false}","[[0, 4096], [0, 4095], [-5, 5], [-5, 5], [-5, 5]]",float32-单行-4096x1x4096-满行密集
Spmv,6,"[[4097], [4096], [4096], [4096], [4096]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose"": false}","[[0, 4096], [0, 4095], [-5, 5], [-5, 5], [-5, 5]]",float32-极低密度-4096x4096-短行均分
Spmv,7,"[[257], [4096], [4096], [256], [256]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose"": false}","[[0, 4096], [0, 255], [-5, 5], [-5, 5], [-5, 5]]",float32-S-256x256
Spmv,8,"[[257], [4096], [4096], [256], [256]]","[""int32"", ""int32"", ""float16"", ""float16"", ""float16""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose"": false}","[[0, 4096], [0, 255], [-5, 5], [-5, 5], [-5, 5]]",float16-S-256x256
Spmv,9,"[[4097], [65536], [65536], [256], [4096]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose"": false}","[[0, 65536], [0, 255], [-5, 5], [-5, 5], [-5, 5]]",float32-M-竖长-4096x256
Spmv,10,"[[257], [65536], [65536], [4096], [256]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose"": false}","[[0, 65536], [0, 4095], [-5, 5], [-5, 5], [-5, 5]]",float32-M-横宽-256x4096
Spmv,11,"[[4097], [65536], [65536], [4096], [256]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose"": true}","[[0, 65536], [0, 255], [-5, 5], [-5, 5], [-5, 5]]",float32-M-竖长-转置
Spmv,12,"[[257], [65536], [65536], [256], [4096]]","[""int32"", ""int32"", ""float32"", ""float32"", ""float32""]","{""alpha"": 1.0, ""beta"": 0.0, ""transpose"": true}","[[0, 65536], [0, 4095], [-5, 5], [-5, 5], [-5, 5]]",float32-M-横宽-转置
