operator,case_id,input_shape,dtype,attrs,value_range,note
Spvv,1,"[[1], [1], [256]]","[""int32"", ""float32"", ""float32""]",{},"[[0, 255], [-1, 1], [-1, 1]]",float32-tiny-单非零元
Spvv,2,"[[1], [1], [256]]","[""int32"", ""float16"", ""float16""]",{},"[[0, 255], [-1, 1], [-1, 1]]",float16-tiny-单非零元
Spvv,3,"[[0], [0], [256]]","[""int32"", ""float32"", ""float32""]",{},"[[0, 255], [-1, 1], [-1, 1]]",float32-zero-nnz-空稀疏向量
Spvv,4,"[[0], [0], [256]]","[""int32"", ""float16"", ""float16""]",{},"[[0, 255], [-1, 1], [-1, 1]]",float16-zero-nnz-空稀疏向量
Spvv,5,"[[256], [256], [10240]]","[""int32"", ""float32"", ""float32""]",{},"[[0, 10239], [-1, 1], [-1, 1]]",float32-S-256x10240
Spvv,6,"[[256], [256], [10240]]","[""int32"", ""float16"", ""float16""]",{},"[[0, 10239], [-1, 1], [-1, 1]]",float16-S-256x10240
Spvv,7,"[[512], [512], [10240]]","[""int32"", ""float32"", ""float32""]",{},"[[0, 10239], [-1, 1], [-1, 1]]",float32-S-512x10240-最小每核nnz阈值
Spvv,8,"[[513], [513], [10240]]","[""int32"", ""float16"", ""float16""]",{},"[[0, 10239], [-1, 1], [-1, 1]]",float16-S-513x10240-阈值加一跨核
Spvv,9,"[[4096], [4096], [10240]]","[""int32"", ""float32"", ""float32""]",{},"[[0, 10239], [-1, 1], [-1, 1]]",float32-S-4096x10240-高密度
Spvv,10,"[[4096], [4096], [10240]]","[""int32"", ""float16"", ""float16""]",{},"[[0, 10239], [-1, 1], [-1, 1]]",float16-S-4096x10240-高密度
Spvv,11,"[[1000], [1000], [1237]]","[""int32"", ""float32"", ""float32""]",{},"[[0, 1236], [-1, 1], [-1, 1]]",float32-S-非对齐-质数yLen
Spvv,12,"[[999], [999], [1237]]","[""int32"", ""float16"", ""float16""]",{},"[[0, 1236], [-1, 1], [-1, 1]]",float16-S-非对齐-质数yLen
Spvv,13,"[[1024], [1024], [1024]]","[""int32"", ""float32"", ""float32""]",{},"[[0, 1023], [-1, 1], [-1, 1]]",float32-S-全密集
Spvv,14,"[[1024], [1024], [1024]]","[""int32"", ""float16"", ""float16""]",{},"[[0, 1023], [-1, 1], [-1, 1]]",float16-S-全密集
Spvv,15,"[[10000], [10000], [102400]]","[""int32"", ""float32"", ""float32""]",{},"[[0, 102399], [-1, 1], [-1, 1]]",float32-M-10000x102400
Spvv,16,"[[10000], [10000], [102400]]","[""int32"", ""float16"", ""float16""]",{},"[[0, 102399], [-1, 1], [-1, 1]]",float16-M-10000x102400
Spvv,17,"[[100000], [100000], [1000000]]","[""int32"", ""float32"", ""float32""]",{},"[[0, 999999], [-1, 1], [-1, 1]]",float32-L-100000x1M
Spvv,18,"[[100000], [100000], [1000000]]","[""int32"", ""float16"", ""float16""]",{},"[[0, 999999], [-1, 1], [-1, 1]]",float16-L-100000x1M
Spvv,19,"[[100000], [100000], [10000000]]","[""int32"", ""float32"", ""float32""]",{},"[[0, 9999999], [-1, 1], [-1, 1]]",float32-L-100000x10M
Spvv,20,"[[100000], [100000], [10000000]]","[""int32"", ""float16"", ""float16""]",{},"[[0, 9999999], [-1, 1], [-1, 1]]",float16-L-100000x10M
Spvv,21,"[[100], [100], [10000000]]","[""int32"", ""float32"", ""float32""]",{},"[[0, 9999999], [-1, 1], [-1, 1]]",float32-L-极稀疏-标量兜底路径
Spvv,22,"[[100], [100], [10000000]]","[""int32"", ""float16"", ""float16""]",{},"[[0, 9999999], [-1, 1], [-1, 1]]",float16-L-极稀疏-标量兜底路径
Spvv,23,"[[131072], [131072], [131072]]","[""int32"", ""float32"", ""float32""]",{},"[[0, 131071], [-1, 1], [-1, 1]]",float32-L-大密集
Spvv,24,"[[131072], [131072], [131072]]","[""int32"", ""float16"", ""float16""]",{},"[[0, 131071], [-1, 1], [-1, 1]]",float16-L-大密集
