operator,case_id,input_shape,dtype,attrs,value_range,note
FlashAttention,1,"[[4, 1, 32, 512], [4, 128, 32, 512], [4, 128, 32, 512]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B4_Sq1_Skv128_N32_D512_float16
FlashAttention,2,"[[8, 256, 16, 128], [8, 256, 16, 128], [8, 256, 16, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B8_Sq256_Skv256_N16_D128_bfloat16
FlashAttention,3,"[[1, 1, 8, 512], [1, 128, 8, 512], [1, 128, 8, 512]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B1_Sq1_Skv128_N8_D512_float16
FlashAttention,4,"[[4, 128, 8, 128], [4, 128, 8, 128], [4, 128, 8, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B4_Sq128_Skv128_N8_D128_float16
FlashAttention,5,"[[4, 1, 16, 256], [4, 473, 16, 256], [4, 473, 16, 256]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B4_Sq1_Skv473_N16_D256_float16
FlashAttention,6,"[[4, 473, 8, 128], [4, 473, 8, 128], [4, 473, 8, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B4_Sq473_Skv473_N8_D128_float16
FlashAttention,7,"[[4, 512, 32, 512], [4, 512, 32, 512], [4, 512, 32, 512]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B4_Sq512_Skv512_N32_D512_float16
FlashAttention,8,"[[2, 1, 32, 128], [2, 183, 32, 128], [2, 183, 32, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B2_Sq1_Skv183_N32_D128_float16
FlashAttention,9,"[[8, 12, 8, 128], [8, 512, 8, 128], [8, 512, 8, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B8_Sq12_Skv512_N8_D128_float16
FlashAttention,10,"[[4, 1, 8, 512], [4, 97, 8, 512], [4, 97, 8, 512]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B4_Sq1_Skv97_N8_D512_float16
FlashAttention,11,"[[1, 1, 8, 512], [1, 128, 8, 512], [1, 128, 8, 512]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B1_Sq1_Skv128_N8_D512_bfloat16
FlashAttention,12,"[[4, 128, 8, 128], [4, 128, 8, 128], [4, 128, 8, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B4_Sq128_Skv128_N8_D128_bfloat16
FlashAttention,13,"[[4, 25, 16, 256], [4, 512, 16, 256], [4, 512, 16, 256]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B4_Sq25_Skv512_N16_D256_bfloat16
FlashAttention,14,"[[4, 473, 8, 128], [4, 473, 8, 128], [4, 473, 8, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B4_Sq473_Skv473_N8_D128_bfloat16
FlashAttention,15,"[[4, 512, 32, 512], [4, 512, 32, 512], [4, 512, 32, 512]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B4_Sq512_Skv512_N32_D512_bfloat16
FlashAttention,16,"[[2, 1, 32, 128], [2, 183, 32, 128], [2, 183, 32, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B2_Sq1_Skv183_N32_D128_bfloat16
FlashAttention,17,"[[1, 1, 4, 128], [1, 128, 4, 128], [1, 128, 4, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B1_Sq1_Skv128_N4_D128_float16
FlashAttention,18,"[[1, 16, 4, 128], [1, 256, 4, 128], [1, 256, 4, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B1_Sq16_Skv256_N4_D128_float16
FlashAttention,19,"[[1, 64, 4, 128], [1, 64, 4, 128], [1, 64, 4, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B1_Sq64_Skv64_N4_D128_float16
FlashAttention,20,"[[1, 128, 4, 128], [1, 256, 4, 128], [1, 256, 4, 128]]","[""float16"", ""float16"", ""float16""]","{""scaleValue"": -1.0, ""is_causal"": false}","[-1, 1]",B1_Sq128_Skv256_N4_D128_float16
