operator,case_id,input_shape,dtype,attrs,value_range,note
Gemm,1,"[[1024, 1024], [1024, 1024]]","[float16, float16]",{},"[[-1, 1], [-1, 1]]",A-标准方阵-fp16-1024x1024x1024-完全对齐 | baseline_kernels: MatMul×1
Gemm,2,"[[2048, 2048], [2048, 2048]]","[float16, float16]",{},"[[-1, 1], [-1, 1]]",A-标准方阵-fp16-2048x2048x2048-中等规模 | baseline_kernels: MatMul×1
Gemm,3,"[[4096, 4096], [4096, 4096]]","[float16, float16]",{},"[[-1, 1], [-1, 1]]",A-标准方阵-fp16-4096x4096x4096-大规模 | baseline_kernels: MatMul×1
Gemm,4,"[[8192, 8192], [8192, 8192]]","[float16, float16]",{},"[[-1, 1], [-1, 1]]",A-标准方阵-fp16-8192x8192x8192-超大规模 | baseline_kernels: MatMul×1
Gemm,5,"[[1024, 1024], [1024, 1024]]","[bfloat16, bfloat16]",{},"[[-1, 1], [-1, 1]]",B-bf16-1024x1024x1024-与case1对比 | baseline_kernels: MatMul×1
Gemm,6,"[[4096, 4096], [4096, 4096]]","[bfloat16, bfloat16]",{},"[[-1, 1], [-1, 1]]",B-bf16-4096x4096x4096-与case3对比 | baseline_kernels: MatMul×1
Gemm,7,"[[2048, 4096], [4096, 2048]]","[bfloat16, bfloat16]",{},"[[-1, 1], [-1, 1]]",B-bf16-2048x4096x2048-非方阵K大 | baseline_kernels: MatMul×1
Gemm,8,"[[8192, 1024], [1024, 8192]]","[bfloat16, bfloat16]",{},"[[-1, 1], [-1, 1]]",B-bf16-8192x1024x8192-大MN小K | baseline_kernels: MatMul×1
Gemm,9,"[[1, 4096], [4096, 4096]]","[float16, float16]",{},"[[-1, 1], [-1, 1]]",C-Decode-M=1-LLaMA-7B-attn-fp16 | baseline_kernels: MatMul×1
Gemm,10,"[[1, 4096], [4096, 14336]]","[float16, float16]",{},"[[-1, 1], [-1, 1]]",C-Decode-M=1-LLaMA-7B-FFN-gate-fp16 | baseline_kernels: MatMul×1
Gemm,11,"[[1, 8192], [8192, 4096]]","[float16, float16]",{},"[[-1, 1], [-1, 1]]",C-Decode-M=1-大K=8192-fp16 | baseline_kernels: MatMul×1
Gemm,12,"[[1, 3584], [3584, 4608]]","[float16, float16]",{},"[[-1, 1], [-1, 1]]",C-Decode-M=1-Qwen2-7B-qkv-fp16 | baseline_kernels: MatMul×1
Gemm,13,"[[128, 4096], [4096, 4096]]","[float16, float16]",{},"[[-1, 1], [-1, 1]]",D-Prefill-M=128-LLaMA-7B-attn-fp16 | baseline_kernels: MatMul×1
Gemm,14,"[[128, 4096], [4096, 14336]]","[float16, float16]",{},"[[-1, 1], [-1, 1]]",D-Prefill-M=128-LLaMA-7B-FFN-gate-fp16 | baseline_kernels: MatMul×1
Gemm,15,"[[512, 4096], [4096, 4096]]","[float16, float16]",{},"[[-1, 1], [-1, 1]]",D-Prefill-M=512-中等序列-fp16 | baseline_kernels: MatMul×1
Gemm,16,"[[1024, 3584], [3584, 3584]]","[float16, float16]",{},"[[-1, 1], [-1, 1]]",D-Prefill-M=1024-Qwen2-7B-o_proj-fp16 | baseline_kernels: MatMul×1
Gemm,17,"[[1009, 1024], [1024, 1024]]","[float16, float16]",{},"[[-1, 1], [-1, 1]]",E-边缘-M=1009质数-非对齐-fp16 | baseline_kernels: MatMul×1
Gemm,18,"[[512, 1040], [1040, 1024]]","[float16, float16]",{},"[[-1, 1], [-1, 1]]",E-边缘-K=1040非2幂-fp16 | baseline_kernels: MatMul×1
Gemm,19,"[[64, 64], [64, 64]]","[float16, float16]",{},"[[-1, 1], [-1, 1]]",E-边缘-64x64x64-超小规模-fp16 | baseline_kernels: MatMul×1
Gemm,20,"[[2048, 7168], [7168, 2048]]","[bfloat16, bfloat16]",{},"[[-1, 1], [-1, 1]]",E-边缘-DeepSeek-V2-K=7168-bf16 | baseline_kernels: MatMul×1
