operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
Sigmoid,1,"[[1024, 1024]]","[""float16""]",{},"[-1, 1]",5.30,S-float16-1M-对齐-对称小值域
Sigmoid,2,"[[2048, 2048]]","[""float32""]",{},"[-2, 2]",18.14,M-float32-4M-对齐-对称小值域
Sigmoid,3,"[[4096, 4096]]","[""bfloat16""]",{},"[-3, 3]",35.86,M-bfloat16-16M-对齐-对称小值域
Sigmoid,4,"[[8192, 8192]]","[""float16""]",{},"[-10, 10]",142.20,L-float16-67M-对齐-对称中值域-2D扁平
Sigmoid,5,"[[8192, 8192]]","[""float32""]",{},"[-100, 100]",360.23,L-float32-268M-对齐-对称大值域-2D
Sigmoid,6,"[[1023, 1023]]","[""bfloat16""]",{},"[-0.1, 0.1]",5.38,S-bfloat16-1M-非对齐-对称微小值域
Sigmoid,7,"[[1009, 1021]]","[""float16""]",{},"[-1, 2]",5.02,S-float16-1M-质数非对齐-非对称小值域-5D
Sigmoid,8,"[[1537, 769]]","[""float32""]",{},"[-5, 10]",6.60,S-float32-1M-非对齐-非对称中值域
Sigmoid,9,"[[363, 367, 373]]","[""bfloat16""]",{},"[-50, 100]",100.08,M-bfloat16-50M-质数非对齐-非对称大值域-3D
Sigmoid,10,"[[2049, 513]]","[""float16""]",{},"[-65504, 65504]",5.16,S-float16-1M-非对齐-float16边界值
Sigmoid,11,"[[3, 7, 13, 4001]]","[""float32""]",{},"[-88, 88]",6.32,S-float32-1M-质数非对齐-float32边界值-4D
Sigmoid,12,[[1000003]],"[""bfloat16""]",{},"[""-inf"", ""inf""]",5.12,S-bfloat16-1M-质数非对齐-inf特殊值-1D
Sigmoid,13,"[[11, 13, 17, 67, 67]]","[""float32""]",{},"[""nan"", ""nan""]",37.14,M-float32-10M-质数非对齐-nan特殊值-5D
Sigmoid,14,"[[3, 7, 11, 13, 1009]]","[""float16""]",{},"[0, 0]",9.18,S-float16-3M-质数非对齐-零值-5D
Sigmoid,15,"[[512, 2049]]","[""float32""]",{},"[-0.5, 0.5]",5.92,S-float32-1M-非对齐-对称微小值域
Sigmoid,16,"[[255, 8193]]","[""bfloat16""]",{},"[-1, 3]",7.40,S-bfloat16-2M-非对齐-非对称小值域
Sigmoid,17,"[[4097, 511]]","[""float16""]",{},"[-1000, 1000]",6.80,S-float16-2M-非对齐-对称大值域
Sigmoid,18,"[[2, 511, 2049]]","[""float32""]",{},"[-0.2, 0.2]",9.78,S-float32-2M-非对齐-对称微小值域-3D
Sigmoid,19,"[[4, 255, 2049]]","[""bfloat16""]",{},"[-3, 6]",7.56,S-bfloat16-2M-非对齐-非对称中值域-3D
Sigmoid,20,"[[2, 3, 17, 1024, 101]]","[""float32""]",{},"[-20, 40]",36.14,M-float32-10M-非对齐-非对称大值域-5D
