operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
SwiGlu,1,"[[1024, 2048]]",['float16'],{'scalarValue': 1.0},"[-1, 1]",38.22,S-float16-2M-对齐-对称小值域-scalarValue=1.0
SwiGlu,2,"[[2048, 4096]]",['float32'],{'scalarValue': 1.0},"[-2, 2]",88.19,M-float32-8M-对齐-对称小值域-scalarValue=1.0
SwiGlu,3,"[[4096, 8192]]",['bfloat16'],{'scalarValue': 1.0},"[-3, 3]",194.58,M-bfloat16-33M-对齐-对称小值域-scalarValue=1.0
SwiGlu,4,"[[8192, 16384]]",['float16'],{'scalarValue': 0.5},"[-10, 10]",1850.79,L-float16-134M-对齐-对称中值域-scalarValue=0.5
SwiGlu,5,"[[2039, 65521]]",['float32'],{'scalarValue': 2.0},"[-100, 100]",3819.22,L-float32-132M-质数非对齐-对称大值域-scalarValue=2.0
SwiGlu,6,"[[1023, 2047]]",['bfloat16'],{'scalarValue': 0.1},"[-0.1, 0.1]",42.49,S-bfloat16-2M-非对齐-对称微小值域-scalarValue=0.1
SwiGlu,7,"[[1009, 2017]]",['float16'],{'scalarValue': 1.0},"[-1, 2]",41.55,S-float16-2M-质数非对齐-非对称小值域
SwiGlu,8,"[[1537, 1537]]",['float32'],{'scalarValue': 0.5},"[-5, 10]",52.25,S-float32-2M-非对齐-非对称中值域-scalarValue=0.5
SwiGlu,9,"[[363, 367, 15]]",['bfloat16'],{'scalarValue': 1.0},"[-50, 100]",62.17,S-bfloat16-50M-质数非对齐-非对称大值域-3D
SwiGlu,10,"[[2049, 1025]]",['float16'],{'scalarValue': 1.5},"[-65504, 65504]",43.43,S-float16-2M-非对齐-float16边界值-scalarValue=1.5
SwiGlu,11,"[[3, 7, 13, 1019]]",['float32'],{'scalarValue': 1.0},"[-88, 88]",33.01,S-float32-2M-质数非对齐-float32边界值-4D
SwiGlu,12,"[[1000003, 2]]",['bfloat16'],{'scalarValue': 0.0},"['-inf', 'inf']",76.86,S-bfloat16-2M-质数非对齐-scalarValue=0.0-inf特殊值
SwiGlu,13,"[[11, 13, 17, 67]]",['float32'],{'scalarValue': 'nan'},"['nan', 'nan']",29.25,S-float32-10M-质数非对齐-scalarValue=nan-nan特殊值-4D
SwiGlu,14,"[[3, 7, 11, 13, 1013]]",['float16'],{'scalarValue': 1.0},"[0, 0]",54.51,S-float16-3M-质数非对齐-零值-5D
SwiGlu,15,"[[512, 4097]]",['float32'],{'scalarValue': 1.0},"[-0.5, 0.5]",47.62,S-float32-2M-非对齐-对称微小值域
SwiGlu,16,"[[255, 16383]]",['bfloat16'],{'scalarValue': 0.5},"[-1, 3]",50.59,S-bfloat16-4M-非对齐-非对称小值域-scalarValue=0.5
SwiGlu,17,"[[4097, 1023]]",['float16'],{'scalarValue': 2.0},"[-1000, 1000]",61.46,S-float16-4M-非对齐-对称大值域-scalarValue=2.0
SwiGlu,18,"[[2, 1023, 4097]]",['float32'],{'scalarValue': 1.0},"[-0.2, 0.2]",102.72,M-float32-8M-非对齐-对称微小值域-3D
SwiGlu,19,"[[4, 511, 4097]]",['bfloat16'],{'scalarValue': 1.5},"[-3, 6]",78.36,M-bfloat16-8M-非对齐-非对称中值域-3D-scalarValue=1.5
SwiGlu,20,"[[2, 3, 17, 512, 101]]",['float32'],{'scalarValue': 1.0},"[-20, 40]",163.58,M-float32-10M-非对齐-非对称大值域-5D
