operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
ApplyAdamW,1,"[[1024, 1024], [1024, 1024], [1024, 1024], [1024, 1024]]","['float32', 'float32', 'float32', 'float32']","{'lr': 0.001, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.0, 'epsilon': '1e-08', 'maximize': False}","[[-1, 1], [-1, 1], [-0.1, 0.1], [0, 0.1]]",119.83,M-float32-1M-对齐-对称小值域-lr=0.001
ApplyAdamW,2,"[[2048, 2048], [2048, 2048], [2048, 2048], [2048, 2048]]","['float16', 'float16', 'float16', 'float16']","{'lr': 0.01, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.01, 'epsilon': '1e-08', 'maximize': False}","[[-2, 2], [-2, 2], [-0.2, 0.2], [0, 0.2]]",161.94,M-float16-4M-对齐-对称小值域-lr=0.01
ApplyAdamW,3,"[[4096, 4096], [4096, 4096], [4096, 4096], [4096, 4096]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'lr': 0.0001, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.1, 'epsilon': '1e-08', 'maximize': False}","[[-3, 3], [-3, 3], [-0.3, 0.3], [0, 0.3]]",547.52,L-bfloat16-16M-对齐-对称小值域-lr=0.0001
ApplyAdamW,4,"[[4096, 4096], [4096, 4096], [4096, 4096], [4096, 4096]]","['float32', 'float32', 'float32', 'float32']","{'lr': 0.1, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.0, 'epsilon': '1e-08', 'maximize': False}","[[-10, 10], [-10, 10], [-1, 1], [0, 1]]",895.53,L-float32-67M-对齐-对称中值域-lr=0.1
ApplyAdamW,5,"[[4096, 8192], [4096, 8192], [4096, 8192], [4096, 8192]]","['float16', 'float16', 'float16', 'float16']","{'lr': 1.0, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 1.0, 'epsilon': '1e-08', 'maximize': False}","[[-100, 100], [-100, 100], [-10, 10], [0, 10]]",968.14,L-float16-268M-对齐-对称大值域-lr=1.0-wd=1.0
ApplyAdamW,6,"[[1023, 1023], [1023, 1023], [1023, 1023], [1023, 1023]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'lr': 0.001, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.01, 'epsilon': '1e-08', 'maximize': False}","[[-0.1, 0.1], [-0.1, 0.1], [-0.01, 0.01], [0, 0.01]]",125.02,S-bfloat16-1M-非对齐-对称微小值域
ApplyAdamW,7,"[[1009, 1021], [1009, 1021], [1009, 1021], [1009, 1021]]","['float32', 'float32', 'float32', 'float32']","{'lr': 0.5, 'beta1': 0.5, 'beta2': 0.9, 'weight_decay': 0.5, 'epsilon': '1e-08', 'maximize': False}","[[-1, 2], [-1, 2], [-0.1, 0.1], [0, 0.1]]",123.49,M-float32-1M-质数非对齐-低动量-beta1=0.5
ApplyAdamW,8,"[[1537, 769], [1537, 769], [1537, 769], [1537, 769]]","['float16', 'float16', 'float16', 'float16']","{'lr': 0.0001, 'beta1': 0.99, 'beta2': 0.99, 'weight_decay': 0.0, 'epsilon': '1e-06', 'maximize': False}","[[-5, 10], [-5, 10], [-0.5, 0.5], [0, 0.5]]",107.27,S-float16-1M-非对齐-高动量-beta1=0.99
ApplyAdamW,9,"[[363, 367, 373], [363, 367, 373], [363, 367, 373], [363, 367, 373]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'lr': 0.01, 'beta1': 0.0, 'beta2': 0.5, 'weight_decay': 0.5, 'epsilon': '1e-08', 'maximize': False}","[[-50, 100], [-50, 100], [-5, 5], [0, 5]]",2428.9,L-bfloat16-50M-质数非对齐-无动量-beta1=0.0-3D
ApplyAdamW,10,"[[2049, 513], [2049, 513], [2049, 513], [2049, 513]]","['float32', 'float32', 'float32', 'float32']","{'lr': 0.001, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.01, 'epsilon': '1e-08', 'maximize': True}","[[-65504, 65504], [-65504, 65504], [-6550, 6550], [0, 6550]]",123.82,M-float32-1M-非对齐-maximize=true
ApplyAdamW,11,"[[3, 7, 13, 4001], [3, 7, 13, 4001], [3, 7, 13, 4001], [3, 7, 13, 4001]]","['float16', 'float16', 'float16', 'float16']","{'lr': 0.001, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.0, 'epsilon': '1e-08', 'maximize': False}","[[-88, 88], [-88, 88], [-8.8, 8.8], [0, 8.8]]",98.66,S-float16-1M-质数非对齐-float32边界值-4D
ApplyAdamW,12,"[[1000003], [1000003], [1000003], [1000003]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'lr': 0.001, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.0, 'epsilon': '1e-08', 'maximize': False}","[['-inf', 'inf'], ['-inf', 'inf'], [-1, 1], [0, 1]]",117.93,S-bfloat16-1M-质数非对齐-inf特殊值-1D
ApplyAdamW,13,"[[11, 13, 17, 67, 67], [11, 13, 17, 67, 67], [11, 13, 17, 67, 67], [11, 13, 17, 67, 67]]","['float32', 'float32', 'float32', 'float32']","{'lr': 0.001, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.0, 'epsilon': 0.0, 'maximize': False}","[['nan', 'nan'], ['nan', 'nan'], ['nan', 'nan'], ['nan', 'nan']]",506.51,L-float32-10M-质数非对齐-epsilon=0.0-nan特殊值-5D
ApplyAdamW,14,"[[3, 7, 11, 13, 1013], [3, 7, 11, 13, 1013], [3, 7, 11, 13, 1013], [3, 7, 11, 13, 1013]]","['float16', 'float16', 'float16', 'float16']","{'lr': 0.001, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.0, 'epsilon': '1e-08', 'maximize': False}","[[0, 0], [0, 0], [0, 0], [0, 0]]",134.0,M-float16-3M-质数非对齐-零值-5D
ApplyAdamW,15,"[[512, 2049], [512, 2049], [512, 2049], [512, 2049]]","['float32', 'float32', 'float32', 'float32']","{'lr': 0.001, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.0, 'epsilon': '1e-04', 'maximize': False}","[[-0.5, 0.5], [-0.5, 0.5], [-0.05, 0.05], [0, 0.05]]",124.63,M-float32-1M-非对齐-大epsilon=1e-04
ApplyAdamW,16,"[[255, 8193], [255, 8193], [255, 8193], [255, 8193]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'lr': 0.01, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.01, 'epsilon': '1e-08', 'maximize': False}","[[-1, 3], [-1, 3], [-0.1, 0.1], [0, 0.1]]",152.87,M-bfloat16-2M-非对齐-非对称小值域
ApplyAdamW,17,"[[4097, 511], [4097, 511], [4097, 511], [4097, 511]]","['float16', 'float16', 'float16', 'float16']","{'lr': 0.1, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.1, 'epsilon': '1e-08', 'maximize': False}","[[-1000, 1000], [-1000, 1000], [-100, 100], [0, 100]]",128.83,M-float16-2M-非对齐-对称大值域
ApplyAdamW,18,"[[2, 511, 2049], [2, 511, 2049], [2, 511, 2049], [2, 511, 2049]]","['float32', 'float32', 'float32', 'float32']","{'lr': 0.001, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.0, 'epsilon': '1e-08', 'maximize': False}","[[-0.2, 0.2], [-0.2, 0.2], [-0.02, 0.02], [0, 0.02]]",158.31,M-float32-2M-非对齐-对称微小值域-3D
ApplyAdamW,19,"[[4, 255, 2049], [4, 255, 2049], [4, 255, 2049], [4, 255, 2049]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'lr': 0.0001, 'beta1': 0.99, 'beta2': 0.99, 'weight_decay': 0.5, 'epsilon': '1e-06', 'maximize': False}","[[-3, 6], [-3, 6], [-0.3, 0.3], [0, 0.3]]",154.08,M-bfloat16-2M-非对齐-非对称中值域-3D
ApplyAdamW,20,"[[2, 3, 17, 1024, 101], [2, 3, 17, 1024, 101], [2, 3, 17, 1024, 101], [2, 3, 17, 1024, 101]]","['float32', 'float32', 'float32', 'float32']","{'lr': 0.001, 'beta1': 0.9, 'beta2': 0.999, 'weight_decay': 0.01, 'epsilon': '1e-08', 'maximize': True}","[[-20, 40], [-20, 40], [-2, 2], [0, 2]]",482.18,L-float32-10M-非对齐-非对称大值域-5D-maximize=true
