operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
ApplyRotaryPosEmb,1,"[[16, 512, 16, 128], [16, 512, 16, 128], [512, 64], [512, 64]]","['float16', 'float16', 'float16', 'float16']","{'layout': 0, 'rotaryMode': 'half'}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1]]",None,"float16-16M-对齐-layout=0-half-B,S,N,D"
ApplyRotaryPosEmb,2,"[[7, 1021, 31, 61], [7, 1021, 31, 61], [1021, 32], [1021, 32]]","['float32', 'float32', 'float32', 'float32']","{'layout': 0, 'rotaryMode': 'half'}","[[-2, 2], [-2, 2], [-1, 1], [-1, 1]]",None,"float32-13M-质数非对齐-layout=0-half-B,S,N,D"
ApplyRotaryPosEmb,3,"[[31, 251, 7, 257], [31, 251, 7, 257], [251, 128], [251, 128]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'layout': 0, 'rotaryMode': 'half'}","[[-3, 3], [-3, 3], [-1, 1], [-1, 1]]",None,"bfloat16-14M-质数非对齐-layout=0-half-B,S,N,D"
ApplyRotaryPosEmb,4,"[[15, 16, 511, 127], [15, 16, 511, 127], [511, 64], [511, 64]]","['float16', 'float16', 'float16', 'float16']","{'layout': 1, 'rotaryMode': 'half'}","[[-10, 10], [-10, 10], [-1, 1], [-1, 1]]",None,"float16-15M-质数非对齐-layout=1-half-B,N,S,D"
ApplyRotaryPosEmb,5,"[[8, 2048, 16, 128], [8, 2048, 16, 128], [2048, 64], [2048, 64]]","['float32', 'float32', 'float32', 'float32']","{'layout': 0, 'rotaryMode': 'interleaved'}","[[-100, 100], [-100, 100], [-1, 1], [-1, 1]]",None,"float32-33M-对齐-layout=0-interleaved-B,S,N,D"
ApplyRotaryPosEmb,6,"[[17, 15, 1021, 61], [17, 15, 1021, 61], [1021, 32], [1021, 32]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'layout': 1, 'rotaryMode': 'interleaved'}","[[-1000, 1000], [-1000, 1000], [-1, 1], [-1, 1]]",None,"bfloat16-16M-质数非对齐-layout=1-interleaved-B,N,S,D"
ApplyRotaryPosEmb,7,"[[13, 511, 13, 127], [13, 511, 13, 127], [511, 64], [511, 64]]","['float16', 'float16', 'float16', 'float16']","{'layout': 0, 'rotaryMode': 'half'}","[[-0.1, 0.1], [-0.1, 0.1], [-1, 1], [-1, 1]]",None,float16-10M-非对齐-layout=0-half-微小值域
ApplyRotaryPosEmb,8,"[[7, 1009, 7, 127], [7, 1009, 7, 127], [1009, 64], [1009, 64]]","['float32', 'float32', 'float32', 'float32']","{'layout': 0, 'rotaryMode': 'half'}","[[-1, 2], [-1, 2], [-1, 1], [-1, 1]]",None,float32-6M-质数非对齐-layout=0-half-非对称
ApplyRotaryPosEmb,9,"[[17, 257, 17, 255], [17, 257, 17, 255], [257, 128], [257, 128]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'layout': 1, 'rotaryMode': 'half'}","[[-5, 10], [-5, 10], [-1, 1], [-1, 1]]",None,bfloat16-2M-非对齐-layout=1-half-非对称
ApplyRotaryPosEmb,10,"[[11, 503, 11, 127], [11, 503, 11, 127], [503, 64], [503, 64]]","['float16', 'float16', 'float16', 'float16']","{'layout': 0, 'rotaryMode': 'interleaved'}","[[-50, 100], [-50, 100], [-1, 1], [-1, 1]]",None,float16-8M-质数非对齐-layout=0-interleaved
ApplyRotaryPosEmb,11,"[[19, 1023, 19, 63], [19, 1023, 19, 63], [1023, 32], [1023, 32]]","['float32', 'float32', 'float32', 'float32']","{'layout': 0, 'rotaryMode': 'half'}","[[-65504, 65504], [-65504, 65504], [-1, 1], [-1, 1]]",None,float32-24M-非对齐-float16边界值
ApplyRotaryPosEmb,12,"[[3, 4001, 3, 64], [3, 4001, 3, 64], [4001, 32], [4001, 32]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'layout': 1, 'rotaryMode': 'interleaved'}","[[-88, 88], [-88, 88], [-1, 1], [-1, 1]]",None,bfloat16-2M-质数非对齐-float32边界值
ApplyRotaryPosEmb,13,"[[7, 1000003, 7, 3], [7, 1000003, 7, 3], [1000003, 1], [1000003, 1]]","['float16', 'float16', 'float16', 'float16']","{'layout': 0, 'rotaryMode': 'half'}","[['-inf', 'inf'], ['-inf', 'inf'], [-1, 1], [-1, 1]]",None,float16-14M-质数非对齐-inf特殊值-small_head
ApplyRotaryPosEmb,14,"[[3, 13, 17, 1013], [3, 13, 17, 1013], [13, 512], [13, 512]]","['float32', 'float32', 'float32', 'float32']","{'layout': 0, 'rotaryMode': 'half'}","[['nan', 'nan'], ['nan', 'nan'], ['nan', 'nan'], ['nan', 'nan']]",None,float32-1M-质数非对齐-nan特殊值
