operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
CrossEntropyLoss,1,"[[1024, 2048], [1024]]","['float16', 'int64']","{'reduction': 'mean', 'ignore_index': -100}","[[-1, 1], [0, 2047]]",0.0,float16-int64_target-2M-对齐-对称小值域-mean
CrossEntropyLoss,2,"[[2048, 4096], [2048]]","['float32', 'int64']","{'reduction': 'mean', 'ignore_index': -100}","[[-2, 2], [0, 4095]]",0.0,float32-int64_target-8M-对齐-对称小值域-mean
CrossEntropyLoss,3,"[[4096, 8192], [4096]]","['bfloat16', 'int64']","{'reduction': 'mean', 'ignore_index': -100}","[[-3, 3], [0, 8191]]",0.0,bfloat16-int64_target-33M-对齐-对称小值域-mean
CrossEntropyLoss,4,"[[8192, 16384], [8192]]","['float16', 'int64']","{'reduction': 'sum', 'ignore_index': -100}","[[-10, 10], [0, 16383]]",0.0,float16-134M-对齐-对称中值域-sum
CrossEntropyLoss,5,"[[16384, 32768], [16384]]","['float32', 'int64']","{'reduction': 'none', 'ignore_index': -100}","[[-100, 100], [0, 32767]]",0.0,float32-536M-对齐-对称大值域-none
CrossEntropyLoss,6,"[[1023, 2047], [1023]]","['bfloat16', 'int64']","{'reduction': 'mean', 'ignore_index': -1}","[[-0.1, 0.1], [0, 2046]]",0.0,bfloat16-2M-非对齐-对称微小值域-ignore_index=-1
CrossEntropyLoss,7,"[[1009, 1021], [1009]]","['float16', 'int64']","{'reduction': 'mean', 'ignore_index': 0}","[[-1, 2], [0, 1020]]",0.0,float16-1M-质数非对齐-ignore_index=0
CrossEntropyLoss,8,"[[1537, 769], [1537]]","['float32', 'int64']","{'reduction': 'mean', 'ignore_index': 100}","[[-5, 10], [0, 768]]",0.0,float32-1M-非对齐-ignore_index=100
CrossEntropyLoss,9,"[[363, 367, 373], [363, 367]]","['bfloat16', 'int64']","{'reduction': 'mean', 'ignore_index': -100}","[[-50, 100], [0, 372]]",0.0,bfloat16-50M-质数非对齐-3D
CrossEntropyLoss,10,"[[2049, 513], [2049]]","['float16', 'int64']","{'reduction': 'mean', 'ignore_index': -100}","[[-65504, 65504], [0, 512]]",0.0,float16-1M-非对齐-float16边界值
CrossEntropyLoss,11,"[[3, 7, 13, 4001], [3, 7, 13]]","['float32', 'int64']","{'reduction': 'mean', 'ignore_index': -100}","[[-88, 88], [0, 4000]]",0.0,float32-1M-质数非对齐-float32边界值-4D
CrossEntropyLoss,12,"[[1000003, 2], [1000003]]","['bfloat16', 'int64']","{'reduction': 'mean', 'ignore_index': -100}","[['-inf', 'inf'], [0, 1]]",0.0,bfloat16-2M-质数非对齐-inf特殊值-二分类
CrossEntropyLoss,13,"[[11, 13, 17, 67, 67], [11, 13, 17, 67]]","['float16', 'int64']","{'reduction': 'mean', 'ignore_index': -100}","[['nan', 'nan'], [0, 66]]",0.0,float16-10M-质数非对齐-nan特殊值-5D
CrossEntropyLoss,14,"[[3, 7, 11, 13, 1013], [3, 7, 11, 13]]","['float32', 'int64']","{'reduction': 'mean', 'ignore_index': -100}","[[0, 0], [0, 1012]]",0.0,float32-3M-质数非对齐-logits=0特殊值-5D
CrossEntropyLoss,15,"[[512, 2049], [512]]","['bfloat16', 'int64']","{'reduction': 'mean', 'ignore_index': -100}","[[-0.5, 0.5], [0, 2048]]",0.0,bfloat16-1M-非对齐-对称微小值域
CrossEntropyLoss,16,"[[255, 8193], [255]]","['float16', 'int64']","{'reduction': 'sum', 'ignore_index': 50}","[[-1, 3], [0, 8192]]",0.0,float16-2M-非对齐-ignore_index=50-sum
CrossEntropyLoss,17,"[[4097, 511], [4097]]","['float32', 'int64']","{'reduction': 'none', 'ignore_index': -1}","[[-1000, 1000], [0, 510]]",0.0,float32-2M-非对齐-对称大值域-none
CrossEntropyLoss,18,"[[2, 511, 2049], [2, 511]]","['bfloat16', 'int64']","{'reduction': 'mean', 'ignore_index': -100}","[[-0.2, 0.2], [0, 2048]]",0.0,bfloat16-2M-非对齐-对称微小值域-3D
CrossEntropyLoss,19,"[[4, 255, 2049], [4, 255]]","['float16', 'int64']","{'reduction': 'mean', 'ignore_index': 10}","[[-3, 6], [0, 2048]]",0.0,float16-2M-非对齐-ignore_index=10
CrossEntropyLoss,20,"[[2, 3, 17, 1024, 101], [2, 3, 17, 1024]]","['float32', 'int64']","{'reduction': 'mean', 'ignore_index': -100}","[[-20, 40], [0, 100]]",0.0,float32-10M-非对齐-非对称大值域-5D
