operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
UnsortedSegmentSum,1,"[[1024, 1024], [1024]]","[""float16"", ""int32""]","{""num_segments"": 1024}","[[-1, 1], [0, 1023]]",36938.2,S-float16-int32_ids-1M-对齐-对称小值域
UnsortedSegmentSum,2,"[[2048, 2048], [2048]]","[""float32"", ""int32""]","{""num_segments"": 2048}","[[-2, 2], [0, 2047]]",72156.03,M-float32-int32_ids-4M-对齐-对称小值域
UnsortedSegmentSum,3,"[[4096, 4096], [4096]]","[""bfloat16"", ""int64""]","{""num_segments"": 4096}","[[-3, 3], [0, 4095]]",155521.96,M-bfloat16-int64_ids-16M-对齐-对称小值域
UnsortedSegmentSum,4,"[[8192, 8192], [8192]]","[""int32"", ""int32""]","{""num_segments"": 8192}","[[-1000, 1000], [0, 8191]]",350806.08,L-int32-int32_ids-67M-对齐-对称中值域
UnsortedSegmentSum,5,"[[4096, 8192], [4096]]","[""int64"", ""int64""]","{""num_segments"": 16384}","[[-100000, 100000], [0, 16383]]",451367.99,L-int64-int64_ids-268M-对齐-对称大值域
UnsortedSegmentSum,6,"[[1023, 1023], [1023]]","[""float16"", ""int32""]","{""num_segments"": 1023}","[[-0.1, 0.1], [0, 1022]]",40096.91,S-float16-int32_ids-1M-非对齐-对称微小值域
UnsortedSegmentSum,7,"[[1009, 1021], [1009]]","[""float32"", ""int32""]","{""num_segments"": 1009}","[[-1, 2], [0, 1008]]",40285.21,S-float32-int32_ids-1M-质数非对齐-非对称小值域
UnsortedSegmentSum,8,"[[1537, 769], [1537]]","[""bfloat16"", ""int32""]","{""num_segments"": 1537}","[[-5, 10], [0, 1536]]",56613.96,S-bfloat16-int32_ids-1M-非对齐-非对称中值域
UnsortedSegmentSum,9,"[[363, 367, 373], [363]]","[""float16"", ""int32""]","{""num_segments"": 363}","[[-50, 100], [0, 362]]",18648.15,M-float16-int32_ids-50M-质数非对齐-非对称大值域-3D
UnsortedSegmentSum,10,"[[2049, 513], [2049]]","[""float32"", ""int64""]","{""num_segments"": 2049}","[[-65504, 65504], [0, 2048]]",74108.52,S-float32-int64_ids-1M-非对齐-float16边界值
UnsortedSegmentSum,11,"[[3, 7, 13, 4001], [3]]","[""bfloat16"", ""int32""]","{""num_segments"": 3}","[[-88, 88], [0, 2]]",156.02,S-bfloat16-int32_ids-1M-质数非对齐-float32边界值-4D
UnsortedSegmentSum,12,"[[1048589], [1048589]]","[""float16"", ""int32""]","{""num_segments"": 1024}","[[""-inf"", ""inf""], [0, 1023]]",82543.76,S-float16-int32_ids-1M-质数非对齐-inf特殊值-1D-v2
UnsortedSegmentSum,13,"[[11, 13, 17, 67, 67], [11]]","[""float32"", ""int32""]","{""num_segments"": 11}","[[""nan"", ""nan""], [0, 10]]",1257.19,M-float32-int32_ids-10M-质数非对齐-nan特殊值-5D
UnsortedSegmentSum,14,"[[3, 7, 11, 13, 1013], [3]]","[""bfloat16"", ""int32""]","{""num_segments"": 3}","[[0, 0], [0, 2]]",234.98,S-bfloat16-int32_ids-3M-质数非对齐-零值-5D
UnsortedSegmentSum,15,"[[1048583], [1048583]]","[""float32"", ""int32""]","{""num_segments"": 1}","[[-10, 10], [0, 0]]",3994.77,S-float32-num_segments=1-1M-质数非对齐-全归约
UnsortedSegmentSum,16,"[[2097152], [2097152]]","[""float16"", ""int32""]","{""num_segments"": 4096}","[[-100, 100], [0, 4095]]",348382.47,M-float16-num_segments=4096-2M-对齐-多段
UnsortedSegmentSum,17,"[[512, 2049], [512]]","[""bfloat16"", ""int32""]","{""num_segments"": 512}","[[-0.5, 0.5], [0, 511]]",20619.71,S-bfloat16-int32_ids-1M-非对齐-对称微小值域
UnsortedSegmentSum,18,"[[255, 8193], [255]]","[""float16"", ""int64""]","{""num_segments"": 255}","[[-1, 3], [0, 254]]",10220.56,S-float16-int64_ids-2M-非对齐-非对称小值域
UnsortedSegmentSum,19,"[[4097, 511], [4097]]","[""float32"", ""int32""]","{""num_segments"": 4097}","[[-1000, 1000], [0, 4096]]",148816.55,S-float32-int32_ids-2M-非对齐-对称大值域
UnsortedSegmentSum,20,"[[2, 511, 2049], [2]]","[""bfloat16"", ""int32""]","{""num_segments"": 2}","[[-3, 6], [0, 1]]",166.75,S-bfloat16-int32_ids-2M-非对齐-非对称中值域-3D
