operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
Conv3DBackpropFilter,1,"[[2, 32, 16, 32, 32], [2, 32, 16, 32, 32]]","['float16', 'float16']","{'strides': [1, 1, 1], 'pads': [0, 0, 0, 0, 0, 0], 'dilations': [1, 1, 1]}","[[-1, 1], [-1, 1]]",None,float16-1M-对齐-3x3x3k-valid
Conv3DBackpropFilter,2,"[[3, 61, 7, 61, 61], [3, 61, 7, 61, 61]]","['float32', 'float32']","{'strides': [1, 1, 1], 'pads': [1, 1, 1, 1, 1, 1], 'dilations': [1, 1, 1]}","[[-2, 2], [-2, 2]]",None,float32-3M-质数非对齐-3x3x3k-same
Conv3DBackpropFilter,3,"[[2, 128, 4, 128, 128], [2, 128, 4, 128, 128]]","['bfloat16', 'bfloat16']","{'strides': [1, 1, 1], 'pads': [1, 1, 1, 1, 1, 1], 'dilations': [1, 1, 1]}","[[-3, 3], [-3, 3]]",None,bfloat16-33M-对齐-5x5x5k
Conv3DBackpropFilter,4,"[[8, 256, 8, 64, 64], [8, 256, 8, 64, 64]]","['float16', 'float16']","{'strides': [1, 2, 2], 'pads': [1, 1, 1, 1, 1, 1], 'dilations': [1, 1, 1]}","[[-10, 10], [-10, 10]]",None,"float16-134M-对齐-stride=1,2,2"
Conv3DBackpropFilter,5,"[[3, 511, 3, 31, 31], [3, 511, 3, 31, 31]]","['float32', 'float32']","{'strides': [1, 1, 1], 'pads': [2, 2, 2, 2, 2, 2], 'dilations': [2, 2, 2]}","[[-100, 100], [-100, 100]]",None,float32-84M-质数非对齐-dilation=2
Conv3DBackpropFilter,6,"[[2, 1021, 2, 15, 15], [2, 1021, 2, 15, 15]]","['bfloat16', 'bfloat16']","{'strides': [1, 1, 1], 'pads': [0, 0, 0, 0, 0, 0], 'dilations': [1, 1, 1]}","[[-1000, 1000], [-1000, 1000]]",None,bfloat16-900K-质数非对齐-1x1x1k-valid
Conv3DBackpropFilter,7,"[[3, 31, 15, 31, 31], [3, 31, 15, 31, 31]]","['float16', 'float16']","{'strides': [1, 1, 1], 'pads': [1, 1, 1, 1, 1, 1], 'dilations': [1, 1, 1]}","[[-0.1, 0.1], [-0.1, 0.1]]",None,float16-3M-质数非对齐-微小值域
Conv3DBackpropFilter,8,"[[2, 63, 7, 61, 61], [2, 63, 7, 61, 61]]","['float32', 'float32']","{'strides': [1, 1, 1], 'pads': [1, 1, 1, 1, 1, 1], 'dilations': [1, 1, 1]}","[[-1, 2], [-1, 2]]",None,float32-6M-非对齐-非对称
Conv3DBackpropFilter,9,"[[3, 47, 3, 23, 23], [3, 47, 3, 23, 23]]","['bfloat16', 'bfloat16']","{'strides': [1, 2, 2], 'pads': [1, 1, 1, 1, 1, 1], 'dilations': [1, 1, 1]}","[[-5, 10], [-5, 10]]",None,bfloat16-100K-质数非对齐-stride非对称
Conv3DBackpropFilter,10,"[[5, 97, 5, 43, 43], [5, 97, 5, 43, 43]]","['float16', 'float16']","{'strides': [1, 1, 1], 'pads': [1, 1, 1, 1, 1, 1], 'dilations': [2, 2, 2]}","[[-50, 100], [-50, 100]]",None,float16-4M-质数非对齐-dilation=2
