operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
DequantSwigluQuant,1,"[[1048576, 512]]",['float16'],"{'activate_left': False, 'quant_mode': 'static', 'dst_type': 0}","[-1, 1]",None,float16-536M-对齐-hidden=512-dst_type=int8
DequantSwigluQuant,2,"[[2097152, 1024]]",['bfloat16'],"{'activate_left': False, 'quant_mode': 'static', 'dst_type': 0}","[-2, 2]",None,bfloat16-2G-对齐-hidden=1024-dst_type=int8
DequantSwigluQuant,3,"[[4194304, 256]]",['float16'],"{'activate_left': False, 'quant_mode': 'static', 'dst_type': 0}","[-3, 3]",None,float16-1G-对齐-hidden=256-dst_type=int8
DequantSwigluQuant,4,"[[8388608, 127]]",['bfloat16'],"{'activate_left': True, 'quant_mode': 'static', 'dst_type': 0}","[-10, 10]",None,bfloat16-1G-非对齐-activate_left=true
DequantSwigluQuant,5,"[[16777216, 61]]",['float16'],"{'activate_left': False, 'quant_mode': 'dynamic', 'dst_type': 1}","[-100, 100]",None,float16-1G-非对齐-quant_mode=dynamic-dst_type=float8
DequantSwigluQuant,6,"[[33554432, 31]]",['bfloat16'],"{'activate_left': True, 'quant_mode': 'static', 'dst_type': 1}","[-1000, 1000]",None,bfloat16-1G-非对齐-activate_left+dst_type=float8
DequantSwigluQuant,7,"[[1047553, 511]]",['float16'],"{'activate_left': False, 'quant_mode': 'static', 'dst_type': 0}","[-0.1, 0.1]",None,float16-500M-非对齐-微小值域
DequantSwigluQuant,8,"[[2096131, 1021]]",['bfloat16'],"{'activate_left': False, 'quant_mode': 'static', 'dst_type': 0}","[-1, 2]",None,bfloat16-2G-质数非对齐-非对称
DequantSwigluQuant,9,"[[4193281, 257]]",['float16'],"{'activate_left': True, 'quant_mode': 'dynamic', 'dst_type': 0}","[-5, 10]",None,float16-1G-非对齐-activate_left-quant_mode=dynamic
DequantSwigluQuant,10,"[[503, 4097]]",['bfloat16'],"{'activate_left': False, 'quant_mode': 'static', 'dst_type': 0}","[-50, 100]",None,bfloat16-2M-质数非对齐-hidden=4097
DequantSwigluQuant,11,"[[2097153, 513]]",['float16'],"{'activate_left': False, 'quant_mode': 'static', 'dst_type': 0}","[-65504, 65504]",None,float16-1G-非对齐-float16边界值
DequantSwigluQuant,12,"[[4001, 256]]",['bfloat16'],"{'activate_left': False, 'quant_mode': 'static', 'dst_type': 1}","[-88, 88]",None,bfloat16-1M-质数非对齐-dst_type=float8-float32边界值
DequantSwigluQuant,13,"[[1000003, 128]]",['float16'],"{'activate_left': False, 'quant_mode': 'static', 'dst_type': 0}","['-inf', 'inf']",None,float16-128M-质数非对齐-inf特殊值
DequantSwigluQuant,14,"[[10007, 64]]",['bfloat16'],"{'activate_left': False, 'quant_mode': 'static', 'dst_type': 0}","['nan', 'nan']",None,bfloat16-600K-质数非对齐-nan特殊值
DequantSwigluQuant,15,"[[3001, 32]]",['float16'],"{'activate_left': False, 'quant_mode': 'static', 'dst_type': 0}","[0, 0]",None,float16-100K-质数非对齐-零值
DequantSwigluQuant,16,"[[1048576, 511]]",['float16'],"{'activate_left': False, 'quant_mode': 'static', 'dst_type': 0}","[-0.5, 0.5]",None,float16-500M-混合非对齐-hidden=511-微小值域
DequantSwigluQuant,17,"[[2047, 1023]]",['bfloat16'],"{'activate_left': True, 'quant_mode': 'static', 'dst_type': 0}","[-1, 3]",None,bfloat16-2M-非对齐-activate_left-非对称
DequantSwigluQuant,18,"[[4095, 511]]",['float16'],"{'activate_left': False, 'quant_mode': 'dynamic', 'dst_type': 0}","[-1000, 1000]",None,float16-2M-非对齐-quant_mode=dynamic-大值域
DequantSwigluQuant,19,"[[2097152, 63]]",['bfloat16'],"{'activate_left': True, 'quant_mode': 'dynamic', 'dst_type': 1}","[-0.2, 0.2]",None,bfloat16-128M-对齐-全激活-dst_type=float8-N=63-微小值域
DequantSwigluQuant,20,"[[7001, 127]]",['float16'],"{'activate_left': False, 'quant_mode': 'static', 'dst_type': 0}","[-3, 6]",None,float16-800K-质数非对齐-hidden=127-非对称中值域
