operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
EmbeddingHashLookupOrInsert,1,"[[1024, 1024], [1048576]]","['float16', 'int64']","{'padding_idx': None, 'max_norm': None}","[[-1, 1], [0, 1023]]",None,float16-1M-对齐-1D key-emb=1024-hidden=1024
EmbeddingHashLookupOrInsert,2,"[[2048, 2048], [4194304]]","['float32', 'int64']","{'padding_idx': None, 'max_norm': None}","[[-2, 2], [0, 2047]]",None,float32-8M-对齐-1D key-emb=2048-hidden=2048
EmbeddingHashLookupOrInsert,3,"[[4096, 4096], [16777216]]","['bfloat16', 'int64']","{'padding_idx': None, 'max_norm': None}","[[-3, 3], [0, 4095]]",None,bfloat16-67M-对齐-1D key-emb=4096-hidden=4096
EmbeddingHashLookupOrInsert,4,"[[8192, 8192], [67108864]]","['float16', 'int64']","{'padding_idx': 0, 'max_norm': None}","[[-10, 10], [0, 8191]]",None,float16-536M-对齐-padding_idx=0-中值域
EmbeddingHashLookupOrInsert,5,"[[16384, 16384], [268435456]]","['float32', 'int64']","{'padding_idx': None, 'max_norm': 1.0}","[[-100, 100], [0, 16383]]",None,float32-max_norm=1.0-大值域
EmbeddingHashLookupOrInsert,6,"[[16384, 65536], [1073741824]]","['bfloat16', 'int64']","{'padding_idx': 100, 'max_norm': 2.0}","[[-1000, 1000], [0, 16383]]",None,bfloat16-双属性组合-padding_idx+max_norm
EmbeddingHashLookupOrInsert,7,"[[1023, 1023], [1046529]]","['float16', 'int64']","{'padding_idx': None, 'max_norm': None}","[[-0.1, 0.1], [0, 1022]]",None,float16-1M-非对齐-1D key-微小值域
EmbeddingHashLookupOrInsert,8,"[[1009, 1021], [1030189]]","['float32', 'int64']","{'padding_idx': 50, 'max_norm': None}","[[-1, 2], [0, 1008]]",None,float32-1M-质数非对齐-padding_idx=50-非对称
EmbeddingHashLookupOrInsert,9,"[[1537, 769], [1181953]]","['bfloat16', 'int64']","{'padding_idx': None, 'max_norm': 0.5}","[[-5, 10], [0, 1536]]",None,bfloat16-1M-非对齐-max_norm=0.5-非对称
EmbeddingHashLookupOrInsert,10,"[[363, 367, 373], [49757553]]","['float16', 'int64']","{'padding_idx': None, 'max_norm': None}","[[-50, 100], [0, 362]]",None,float16-50M-质数非对齐-3D key
EmbeddingHashLookupOrInsert,11,"[[2049, 513], [1051137]]","['float16', 'int64']","{'padding_idx': None, 'max_norm': None}","[[-65504, 65504], [0, 2048]]",None,float16-1M-非对齐-2D key-float16边界值
EmbeddingHashLookupOrInsert,12,"[[3, 7, 13, 4001], [1092273]]","['float32', 'int64']","{'padding_idx': 0, 'max_norm': 1.0}","[[-88, 88], [0, 2]]",None,float32-1M-质数非对齐-4D key-float32边界值
EmbeddingHashLookupOrInsert,13,"[[2, 7, 256, 256], [917504]]","['bfloat16', 'int64']","{'padding_idx': None, 'max_norm': None}","[[-0.01, 0.01], [0, 1]]",None,bfloat16-917K-对齐-4D key-微小值域
EmbeddingHashLookupOrInsert,14,"[[1000003, 128], [128000384]]","['float16', 'int64']","{'padding_idx': None, 'max_norm': None}","[['-inf', 'inf'], [0, 1000002]]",None,float16-16M-质数非对齐-2D key-inf特殊值
EmbeddingHashLookupOrInsert,15,"[[11, 13, 17, 67, 67], [10186553]]","['float32', 'int64']","{'padding_idx': None, 'max_norm': None}","[['nan', 'nan'], [0, 10]]",None,float32-10M-质数非对齐-5D key-nan特殊值
EmbeddingHashLookupOrInsert,16,"[[3, 7, 11, 13, 1013], [3069369]]","['bfloat16', 'int64']","{'padding_idx': None, 'max_norm': None}","[[0, 0], [0, 2]]",None,bfloat16-3M-质数非对齐-5D key-零值
EmbeddingHashLookupOrInsert,17,"[[512, 2049], [1049088]]","['float32', 'int64']","{'padding_idx': None, 'max_norm': None}","[[-0.5, 0.5], [0, 511]]",None,float32-1M-非对齐-2D key-微小值域
EmbeddingHashLookupOrInsert,18,"[[255, 8193], [2089215]]","['float16', 'int64']","{'padding_idx': 10, 'max_norm': None}","[[-1, 3], [0, 254]]",None,float16-2M-非对齐-padding_idx=10-非对称
EmbeddingHashLookupOrInsert,19,"[[4097, 511], [2093567]]","['bfloat16', 'int64']","{'padding_idx': None, 'max_norm': 5.0}","[[-1000, 1000], [0, 4096]]",None,bfloat16-2M-非对齐-max_norm=5.0-大值域
EmbeddingHashLookupOrInsert,20,"[[2, 511, 2049], [2094078]]","['float16', 'int64']","{'padding_idx': None, 'max_norm': None}","[[-3, 6], [0, 1]]",None,float16-2M-非对齐-3D key-非对称中值域
