operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
GroupedMatmul,1,"[[[1024, 512], [2048, 512]], [[1024, 512], [512, 512]], [[1024], [512]]]","[[""float16"", ""float16""], [""float16"", ""float16""], [""float16"", ""float16""]]","{""split_item"": 0, ""transpose_weight"": false}","[[-1, 1], [-1, 1], [-0.1, 0.1]]",,float16-多多多-2组-G1:m1=1024-k1=512-n1=1024-G2:m2=2048-k2=512-n2=512-带bias
GroupedMatmul,2,"[[[4096, 1024], [8192, 1024]], [[2048, 1024], [1024, 1024]]]","[[""bfloat16"", ""bfloat16""], [""bfloat16"", ""bfloat16""]]","{""split_item"": 0, ""transpose_weight"": false}","[[-2, 2], [-2, 2]]",,bfloat16-多多多-2组-G1:m=4096-k=1024-n=2048-G2:m=8192-k=1024-n=1024-无bias
GroupedMatmul,3,"[[[16384, 256], [32768, 256], [65536, 256]], [[512, 256], [1024, 256], [2048, 256]], [[512], [1024], [2048]]]","[[""float16"", ""float16"", ""float16""], [""float16"", ""float16"", ""float16""], [""float16"", ""float16"", ""float16""]]","{""split_item"": 0, ""transpose_weight"": false}","[[-3, 3], [-3, 3], [-0.3, 0.3]]",,float16-多多多-3组-带bias-大batch
GroupedMatmul,4,"[[[512, 256], [1024, 512]], [[256, 128], [512, 256]], [[128], [256]]]","[[""bfloat16"", ""bfloat16""], [""bfloat16"", ""bfloat16""], [""bfloat16"", ""bfloat16""]]","{""split_item"": 0, ""transpose_weight"": true}","[[-10, 10], [-10, 10], [-1, 1]]",,"bfloat16-多多多-transpose-2组-weight[k,n]格式"
GroupedMatmul,5,"[[[128, 64], [256, 128], [512, 256]], [[64, 32], [128, 64], [256, 128]]]","[[""float16"", ""float16"", ""float16""], [""float16"", ""float16"", ""float16""]]","{""split_item"": 0, ""transpose_weight"": true}","[[-100, 100], [-100, 100]]",,float16-多多多-transpose-3组-无bias
GroupedMatmul,6,"[[[256, 128], [512, 128]], [[1024, 128], [1024, 128]], [[1024], [1024]]]","[[""bfloat16"", ""bfloat16""], [""bfloat16"", ""bfloat16""], [""bfloat16"", ""bfloat16""]]","{""split_item"": 2, ""transpose_weight"": false}","[[-1000, 1000], [-1000, 1000], [-10, 10]]",,bfloat16-多多单-split=2-N相等=1024-输出合并
GroupedMatmul,7,"[[[512, 256], [1024, 256]], [[512, 256], [512, 256]]]","[[""float16"", ""float16""], [""float16"", ""float16""]]","{""split_item"": 3, ""transpose_weight"": false}","[[-0.1, 0.1], [-0.1, 0.1]]",,float16-多多单-split=3-N相等=512-无bias-微小值域
GroupedMatmul,8,"[[[511, 127], [1021, 257]], [[255, 127], [513, 257]], [[255], [513]]]","[[""float16"", ""float16""], [""float16"", ""float16""], [""float16"", ""float16""]]","{""split_item"": 0, ""transpose_weight"": false}","[[-1, 2], [-1, 2], [-0.5, 0.5]]",,float16-多多多-质数非对齐-带bias
GroupedMatmul,9,"[[[769, 61], [1537, 127]], [[61, 31], [127, 63]], [[31], [63]]]","[[""bfloat16"", ""bfloat16""], [""bfloat16"", ""bfloat16""], [""bfloat16"", ""bfloat16""]]","{""split_item"": 0, ""transpose_weight"": true}","[[-5, 10], [-5, 10], [-1, 1]]",,bfloat16-多多多-transpose-质数非对齐
GroupedMatmul,10,"[[[4097, 511], [8193, 1023]], [[1023, 511], [1023, 1023]]]","[[""float16"", ""float16""], [""float16"", ""float16""]]","{""split_item"": 2, ""transpose_weight"": false}","[[-50, 100], [-50, 100]]",,float16-多多单-split=2-N相等=1023-质数非对齐
