operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
MoeFinalizeRouting,1,"[[8192, 512], [1024, 512], [1024, 512], [16, 512], [1024, 8], [8192], [1024, 8]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""int32"", ""int32""]","{""drop_pad_mode"": 0}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [0, 1], [0, 8191], [0, 15]]",,S-float16-完整参数-drop_less_列排列-对齐-K8-H512-E16
MoeFinalizeRouting,2,"[[32768, 1024], [8192, 1024], [8192, 1024], [32, 1024], [8192, 4], [32768], [8192, 4]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""int32"", ""int32""]","{""drop_pad_mode"": 0}","[[-2, 2], [-2, 2], [-2, 2], [-2, 2], [0, 1], [0, 32767], [0, 31]]",,L-float32-完整参数-drop_less_列排列-对齐-K4-H1024-E32
MoeFinalizeRouting,3,"[[8192, 2048], [4096, 2048], [4096, 2048], [8, 2048], [4096, 2], [8192], [4096, 2]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""drop_pad_mode"": 2}","[[-3, 3], [-3, 3], [-3, 3], [-3, 3], [0, 1], [0, 8191], [0, 7]]",,M-bfloat16-完整参数-drop_less_行排列-对齐-K2-H2048-E8
MoeFinalizeRouting,4,"[[8192, 512], [2048, 512], [1, 1], [16, 512], [2048, 4], [8192], [2048, 4]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""int32"", ""int32""]","{""drop_pad_mode"": 0, ""skip2_exist"": false}","[[-1, 1], [-1, 1], [0, 0], [-1, 1], [0, 1], [0, 8191], [0, 15]]",,S-float16-无skip2-drop_less-对齐-K4
MoeFinalizeRouting,5,"[[12288, 256], [1536, 256], [1536, 256], [1, 1], [1536, 8], [12288], [1, 1]]","[""float32"", ""float32"", ""float32"", ""float32"", ""float32"", ""int32"", ""int32""]","{""drop_pad_mode"": 0, ""bias_exist"": false}","[[-1, 1], [-1, 1], [-1, 1], [0, 0], [0, 1], [0, 12287], [0, 0]]",,M-float32-无bias-drop_less-对齐-K8
MoeFinalizeRouting,6,"[[512, 1024], [512, 1024], [512, 1024], [8, 1024], [1, 1], [512], [512, 1]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""int32"", ""int32""]","{""drop_pad_mode"": 0, ""scales_exist"": false}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [0, 0], [0, 511], [0, 7]]",,S-float16-无scales-K1-drop_less-对齐
MoeFinalizeRouting,7,"[[4096, 256], [1, 1], [1, 1], [16, 256], [1024, 4], [4096], [1024, 4]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""drop_pad_mode"": 0, ""skip1_exist"": false, ""skip2_exist"": false}","[[-1, 1], [0, 0], [0, 0], [-1, 1], [0, 1], [0, 4095], [0, 15]]",,M-bfloat16-无skip-drop_less-对齐
MoeFinalizeRouting,8,"[[8184, 511], [1023, 511], [1023, 511], [16, 511], [1023, 8], [8184], [1023, 8]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""int32"", ""int32""]","{""drop_pad_mode"": 0}","[[-10, 10], [-10, 10], [-10, 10], [-10, 10], [0, 1], [0, 8183], [0, 15]]",,S-float16-完整参数-质数非对齐-drop_less-K8
MoeFinalizeRouting,9,"[[65536, 127], [4096, 127], [4096, 127], [32, 127], [4096, 16], [65536], [4096, 16]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""int32"", ""int32""]","{""drop_pad_mode"": 0}","[[-100, 100], [-100, 100], [-100, 100], [-100, 100], [0, 1], [0, 65535], [0, 31]]",,M-bfloat16-大K16-对齐-drop_less
MoeFinalizeRouting,10,"[[320, 512], [100, 512], [100, 512], [16, 512], [1, 1], [100], [100, 1]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16"", ""int32"", ""int32""]","{""drop_pad_mode"": 1, ""scales_exist"": false}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [0, 0], [-1, 319], [0, 15]]",,S-float16-drop_pad_列排列-展平2D-K1
