operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
MoeFinalizeRoutingV2,1,"[[1024, 8, 512], [1024, 8]]","['float16', 'float16']",{'renormalize': False},"[[-1, 1], [0, 1]]",None,float16-4M-对齐-3D-tokens=1024-topk=8-hidden=512
MoeFinalizeRoutingV2,2,"[[8192, 4, 1024], [8192, 4]]","['float32', 'float32']",{'renormalize': False},"[[-2, 2], [0, 1]]",None,float32-33M-对齐-3D-tokens=8192-topk=4-hidden=1024
MoeFinalizeRoutingV2,3,"[[4096, 2, 2048], [4096, 2]]","['bfloat16', 'bfloat16']",{'renormalize': False},"[[-3, 3], [0, 1]]",None,bfloat16-16M-对齐-3D-tokens=4096-topk=2-hidden=2048
MoeFinalizeRoutingV2,4,"[[8191, 511], [1024, 8]]","['float16', 'float16']",{'renormalize': False},"[[-10, 10], [0, 1]]",None,float16-4M-非对齐-2D-tokens*num_segs=8191-topk=8
MoeFinalizeRoutingV2,5,"[[16383, 4, 257], [16383, 4]]","['float32', 'float32']",{'renormalize': True},"[[-100, 100], [0, 1]]",None,float32-16M-非对齐-3D-renormalize=true
MoeFinalizeRoutingV2,6,"[[32749, 8, 127], [32749, 8]]","['bfloat16', 'bfloat16']",{'renormalize': True},"[[-1000, 1000], [0, 1]]",None,bfloat16-33M-非对齐-3D-renormalize=true-大tokens
MoeFinalizeRoutingV2,7,"[[1023, 8, 511], [1023, 8]]","['float16', 'float16']",{'renormalize': False},"[[-0.1, 0.1], [0, 1]]",None,float16-4M-非对齐-3D-微小值域
MoeFinalizeRoutingV2,8,"[[1009, 4, 1021], [1009, 4]]","['float32', 'float32']",{'renormalize': False},"[[-1, 2], [0, 1]]",None,float32-4M-质数非对齐-3D-非对称
MoeFinalizeRoutingV2,9,"[[1537, 8, 769], [1537, 8]]","['bfloat16', 'bfloat16']",{'renormalize': True},"[[-5, 10], [0, 1]]",None,bfloat16-8M-非对齐-3D-renormalize-非对称
MoeFinalizeRoutingV2,10,"[[503, 4, 2011], [503, 4]]","['float16', 'float16']",{'renormalize': False},"[[-50, 100], [0, 1]]",None,float16-4M-质数非对齐-3D-大值域
MoeFinalizeRoutingV2,11,"[[2049, 2, 1024], [2049, 2]]","['float16', 'float16']",{'renormalize': False},"[[-65504, 65504], [0, 1]]",None,float16-4M-非对齐-3D-topk=2-float16边界值
MoeFinalizeRoutingV2,12,"[[4001, 8, 64], [4001, 8]]","['float32', 'float32']",{'renormalize': False},"[[-88, 88], [0, 1]]",None,float32-2M-质数非对齐-3D-small_hidden-float32边界值
MoeFinalizeRoutingV2,13,"[[1000003, 2, 64], [1000003, 2]]","['float16', 'float16']",{'renormalize': False},"[['-inf', 'inf'], [0, 1]]",None,float16-128M-质数非对齐-3D-inf特殊值
MoeFinalizeRoutingV2,14,"[[67, 8, 67], [67, 8]]","['float32', 'float32']",{'renormalize': False},"[['nan', 'nan'], ['nan', 'nan']]",None,float32-36K-质数非对齐-3D-nan特殊值
MoeFinalizeRoutingV2,15,"[[1013, 4, 509], [1013, 4]]","['bfloat16', 'bfloat16']",{'renormalize': False},"[[0, 0], [0, 0]]",None,bfloat16-2M-质数非对齐-3D-零值
MoeFinalizeRoutingV2,16,"[[512, 8, 1023], [512, 8]]","['float16', 'float16']",{'renormalize': False},"[[-0.5, 0.5], [0, 1]]",None,float16-4M-混合非对齐-3D-hidden=1023-微小值域
MoeFinalizeRoutingV2,17,"[[2047, 8, 255], [2047, 8]]","['float32', 'float32']",{'renormalize': True},"[[-1, 3], [0, 1]]",None,float32-4M-非对齐-3D-renormalize-hidden=255
MoeFinalizeRoutingV2,18,"[[4096, 16, 127], [4096, 16]]","['bfloat16', 'bfloat16']",{'renormalize': False},"[[-1000, 1000], [0, 1]]",None,bfloat16-8M-对齐-3D-topk=16-hidden=127
MoeFinalizeRoutingV2,19,"[[2049, 4, 511], [2049, 4]]","['float32', 'float32']",{'renormalize': True},"[[-0.2, 0.2], [0, 1]]",None,float32-4M-非对齐-3D-renormalize-微小值域
MoeFinalizeRoutingV2,20,"[[127, 8, 4095], [127, 8]]","['float16', 'float16']",{'renormalize': False},"[[-3, 6], [0, 1]]",None,float16-4M-非对齐-3D-large_hidden-非对称中值域
