operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
MoeGatingTopKSoftmax,1,"[[1048576, 16]]",['float16'],{'k': 2},"[-1, 1]",None,float16-16M-对齐-tokens=1M-experts=16-k=2
MoeGatingTopKSoftmax,2,"[[2097152, 32]]",['float32'],{'k': 4},"[-2, 2]",None,float32-67M-对齐-tokens=2M-experts=32-k=4
MoeGatingTopKSoftmax,3,"[[4194304, 64]]",['bfloat16'],{'k': 8},"[-3, 3]",None,bfloat16-268M-对齐-tokens=4M-experts=64-k=8
MoeGatingTopKSoftmax,4,"[[8388608, 128]]",['float16'],{'k': 16},"[-10, 10]",None,float16-1G-对齐-tokens=8M-experts=128-k=16
MoeGatingTopKSoftmax,5,"[[16777216, 256]]",['float32'],{'k': 32},"[-100, 100]",None,float32-4G-对齐-tokens=16M-experts=256-k=32
MoeGatingTopKSoftmax,6,"[[33554432, 512]]",['bfloat16'],{'k': 64},"[-1000, 1000]",None,bfloat16-17G-对齐-tokens=33M-experts=512-k=64
MoeGatingTopKSoftmax,7,"[[1047553, 15]]",['float16'],{'k': 2},"[-0.1, 0.1]",None,float16-16M-非对齐-tokens=1M-experts=15-微小值域
MoeGatingTopKSoftmax,8,"[[2096131, 31]]",['float32'],{'k': 4},"[-1, 2]",None,float32-65M-质数非对齐-tokens=2M-experts=31-非对称
MoeGatingTopKSoftmax,9,"[[4193281, 63]]",['bfloat16'],{'k': 8},"[-5, 10]",None,bfloat16-264M-非对齐-tokens=4M-experts=63-非对称
MoeGatingTopKSoftmax,10,"[[503, 4097]]",['float16'],{'k': 16},"[-50, 100]",None,float16-2M-质数非对齐-tokens=503-experts=4097
MoeGatingTopKSoftmax,11,"[[2097153, 513]]",['float16'],{'k': 2},"[-65504, 65504]",None,float16-1G-非对齐-float16边界值
MoeGatingTopKSoftmax,12,"[[4001, 256]]",['float32'],{'k': 4},"[-88, 88]",None,float32-1M-质数非对齐-float32边界值
MoeGatingTopKSoftmax,13,"[[16, 8, 128]]",['bfloat16'],{'k': 8},"[-0.01, 0.01]",None,bfloat16-16K-对齐-3D-微小值域
MoeGatingTopKSoftmax,14,"[[1000003, 128]]",['float16'],{'k': 8},"['-inf', 'inf']",None,float16-128M-质数非对齐-inf特殊值
MoeGatingTopKSoftmax,15,"[[10007, 64]]",['float32'],{'k': 4},"['nan', 'nan']",None,float32-600K-质数非对齐-nan特殊值
MoeGatingTopKSoftmax,16,"[[3001, 32]]",['bfloat16'],{'k': 2},"[0, 0]",None,bfloat16-100K-质数非对齐-零值
MoeGatingTopKSoftmax,17,"[[1048576, 15]]",['float16'],{'k': 2},"[-0.5, 0.5]",None,float16-16M-混合非对齐-experts=15-微小值域
MoeGatingTopKSoftmax,18,"[[2047, 1023]]",['float32'],{'k': 4},"[-1, 3]",None,float32-2M-非对齐-tokens=2047-experts=1023
MoeGatingTopKSoftmax,19,"[[4095, 511]]",['bfloat16'],{'k': 8},"[-1000, 1000]",None,bfloat16-2M-非对齐-tokens=4095-experts=511-大值域
MoeGatingTopKSoftmax,20,"[[7001, 127]]",['float16'],{'k': 2},"[-3, 6]",None,float16-800K-质数非对齐-tokens=7001-experts=127-非对称中值域
