operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
MoeReRouting,1,"[[1048576, 512], [512]]","['float16', 'float16']",{'expert_token_num_type': 1},"[[-1, 1], [0, 1]]",None,float16-536M-对齐-tokens=1M-hidden=512
MoeReRouting,2,"[[2097152, 1024], [1024]]","['bfloat16', 'bfloat16']",{'expert_token_num_type': 1},"[[-2, 2], [0, 1]]",None,bfloat16-2G-对齐-tokens=2M-hidden=1024
MoeReRouting,3,"[[4194304, 256], [256]]","['float16', 'float16']",{'expert_token_num_type': 1},"[[-3, 3], [0, 1]]",None,float16-1G-对齐-tokens=4M-hidden=256
MoeReRouting,4,"[[8388608, 127], [127]]","['int8', 'int8']",{'expert_token_num_type': 0},"[[-10, 10], [0, 1]]",None,int8-1G-非对齐-tokens=8M-hidden=127-type=0
MoeReRouting,5,"[[16777216, 61], [61]]","['bfloat16', 'bfloat16']",{'expert_token_num_type': 2},"[[-100, 100], [0, 1]]",None,bfloat16-1G-非对齐-tokens=16M-hidden=61-type=2
MoeReRouting,6,"[[33554432, 31], [31]]","['float16', 'float16']",{'expert_token_num_type': 1},"[[-1000, 1000], [0, 1]]",None,float16-1G-非对齐-tokens=33M-hidden=31-大值域
MoeReRouting,7,"[[1047553, 511], [511]]","['float16', 'float16']",{'expert_token_num_type': 1},"[[-0.1, 0.1], [0, 1]]",None,float16-500M-非对齐-微小值域
MoeReRouting,8,"[[2096131, 1021], [1021]]","['bfloat16', 'bfloat16']",{'expert_token_num_type': 1},"[[-1, 2], [0, 1]]",None,bfloat16-2G-质数非对齐-非对称
MoeReRouting,9,"[[4193281, 257], [257]]","['float16', 'float16']",{'expert_token_num_type': 1},"[[-5, 10], [0, 1]]",None,float16-1G-非对齐-非对称
MoeReRouting,10,"[[363, 367], [367]]","['int8', 'int8']",{'expert_token_num_type': 0},"[[-50, 100], [0, 1]]",None,int8-100K-质数非对齐-int8全范围
MoeReRouting,11,"[[2097153, 513], [513]]","['float16', 'float16']",{'expert_token_num_type': 1},"[[-65504, 65504], [0, 1]]",None,float16-1G-非对齐-float16边界值
MoeReRouting,12,"[[4001, 256], [256]]","['bfloat16', 'bfloat16']",{'expert_token_num_type': 1},"[[-88, 88], [0, 1]]",None,bfloat16-1M-质数非对齐-float32边界值
MoeReRouting,13,"[[1000003, 128], [128]]","['float16', 'float16']",{'expert_token_num_type': 1},"[['-inf', 'inf'], [0, 1]]",None,float16-128M-质数非对齐-inf特殊值
MoeReRouting,14,"[[10007, 64], [64]]","['bfloat16', 'bfloat16']",{'expert_token_num_type': 1},"[['nan', 'nan'], [0, 1]]",None,bfloat16-600K-质数非对齐-nan特殊值
MoeReRouting,15,"[[3001, 32], [32]]","['float16', 'float16']",{'expert_token_num_type': 1},"[[0, 0], [0, 1]]",None,float16-100K-质数非对齐-零值
MoeReRouting,16,"[[1048576, 511], [511]]","['float16', 'float16']",{'expert_token_num_type': 1},"[[-0.5, 0.5], [0, 1]]",None,float16-500M-混合非对齐-hidden=511-微小值域
MoeReRouting,17,"[[2047, 1023], [1023]]","['bfloat16', 'bfloat16']",{'expert_token_num_type': 0},"[[-1, 3], [0, 1]]",None,bfloat16-2M-非对齐-type=0-非对称
MoeReRouting,18,"[[4095, 511], [511]]","['int8', 'int8']",{'expert_token_num_type': 2},"[[-1000, 1000], [0, 1]]",None,int8-2M-非对齐-type=2-大值域
MoeReRouting,19,"[[2097152, 63], [63]]","['float16', 'float16']",{'expert_token_num_type': 1},"[[-0.2, 0.2], [0, 1]]",None,float16-128M-混合非对齐-hidden=63-微小值域
MoeReRouting,20,"[[7001, 127], [127]]","['bfloat16', 'bfloat16']",{'expert_token_num_type': 1},"[[-3, 6], [0, 1]]",None,bfloat16-800K-质数非对齐-hidden=127-非对称中值域
