operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
NMS,1,"[[1024, 4], [1024]]","['float32', 'float32']",{'iou_threshold': 0.5},"[[-1, 1], [0, 1]]",None,float32-1K-对齐-iou=0.5
NMS,2,"[[4096, 4], [4096]]","['float32', 'float32']",{'iou_threshold': 0.3},"[[-2, 2], [0, 1]]",None,float32-4K-对齐-iou=0.3
NMS,3,"[[16384, 4], [16384]]","['float32', 'float32']",{'iou_threshold': 0.7},"[[-3, 3], [0, 1]]",None,float32-16K-对齐-iou=0.7
NMS,4,"[[65536, 4], [65536]]","['float32', 'float32']",{'iou_threshold': 0.1},"[[-10, 10], [0, 1]]",None,float32-65K-对齐-iou=0.1极低阈值
NMS,5,"[[262144, 4], [262144]]","['float32', 'float32']",{'iou_threshold': 0.9},"[[-100, 100], [0, 1]]",None,float32-262K-对齐-iou=0.9极高阈值
NMS,6,"[[1048576, 4], [1048576]]","['float32', 'float32']",{'iou_threshold': 0.05},"[[-1000, 1000], [0, 1]]",None,float32-1M-对齐-iou=0.05-极低阈值
NMS,7,"[[1023, 4], [1023]]","['float32', 'float32']",{'iou_threshold': 0.5},"[[-0.1, 0.1], [0, 1]]",None,float32-1K-非对齐-iou=0.5-微小值域
NMS,8,"[[1009, 4], [1009]]","['float32', 'float32']",{'iou_threshold': 0.3},"[[-1, 2], [0, 1]]",None,float32-1K-质数非对齐-iou=0.3-非对称
NMS,9,"[[1537, 4], [1537]]","['float32', 'float32']",{'iou_threshold': 0.7},"[[-5, 10], [0, 1]]",None,float32-2K-非对齐-iou=0.7-非对称
NMS,10,"[[3001, 4], [3001]]","['float32', 'float32']",{'iou_threshold': 0.4},"[[-50, 100], [0, 1]]",None,float32-3K-质数非对齐-iou=0.4
NMS,11,"[[2049, 4], [2049]]","['float32', 'float32']",{'iou_threshold': 0.5},"[[-65504, 65504], [0, 1]]",None,float32-2K-非对齐-float16边界值
NMS,12,"[[4001, 4], [4001]]","['float32', 'float32']",{'iou_threshold': 0.6},"[[-88, 88], [0, 1]]",None,float32-4K-质数非对齐-float32边界值
NMS,13,"[[1000003, 4], [1000003]]","['float32', 'float32']",{'iou_threshold': 0.5},"[['-inf', 'inf'], [0, 1]]",None,float32-1M-质数非对齐-inf特殊值
NMS,14,"[[5003, 4], [5003]]","['float32', 'float32']",{'iou_threshold': 0.5},"[['nan', 'nan'], [0, 1]]",None,float32-5K-质数非对齐-nan特殊值
NMS,15,"[[8009, 4], [8009]]","['float32', 'float32']",{'iou_threshold': 0.5},"[[0, 0], [0, 0]]",None,float32-8K-质数非对齐-零值
NMS,16,"[[511, 4], [511]]","['float32', 'float32']",{'iou_threshold': 0.2},"[[-0.5, 0.5], [0, 1]]",None,float32-512-非对齐-iou=0.2-微小值域
NMS,17,"[[2047, 4], [2047]]","['float32', 'float32']",{'iou_threshold': 0.8},"[[-1, 3], [0, 1]]",None,float32-2K-非对齐-iou=0.8-非对称
NMS,18,"[[4095, 4], [4095]]","['float32', 'float32']",{'iou_threshold': 0.35},"[[-1000, 1000], [0, 1]]",None,float32-4K-非对齐-iou=0.35-大值域
NMS,19,"[[32768, 4], [32768]]","['float32', 'float32']",{'iou_threshold': 0.45},"[[-0.2, 0.2], [0, 1]]",None,float32-32K-对齐-iou=0.45-微小值域
NMS,20,"[[7001, 4], [7001]]","['float32', 'float32']",{'iou_threshold': 0.55},"[[-20, 40], [0, 1]]",None,float32-7K-质数非对齐-iou=0.55-非对称中值域
