operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
QuantBatchMatmul,1,"[[32, 1024, 512], [32, 512, 1024], [1024], [1024]]","['int8', 'int8', 'int8', 'int8']","{'dtype': 0, 'transpose_x1': False, 'transpose_x2': False}","[[-128, 127], [-128, 127], [0.5, 2], [-1, 1]]",None,int8-16M-对齐-B=32-M=N=1024-K=512-dtype=0
QuantBatchMatmul,2,"[[64, 2048, 1024], [64, 1024, 2048], [2048], [2048]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'dtype': 0, 'transpose_x1': False, 'transpose_x2': False}","[[-2, 2], [-2, 2], [0.5, 2], [-2, 2]]",None,bfloat16-268M-对齐-B=64-M=N=2048
QuantBatchMatmul,3,"[[16, 4093, 2053], [16, 2053, 4093], [4093], [4093]]","['float16', 'float16', 'float16', 'float16']","{'dtype': 0, 'transpose_x1': False, 'transpose_x2': False}","[[-3, 3], [-3, 3], [0.5, 2], [-3, 3]]",None,float16-134M-质数非对齐-B=16-M=4093-N=2053
QuantBatchMatmul,4,"[[8, 8192, 4096], [8, 4096, 8192], [8192], [8192]]","['int8', 'int8', 'int8', 'int8']","{'dtype': 1, 'transpose_x1': True, 'transpose_x2': False}","[[-128, 127], [-128, 127], [0.5, 2], [-10, 10]]",None,int8-2G-dtype=1-transpose_x1
QuantBatchMatmul,5,"[[4, 16384, 8192], [4, 8192, 16384], [16384], [16384]]","['float16', 'float16', 'float16', 'float16']","{'dtype': 2, 'transpose_x1': False, 'transpose_x2': True}","[[-65504, 65504], [-65504, 65504], [0.5, 2], [-100, 100]]",None,float16-2G-dtype=2-transpose_x2
QuantBatchMatmul,6,"[[2, 32768, 16384], [2, 16384, 32768], [32768], [32768]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'dtype': 0, 'transpose_x1': True, 'transpose_x2': True}","[[-1000, 1000], [-1000, 1000], [0.5, 2], [-1000, 1000]]",None,bfloat16-2G-双transpose-大值域
QuantBatchMatmul,7,"[[31, 1023, 511], [31, 511, 1023], [1023], [1023]]","['int8', 'int8', 'int8', 'int8']","{'dtype': 0, 'transpose_x1': False, 'transpose_x2': False}","[[-128, 127], [-128, 127], [0.5, 2], [-0.1, 0.1]]",None,int8-16M-非对齐-微小值域
QuantBatchMatmul,8,"[[61, 2039, 1021], [61, 1021, 2039], [2039], [2039]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'dtype': 0, 'transpose_x1': False, 'transpose_x2': False}","[[-1, 2], [-1, 2], [0.5, 2], [-1, 2]]",None,bfloat16-200M-质数非对齐-非对称
QuantBatchMatmul,9,"[[13, 4093, 2053], [13, 2053, 4093], [4093], [4093]]","['float16', 'float16', 'float16', 'float16']","{'dtype': 0, 'transpose_x1': True, 'transpose_x2': True}","[[-5, 10], [-5, 10], [0.5, 2], [-5, 10]]",None,float16-400M-质数非对齐-双transpose
QuantBatchMatmul,10,"[[47, 809, 401], [47, 401, 809], [809], [809]]","['int8', 'int8', 'int8', 'int8']","{'dtype': 1, 'transpose_x1': False, 'transpose_x2': False}","[[-128, 127], [-128, 127], [0.5, 2], [-50, 100]]",None,int8-30M-质数非对齐-dtype=1
QuantBatchMatmul,11,"[[33, 1025, 513], [33, 513, 1025], [1025], [1025]]","['float16', 'float16', 'float16', 'float16']","{'dtype': 0, 'transpose_x1': False, 'transpose_x2': False}","[[-65504, 65504], [-65504, 65504], [0.5, 2], [-65504, 65504]]",None,float16-35M-非对齐-float16边界值
QuantBatchMatmul,12,"[[7, 4001, 2048], [7, 2048, 4001], [4001], [4001]]","['bfloat16', 'bfloat16', 'bfloat16', 'bfloat16']","{'dtype': 2, 'transpose_x1': False, 'transpose_x2': False}","[[-88, 88], [-88, 88], [0.5, 2], [-88, 88]]",None,bfloat16-115M-质数非对齐-dtype=2-float32边界值
