operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
ROIAlign,1,"[[2, 256, 64, 64], [128, 5]]","['float16', 'float16']","{'mode': 'bilinear', 'outputHeight': 7, 'outputWidth': 7, 'spatial_scale': 0.0625, 'sampling_ratio': 2, 'aligned': False}","[[-1, 1], [-1, 1]]",None,float16-1M-对齐-bilinear-7x7-scale=1/16
ROIAlign,2,"[[4, 512, 128, 128], [256, 5]]","['float32', 'float32']","{'mode': 'bilinear', 'outputHeight': 14, 'outputWidth': 14, 'spatial_scale': 0.0625, 'sampling_ratio': 2, 'aligned': False}","[[-2, 2], [-1, 1]]",None,float32-16M-对齐-bilinear-14x14
ROIAlign,3,"[[2, 128, 32, 32], [64, 5]]","['bfloat16', 'bfloat16']","{'mode': 'bilinear', 'outputHeight': 7, 'outputWidth': 7, 'spatial_scale': 0.125, 'sampling_ratio': 1, 'aligned': False}","[[-3, 3], [-1, 1]]",None,bfloat16-256K-对齐-bilinear-7x7-scale=1/8
ROIAlign,4,"[[4, 256, 64, 64], [128, 5]]","['float16', 'float16']","{'mode': 'nearest', 'outputHeight': 3, 'outputWidth': 3, 'spatial_scale': 0.25, 'sampling_ratio': 0, 'aligned': True}","[[-10, 10], [-1, 1]]",None,float16-1M-对齐-nearest-3x3-scale=1/4-aligned=true
ROIAlign,5,"[[2, 512, 128, 128], [256, 5]]","['float32', 'float32']","{'mode': 'bilinear', 'outputHeight': 1, 'outputWidth': 1, 'spatial_scale': 1.0, 'sampling_ratio': 2, 'aligned': False}","[[-100, 100], [-1, 1]]",None,float32-16M-对齐-bilinear-1x1全局池化-scale=1
ROIAlign,6,"[[7, 1021, 63, 67], [511, 5]]","['float16', 'float16']","{'mode': 'nearest', 'outputHeight': 28, 'outputWidth': 28, 'spatial_scale': 0.0625, 'sampling_ratio': 4, 'aligned': True}","[[-1000, 1000], [-1, 1]]",None,float16-30M-非对齐-nearest-28x28-upsampling
ROIAlign,7,"[[3, 251, 63, 63], [100, 5]]","['float16', 'float16']","{'mode': 'bilinear', 'outputHeight': 7, 'outputWidth': 7, 'spatial_scale': 0.0625, 'sampling_ratio': 2, 'aligned': False}","[[-0.1, 0.1], [-1, 1]]",None,float16-1M-质数非对齐-bilinear-7x7-微小值域
ROIAlign,8,"[[2, 257, 65, 65], [97, 5]]","['float32', 'float32']","{'mode': 'bilinear', 'outputHeight': 7, 'outputWidth': 7, 'spatial_scale': 0.0625, 'sampling_ratio': 2, 'aligned': True}","[[-1, 2], [-1, 1]]",None,float32-1M-非对齐-bilinear-7x7-aligned-非对称
ROIAlign,9,"[[3, 127, 31, 31], [50, 5]]","['bfloat16', 'bfloat16']","{'mode': 'nearest', 'outputHeight': 5, 'outputWidth': 5, 'spatial_scale': 0.125, 'sampling_ratio': 1, 'aligned': False}","[[-5, 10], [-1, 1]]",None,bfloat16-300K-质数非对齐-nearest-5x5-非对称
ROIAlign,10,"[[2, 509, 43, 43], [100, 5]]","['float16', 'float16']","{'mode': 'bilinear', 'outputHeight': 11, 'outputWidth': 11, 'spatial_scale': 0.0625, 'sampling_ratio': 2, 'aligned': False}","[[-50, 100], [-1, 1]]",None,float16-2M-质数非对齐-bilinear-11x11
ROIAlign,11,"[[2, 256, 65, 63], [100, 5]]","['float16', 'float16']","{'mode': 'bilinear', 'outputHeight': 7, 'outputWidth': 7, 'spatial_scale': 0.0625, 'sampling_ratio': 2, 'aligned': False}","[[-65504, 65504], [-1, 1]]",None,float16-1M-非对齐-bilinear-7x7-float16边界值
ROIAlign,12,"[[2, 512, 97, 97], [193, 5]]","['float32', 'float32']","{'mode': 'bilinear', 'outputHeight': 13, 'outputWidth': 13, 'spatial_scale': 0.0625, 'sampling_ratio': 2, 'aligned': False}","[[-88, 88], [-1, 1]]",None,float32-4M-质数非对齐-bilinear-13x13-float32边界值
ROIAlign,13,"[[2, 251, 63, 65], [100, 5]]","['float32', 'float32']","{'mode': 'bilinear', 'outputHeight': 7, 'outputWidth': 7, 'spatial_scale': 0.0625, 'sampling_ratio': 2, 'aligned': False}","[['-inf', 'inf'], [-1, 1]]",None,float32-2M-非对齐-bilinear-7x7-inf特殊值
ROIAlign,14,"[[2, 127, 31, 33], [50, 5]]","['float16', 'float16']","{'mode': 'bilinear', 'outputHeight': 7, 'outputWidth': 7, 'spatial_scale': 0.0625, 'sampling_ratio': 2, 'aligned': False}","[['nan', 'nan'], [-1, 1]]",None,float16-258K-非对齐-bilinear-7x7-nan特殊值
ROIAlign,15,"[[4, 251, 63, 65], [128, 5]]","['float32', 'float32']","{'mode': 'bilinear', 'outputHeight': 7, 'outputWidth': 7, 'spatial_scale': 0.0625, 'sampling_ratio': 2, 'aligned': False}","[[0, 0], [0, 0]]",None,float32-4M-非对齐-bilinear-7x7-零值
ROIAlign,16,"[[2, 255, 63, 63], [100, 5]]","['float16', 'float16']","{'mode': 'nearest', 'outputHeight': 7, 'outputWidth': 7, 'spatial_scale': 0.0625, 'sampling_ratio': 0, 'aligned': False}","[[-0.5, 0.5], [-1, 1]]",None,float16-1M-非对齐-nearest-7x7-sampling_ratio=auto
ROIAlign,17,"[[3, 511, 31, 31], [50, 5]]","['float32', 'float32']","{'mode': 'bilinear', 'outputHeight': 15, 'outputWidth': 15, 'spatial_scale': 0.125, 'sampling_ratio': 2, 'aligned': True}","[[-1, 3], [-1, 1]]",None,float32-3M-非对齐-bilinear-15x15-upsampling-aligned
ROIAlign,18,"[[2, 1023, 31, 31], [100, 5]]","['bfloat16', 'bfloat16']","{'mode': 'nearest', 'outputHeight': 7, 'outputWidth': 7, 'spatial_scale': 0.0625, 'sampling_ratio': 1, 'aligned': False}","[[-1000, 1000], [-1, 1]]",None,bfloat16-2M-非对齐-nearest-7x7-大值域
ROIAlign,19,"[[2, 127, 63, 63], [64, 5]]","['float16', 'float16']","{'mode': 'bilinear', 'outputHeight': 4, 'outputWidth': 4, 'spatial_scale': 0.25, 'sampling_ratio': 2, 'aligned': True}","[[-3, 6], [-1, 1]]",None,float16-1M-非对齐-bilinear-4x4-downsampling-aligned
ROIAlign,20,"[[4, 255, 127, 127], [200, 5]]","['float32', 'float32']","{'mode': 'bilinear', 'outputHeight': 21, 'outputWidth': 21, 'spatial_scale': 0.0625, 'sampling_ratio': 2, 'aligned': False}","[[-20, 40], [-1, 1]]",None,float32-10M-非对齐-bilinear-21x21-非对称大值域
