operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
StridedSlice,1,[[1048576]],['float16'],"{'begin': [0], 'end': [524288], 'strides': [2]}","[-1, 1]",None,float16-1M-对齐-1D-stride=2
StridedSlice,2,"[[2048, 2048]]",['float32'],"{'begin': [0, 0], 'end': [-1, -1], 'strides': [1, 1]}","[-2, 2]",None,float32-4M-对齐-2D-全切片
StridedSlice,3,"[[4096, 4096]]",['bfloat16'],"{'begin': [0, 0], 'end': [2048, 2048], 'strides': [2, 2]}","[-3, 3]",None,bfloat16-16M-对齐-2D-stride=2
StridedSlice,4,"[[8192, 8192]]",['int32'],"{'begin': [0, 0], 'end': [-1, -1], 'strides': [1, 2]}","[-10000, 10000]",None,int32-67M-对齐-2D-非对称stride
StridedSlice,5,"[[16384, 16384]]",['int64'],"{'begin': [0, 0], 'end': [8192, 8192], 'strides': [2, 2]}","[-100000, 100000]",None,int64-268M-对齐-2D-stride=2
StridedSlice,6,"[[16384, 65536]]",['float32'],"{'begin': [0, 0], 'end': [-1, -1], 'strides': [2, 4]}","[-1000, 1000]",None,"float32-1G-对齐-2D-stride=2,4"
StridedSlice,7,"[[1023, 1023]]",['float16'],"{'begin': [0, 0], 'end': [-1, -1], 'strides': [1, 1]}","[-0.1, 0.1]",None,float16-1M-非对齐-2D-全切片-微小值域
StridedSlice,8,"[[1009, 1021]]",['float32'],"{'begin': [0, 0], 'end': [500, 500], 'strides': [2, 2]}","[-1, 2]",None,float32-1M-质数非对齐-2D-stride=2-非对称
StridedSlice,9,"[[1537, 769]]",['bfloat16'],"{'begin': [0, 0], 'end': [-1, -1], 'strides': [1, 3]}","[-5, 10]",None,"bfloat16-1M-非对齐-2D-stride=1,3-非对称"
StridedSlice,10,"[[363, 367, 373]]",['int32'],"{'begin': [0, 0, 0], 'end': [100, 100, 100], 'strides': [1, 1, 1]}","[-50, 100]",None,int32-50M-质数非对齐-3D-局部切片
StridedSlice,11,"[[2049, 513]]",['float16'],"{'begin': [0, 0], 'end': [-1, -1], 'strides': [1, 1]}","[-65504, 65504]",None,float16-1M-非对齐-2D-float16边界值
StridedSlice,12,"[[3, 7, 13, 4001]]",['float32'],"{'begin': [0, 0, 0, 0], 'end': [-1, -1, -1, -1], 'strides': [1, 1, 1, 2]}","[-88, 88]",None,float32-1M-质数非对齐-4D-stride=2-float32边界值
StridedSlice,13,"[[2, 7, 256, 256]]",['bfloat16'],"{'begin': [0, 0, 0, 0], 'end': [2, 7, 128, 128], 'strides': [1, 1, 2, 2]}","[-0.01, 0.01]",None,bfloat16-917K-对齐-4D-stride=2-微小值域
StridedSlice,14,[[1000003]],['float32'],"{'begin': [0], 'end': [500000], 'strides': [3]}","['-inf', 'inf']",None,float32-1M-质数非对齐-1D-stride=3-inf特殊值
StridedSlice,15,"[[11, 13, 17, 67, 67]]",['float16'],"{'begin': [0, 0, 0, 0, 0], 'end': [-1, -1, -1, -1, -1], 'strides': [1, 1, 1, 1, 1]}","['nan', 'nan']",None,float16-10M-质数非对齐-5D-nan特殊值
StridedSlice,16,"[[3, 7, 11, 13, 1013]]",['int64'],"{'begin': [0, 0, 0, 0, 0], 'end': [-1, -1, -1, -1, -1], 'strides': [1, 1, 1, 1, 1]}","[0, 0]",None,int64-3M-质数非对齐-5D-零值
StridedSlice,17,"[[512, 2049]]",['float32'],"{'begin': [0, 0], 'end': [-1, -1], 'strides': [1, 1]}","[-0.5, 0.5]",None,float32-1M-非对齐-2D-全切片-微小值域
StridedSlice,18,"[[255, 8193]]",['bfloat16'],"{'begin': [0, 0], 'end': [128, 4096], 'strides': [2, 2]}","[-1, 3]",None,bfloat16-2M-非对齐-2D-stride=2-局部切片
StridedSlice,19,"[[4097, 511]]",['float32'],"{'begin': [0, 0], 'end': [-1, -1], 'strides': [2, 1]}","[-1000, 1000]",None,"float32-2M-非对齐-2D-stride=2,1-大值域"
StridedSlice,20,"[[2, 511, 2049]]",['bfloat16'],"{'begin': [0, 0, 0], 'end': [2, 256, 1024], 'strides': [1, 2, 2]}","[-3, 6]",None,bfloat16-2M-非对齐-3D-stride=2-非对称中值域
