operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,note
SparseFlashAttention,1,"[[2, 1024, 32, 128], [2, 8192, 8, 128], [2, 8192, 8, 128], [2, 1024, 8, 512]]","['float16', 'float16', 'float16', 'int32']","{'scaleValue': 0.08838, 'inputLayout': 'BSND'}","[-1, 1]",None,float16-BSND-GQA-B2S1024Skv8192N32Nkv8Dk128-top512
SparseFlashAttention,2,"[[2, 1024, 32, 192], [2, 8192, 8, 192], [2, 8192, 8, 128], [2, 1024, 8, 512]]","['float16', 'float16', 'float16', 'int32']","{'scaleValue': 0.07217, 'inputLayout': 'BSND'}","[-1, 1]",None,float16-BSND-GQA-Dk192Dv128-top512
SparseFlashAttention,3,"[[2, 32, 1024, 128], [2, 8, 8192, 128], [2, 8, 8192, 128], [2, 8, 1024, 1024]]","['bfloat16', 'bfloat16', 'bfloat16', 'int32']","{'scaleValue': 0.08838, 'inputLayout': 'BNSD'}","[-1, 1]",None,bfloat16-BNSD-GQA-top1024
SparseFlashAttention,4,"[[2, 32, 1024, 192], [2, 8, 8192, 192], [2, 8, 8192, 128], [2, 8, 1024, 1024]]","['float16', 'float16', 'float16', 'int32']","{'scaleValue': 0.07217, 'inputLayout': 'BNSD'}","[-1, 1]",None,float16-BNSD-GQA-Dk192-top1024
SparseFlashAttention,5,"[[1, 2048, 64, 128], [1, 16384, 8, 128], [1, 16384, 8, 128], [1, 2048, 8, 2048]]","['float16', 'float16', 'float16', 'int32']","{'scaleValue': 0.08838, 'inputLayout': 'BSND'}","[-1, 1]",None,float16-BSND-GQA-N64Nkv8-top2048-long
SparseFlashAttention,6,"[[16, 1, 32, 128], [16, 8192, 8, 128], [16, 8192, 8, 128], [16, 1, 8, 512]]","['float16', 'float16', 'float16', 'int32']","{'scaleValue': 0.08838, 'inputLayout': 'BSND'}","[-1, 1]",None,float16-BSND-GQA-B16S1-decode-top512
SparseFlashAttention,7,"[[32, 32, 1, 192], [32, 8, 8192, 192], [32, 8, 8192, 128], [32, 8, 1, 1024]]","['bfloat16', 'bfloat16', 'bfloat16', 'int32']","{'scaleValue': 0.07217, 'inputLayout': 'BNSD'}","[-1, 1]",None,bfloat16-BNSD-GQA-B32S1-decode-Dk192-top1024
SparseFlashAttention,8,"[[64, 4, 64, 128], [64, 16384, 8, 128], [64, 16384, 8, 128], [64, 4, 8, 2048]]","['float16', 'float16', 'float16', 'int32']","{'scaleValue': 0.08838, 'inputLayout': 'BSND'}","[-1, 1]",None,float16-BSND-GQA-B64S4-MTP-top2048
SparseFlashAttention,9,"[[2, 1024, 128, 512], [2, 8192, 1, 512], [2, 8192, 1, 512], [2, 1024, 1, 512]]","['float16', 'float16', 'float16', 'int32']","{'scaleValue': 0.04419, 'inputLayout': 'BSND'}","[-1, 1]",None,float16-BSND-MLA-Dk512Dv512-top512
SparseFlashAttention,10,"[[2, 1024, 128, 576], [2, 8192, 1, 576], [2, 8192, 1, 512], [2, 1024, 1, 512]]","['float16', 'float16', 'float16', 'int32']","{'scaleValue': 0.04167, 'inputLayout': 'BSND'}","[-1, 1]",None,float16-BSND-MLA-Dk576Dv512-top512
SparseFlashAttention,11,"[[2, 128, 1024, 512], [2, 1, 8192, 512], [2, 1, 8192, 512], [2, 1, 1024, 1024]]","['bfloat16', 'bfloat16', 'bfloat16', 'int32']","{'scaleValue': 0.04419, 'inputLayout': 'BNSD'}","[-1, 1]",None,bfloat16-BNSD-MLA-Dk512-top1024
SparseFlashAttention,12,"[[2, 128, 1024, 576], [2, 1, 8192, 576], [2, 1, 8192, 512], [2, 1, 1024, 1024]]","['float16', 'float16', 'float16', 'int32']","{'scaleValue': 0.04167, 'inputLayout': 'BNSD'}","[-1, 1]",None,float16-BNSD-MLA-Dk576-top1024
SparseFlashAttention,13,"[[1, 2048, 128, 512], [1, 16384, 1, 512], [1, 16384, 1, 512], [1, 2048, 1, 2048]]","['float16', 'float16', 'float16', 'int32']","{'scaleValue': 0.04419, 'inputLayout': 'BSND'}","[-1, 1]",None,float16-BSND-MLA-top2048-long
SparseFlashAttention,14,"[[16, 1, 128, 512], [16, 8192, 1, 512], [16, 8192, 1, 512], [16, 1, 1, 512]]","['float16', 'float16', 'float16', 'int32']","{'scaleValue': 0.04419, 'inputLayout': 'BSND'}","[-1, 1]",None,float16-BSND-MLA-B16S1-decode-top512
SparseFlashAttention,15,"[[32, 64, 1, 576], [32, 1, 8192, 576], [32, 1, 8192, 512], [32, 1, 1, 1024]]","['bfloat16', 'bfloat16', 'bfloat16', 'int32']","{'scaleValue': 0.04167, 'inputLayout': 'BNSD'}","[-1, 1]",None,bfloat16-BNSD-MLA-B32S1-decode-Dk576-top1024
SparseFlashAttention,16,"[[64, 4, 128, 512], [64, 16384, 1, 512], [64, 16384, 1, 512], [64, 4, 1, 2048]]","['float16', 'float16', 'float16', 'int32']","{'scaleValue': 0.04419, 'inputLayout': 'BSND'}","[-1, 1]",None,float16-BSND-MLA-B64S4-MTP-top2048
SparseFlashAttention,17,"[[16, 64, 4, 576], [16, 1, 8192, 576], [16, 1, 8192, 512], [16, 1, 4, 512]]","['float16', 'float16', 'float16', 'int32']","{'scaleValue': 0.04167, 'inputLayout': 'BNSD'}","[-1, 1]",None,float16-BNSD-MLA-B16S4-MTP-Dk576-top512
SparseFlashAttention,18,"[[128, 1, 128, 512], [128, 8192, 1, 512], [128, 8192, 1, 512], [128, 1, 1, 512]]","['float16', 'float16', 'float16', 'int32']","{'scaleValue': 0.04419, 'inputLayout': 'BSND'}","[-1, 1]",None,float16-BSND-MLA-B128S1-decode-large-batch
SparseFlashAttention,19,"[[60, 2, 32, 128], [60, 8192, 8, 128], [60, 8192, 8, 128], [60, 2, 8, 512]]","['float16', 'float16', 'float16', 'int32']","{'scaleValue': 0.08838, 'inputLayout': 'BSND'}","[-1, 1]",None,float16-BSND-GQA-B60S2-MTP-large-batch
SparseFlashAttention,20,"[[2, 1024, 32, 128], [2, 8192, 8, 128], [2, 8192, 8, 128], [2, 1024, 8, 512]]","['float16', 'float16', 'float16', 'int32']","{'scaleValue': 0.08838, 'inputLayout': 'BSND'}","[0, 0]",None,float16-BSND-GQA-zero-input
