operator,case_id,input_shape,dtype,attrs,value_range,note
Gather,1,"[[1024, 1024], [512, 1024]]","[""float16"", ""int32""]","{""dim"": 0}","[[-1, 1], [0, 1023]]",S-float16-int32_idx-1M-对齐-对称小值域-dim=0 | baseline_kernels: Transpose×3 + GatherElementsV2×1
Gather,2,"[[2048, 2048], [1024, 2048]]","[""float32"", ""int64""]","{""dim"": 0}","[[-2, 2], [0, 2047]]",M-float32-int64_idx-4M-对齐-对称小值域-dim=0 | baseline_kernels: Transpose×3 + Cast×1 + GatherElementsV2×1
Gather,3,"[[4096, 4096], [2048, 4096]]","[""bfloat16"", ""int32""]","{""dim"": 0}","[[-3, 3], [0, 4095]]",M-bfloat16-int32_idx-16M-对齐-对称小值域-dim=0 | baseline_kernels: Transpose×3 + GatherElementsV2×1
Gather,4,"[[8192, 8192], [4096, 8192]]","[""int32"", ""int32""]","{""dim"": 0}","[[-1000, 1000], [0, 8191]]",L-int32-int32_idx-67M-对齐-对称中值域-dim=0 | baseline_kernels: Transpose×3 + GatherElementsV2×1
Gather,5,"[[4096, 4096], [4096, 4096]]","[""int64"", ""int64""]","{""dim"": 0}","[[-100000, 100000], [0, 4095]]",L-int64-int64_idx-268M-对齐-对称大值域-dim=0 | baseline_kernels: Transpose×3 + GatherElements×1
Gather,6,"[[16384, 8192], [8192, 8192]]","[""int8"", ""int32""]","{""dim"": 0}","[[-128, 127], [0, 16383]]",L-int8-int32_idx-1G-对齐-int8全范围-dim=0 | baseline_kernels: Transpose×3 + GatherElements×1
Gather,7,"[[1023, 1023], [511, 1023]]","[""float16"", ""int64""]","{""dim"": 1}","[[-0.1, 0.1], [0, 1022]]",S-float16-int64_idx-1M-非对齐-对称微小值域-dim=1 | baseline_kernels: GatherElements×1
Gather,8,"[[1009, 1021], [505, 1021]]","[""float32"", ""int32""]","{""dim"": 0}","[[-1, 2], [0, 1008]]",S-float32-int32_idx-1M-质数非对齐-非对称小值域 | baseline_kernels: Transpose×3 + GatherElementsV2×1
Gather,9,"[[1537, 769], [769, 769]]","[""bfloat16"", ""int64""]","{""dim"": 0}","[[-5, 10], [0, 1536]]",S-bfloat16-int64_idx-1M-非对齐-非对称中值域 | baseline_kernels: Transpose×3 + Cast×1 + GatherElementsV2×1
Gather,10,"[[363, 367, 373], [181, 367, 373]]","[""float16"", ""int32""]","{""dim"": 1}","[[-50, 100], [0, 362]]",L-float16-int32_idx-50M-质数非对齐-非对称大值域-3D-dim=1 | baseline_kernels: GatherElementsV2×1
Gather,11,"[[2049, 513], [1024, 513]]","[""float32"", ""int64""]","{""dim"": 0}","[[-65504, 65504], [0, 2048]]",S-float32-int64_idx-1M-非对齐-float16边界值 | baseline_kernels: Transpose×3 + Cast×1 + GatherElementsV2×1
Gather,12,"[[3, 7, 13, 4001], [2, 7, 13, 4001]]","[""bfloat16"", ""int32""]","{""dim"": 1}","[[-88, 88], [0, 2]]",S-bfloat16-int32_idx-1M-质数非对齐-float32边界值-4D-dim=1 | baseline_kernels: Transpose×3 + GatherElements×1
Gather,13,"[[1000003], [1000]]","[""float32"", ""int64""]","{""dim"": 0}","[[""-inf"", ""inf""], [0, 1000002]]",S-float32-int64_idx-1M-质数非对齐-inf特殊值-1D | baseline_kernels: Cast×1 + GatherElementsV2×1
Gather,14,"[[11, 13, 17, 67, 67], [7, 13, 17, 67, 67]]","[""float16"", ""int32""]","{""dim"": 1}","[[""nan"", ""nan""], [0, 10]]",M-float16-int32_idx-10M-质数非对齐-nan特殊值-5D-dim=1 | baseline_kernels: Transpose×3 + GatherElements×1
Gather,15,"[[3, 7, 11, 13, 1013], [2, 7, 11, 13, 1013]]","[""float32"", ""int64""]","{""dim"": 1}","[[0, 0], [0, 2]]",M-float32-int64_idx-3M-质数非对齐-零值-5D-dim=1 | baseline_kernels: Transpose×3 + GatherElements×1
Gather,16,"[[512, 2049], [256, 2049]]","[""bfloat16"", ""int32""]","{""dim"": 0}","[[-0.5, 0.5], [0, 511]]",S-bfloat16-int32_idx-1M-非对齐-对称微小值域 | baseline_kernels: Transpose×3 + GatherElementsV2×1
Gather,17,"[[255, 8193], [127, 8193]]","[""float16"", ""int64""]","{""dim"": 0}","[[-1, 3], [0, 254]]",M-float16-int64_idx-2M-非对齐-非对称小值域 | baseline_kernels: Transpose×3 + Cast×1 + GatherElementsV2×1
Gather,18,"[[4097, 511], [2048, 511]]","[""float32"", ""int32""]","{""dim"": 0}","[[-1000, 1000], [0, 4096]]",M-float32-int32_idx-2M-非对齐-对称大值域 | baseline_kernels: Transpose×3 + GatherElementsV2×1
Gather,19,"[[2, 511, 2049], [2, 255, 2049]]","[""bfloat16"", ""int64""]","{""dim"": 1}","[[-0.2, 0.2], [0, 510]]",M-bfloat16-int64_idx-2M-非对齐-对称微小值域-3D-dim=1 | baseline_kernels: Transpose×3 + Cast×1 + GatherElementsV2×1
Gather,20,"[[4, 255, 2049], [4, 127, 2049]]","[""float32"", ""int32""]","{""dim"": 2}","[[-3, 6], [0, 254]]",M-float32-int32_idx-2M-非对齐-非对称中值域-3D-dim=2 | baseline_kernels: GatherElements×1
