operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
GridSampler3D,1,"[[2, 32, 32, 32, 32], [2, 32, 32, 32, 3]]","[""float16"", ""float16""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""zeros"", ""align_corners"": false}","[[-1, 1], [-1, 1]]",348.83,4.22,S-float16-2M-对齐-bilinear-zeros-align=false | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,2,"[[4, 64, 16, 16, 16], [4, 16, 16, 16, 3]]","[""float32"", ""float32""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""zeros"", ""align_corners"": false}","[[-2, 2], [-1, 1]]",186.26,4.12,S-float32-4M-对齐-bilinear-zeros-align=false | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,3,"[[2, 128, 8, 8, 8], [2, 8, 8, 8, 3]]","[""float16"", ""float16""]","{""interpolation_mode"": ""nearest"", ""padding_mode"": ""zeros"", ""align_corners"": true}","[[-3, 3], [-1, 1]]",56.34,0.14,S-float16-1M-对齐-nearest-zeros-align=true | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,4,"[[4, 64, 32, 32, 32], [4, 32, 32, 32, 3]]","[""float32"", ""float32""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""border"", ""align_corners"": true}","[[-10, 10], [-1, 1]]",941.94,32.96,M-float32-16M-对齐-bilinear-border-align=true | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,5,"[[2, 128, 64, 64, 64], [2, 64, 64, 64, 3]]","[""float16"", ""float16""]","{""interpolation_mode"": ""nearest"", ""padding_mode"": ""reflection"", ""align_corners"": false}","[[-100, 100], [-1, 1]]",1152.44,71.54,L-float16-67M-对齐-nearest-reflection-align=false | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,6,"[[4, 256, 32, 32, 32], [4, 32, 32, 32, 3]]","[""float32"", ""float32""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""border"", ""align_corners"": false}","[[-1000, 1000], [-1, 1]]",3420.13,129.43,L-float32-134M-对齐-bilinear-border-align=false | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,7,"[[3, 31, 31, 31, 31], [3, 31, 31, 31, 3]]","[""float16"", ""float16""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""zeros"", ""align_corners"": false}","[[-0.1, 0.1], [-1, 1]]",449.99,5.59,S-float16-3M-质数非对齐-bilinear-zeros-align=false | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,8,"[[2, 63, 15, 15, 15], [2, 15, 15, 15, 3]]","[""float32"", ""float32""]","{""interpolation_mode"": ""nearest"", ""padding_mode"": ""zeros"", ""align_corners"": true}","[[-1, 2], [-1, 1]]",63.42,0.93,S-float32-1M-非对齐-nearest-zeros-align=true | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,9,"[[3, 47, 23, 23, 23], [3, 23, 23, 23, 3]]","[""float16"", ""float16""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""reflection"", ""align_corners"": false}","[[-5, 10], [-1, 1]]",311.21,3.42,S-float16-2M-质数非对齐-bilinear-reflection-align=false | baseline_kernels: Transpose×1 + GridSample×1
GridSampler3D,10,"[[5, 97, 43, 43, 43], [5, 43, 43, 43, 3]]","[""float32"", ""float32""]","{""interpolation_mode"": ""bilinear"", ""padding_mode"": ""zeros"", ""align_corners"": true}","[[-50, 100], [-1, 1]]",4893.64,150.27,L-float32-50M-质数非对齐-bilinear-zeros-align=true | baseline_kernels: Transpose×1 + GridSample×1
