operator,case_id,input_shape,dtype,attrs,value_range,note
GroupNorm,1,"[[8, 32, 64, 64], [32], [32]]","[""float16"", ""float16"", ""float16""]","{""num_groups"": 8, ""epsilon"": ""1e-5""}","[-1, 1]",S-float16-1M-aligned-groups8-C32-symmetric-small | baseline_kernels: GroupNormSilu×1
GroupNorm,2,"[[4, 64, 128, 128], [64], [64]]","[""float32"", ""float32"", ""float32""]","{""num_groups"": 16, ""epsilon"": ""1e-5""}","[-2, 2]",M-float32-4M-aligned-groups16-C64-symmetric-small | baseline_kernels: GroupNormSilu×1
GroupNorm,3,"[[2, 128, 256, 256], [128], [128]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""num_groups"": 32, ""epsilon"": ""1e-5""}","[-3, 3]",M-bfloat16-16M-aligned-groups32-C128-symmetric-small | baseline_kernels: GroupNormSilu×1
GroupNorm,4,"[[16, 257, 32, 31], [257], [257]]","[""float16"", ""float16"", ""float16""]","{""num_groups"": 1, ""epsilon"": ""1e-5""}","[-10, 10]",S-float16-4M-nonaligned-groups1-InstanceNorm-equiv-symmetric-mid | baseline_kernels: GroupNormSilu×1
GroupNorm,5,"[[8, 512, 17, 15], [512], [512]]","[""float32"", ""float32"", ""float32""]","{""num_groups"": 2, ""epsilon"": ""1e-5""}","[-100, 100]",S-float32-1M-nonaligned-groups2-symmetric-large | baseline_kernels: GroupNormSilu×1
GroupNorm,6,"[[64, 64, 128], [64], [64]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""num_groups"": 4, ""epsilon"": ""1e-5""}","[-5, 5]",S-bfloat16-524K-aligned-3D-input-groups4 | baseline_kernels: GroupNormSilu×1
GroupNorm,7,"[[2, 256, 128, 128], [256], [256]]","[""float16"", ""float16"", ""float16""]","{""num_groups"": 16, ""epsilon"": ""1e-5""}","[-0.1, 0.1]",M-float16-8M-aligned-groups16-C256-symmetric-tiny | baseline_kernels: GroupNormSilu×1
GroupNorm,8,"[[16, 127, 31, 33], [127], [127]]","[""float32"", ""float32"", ""float32""]","{""num_groups"": 1, ""epsilon"": ""1e-6""}","[-1, 1]",S-float32-2M-nonaligned-epsilon1e6-groups1 | baseline_kernels: GroupNormSilu×1
GroupNorm,9,"[[3, 64, 64, 64], [64], [64]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""num_groups"": 8, ""epsilon"": ""1e-3""}","[-0.5, 0.5]",S-bfloat16-786K-aligned-3D-input-epsilon1e3-groups8 | baseline_kernels: GroupNormSilu×1
GroupNorm,10,"[[7, 32, 63, 65], [32], [32]]","[""float16"", ""float16"", ""float16""]","{""num_groups"": 4, ""epsilon"": ""1e-4""}","[-1, 2]",S-float16-917K-nonaligned-spatial-prime-groups4 | baseline_kernels: GroupNormSilu×1
GroupNorm,11,"[[3, 64, 127, 129], [64], [64]]","[""float32"", ""float32"", ""float32""]","{""num_groups"": 8, ""epsilon"": ""1e-4""}","[-50, 100]",M-float32-3M-nonaligned-spatial-prime-groups8 | baseline_kernels: GroupNormSilu×1
GroupNorm,12,"[[5, 48, 33, 65], [48], [48]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""num_groups"": 6, ""epsilon"": ""1e-4""}","[-3, 6]",S-bfloat16-514K-nonaligned-C48-groups6 | baseline_kernels: GroupNormSilu×1
GroupNorm,13,"[[1023, 257], [257], [257]]","[""float16"", ""float16"", ""float16""]","{""num_groups"": 1, ""epsilon"": ""1e-6""}","[-1, 1]",S-float16-263K-nonaligned-2D-input-groups1 | baseline_kernels: GroupNormSilu×1
GroupNorm,14,"[[2, 60, 5, 7, 480], [60], [60]]","[""float32"", ""float32"", ""float32""]","{""num_groups"": 4, ""epsilon"": ""1e-5""}","[-10, 10]",S-float32-2M-nonaligned-5D-input-groups4 | baseline_kernels: GroupNormSilu×1
GroupNorm,15,"[[4, 31, 251, 251], [31], [31]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""num_groups"": 1, ""epsilon"": ""1e-8""}","[""-inf"", ""inf""]",M-bfloat16-7M-nonaligned-prime-spatial-inf-special | baseline_kernels: GroupNormSilu×1
GroupNorm,16,"[[2, 64, 67, 71], [64], [64]]","[""float16"", ""float16"", ""float16""]","{""num_groups"": 8, ""epsilon"": ""1e-7""}","[""nan"", ""nan""]",S-float16-608K-nonaligned-prime-spatial-nan-special | baseline_kernels: GroupNormSilu×1
GroupNorm,17,"[[8, 127, 33, 31], [127], [127]]","[""float32"", ""float32"", ""float32""]","{""num_groups"": 1, ""epsilon"": ""1e-4""}","[0, 0]",S-float32-1M-nonaligned-groups1-zero-special-value | baseline_kernels: GroupNormSilu×1
GroupNorm,18,"[[2, 256, 127, 129], [256], [256]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""num_groups"": 16, ""epsilon"": ""1e-5""}","[-0.2, 0.2]",M-bfloat16-8M-nonaligned-C256-groups16-symmetric-tiny | baseline_kernels: GroupNormSilu×1
GroupNorm,19,"[[4, 128, 255, 257], [128], [128]]","[""float16"", ""float16"", ""float16""]","{""num_groups"": 32, ""epsilon"": ""1e-3""}","[-65504, 65504]",M-float16-33M-nonaligned-float16-boundary-groups32 | baseline_kernels: GroupNormSilu×1
GroupNorm,20,"[[1, 513, 63, 63], [513], [513]]","[""float32"", ""float32"", ""float32""]","{""num_groups"": 3, ""epsilon"": ""1e-6""}","[-20, 40]",S-float32-2M-nonaligned-large-channel-groups3-asymmetric-range | baseline_kernels: GroupNormSilu×1
