operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
Maximum,1,"[[1024, 1024], [1024, 1024]]","[""float16"", ""float16""]",{},"[[-1, 1], [-1, 1]]",5.76,2.18,S-float16-1M-对齐-对称小值域 | baseline_kernels: Maximum×1
Maximum,2,"[[2048, 2048], [2048, 2048]]","[""float32"", ""float32""]",{},"[[-2, 2], [-2, 2]]",30.22,17.48,M-float32-4M-对齐-对称小值域 | baseline_kernels: Maximum×1
Maximum,3,"[[4096, 4096], [4096, 4096]]","[""bfloat16"", ""bfloat16""]",{},"[[-3, 3], [-3, 3]]",66.02,34.95,M-bfloat16-16M-对齐-对称小值域 | baseline_kernels: Maximum×1
Maximum,4,"[[8192, 8192], [8192, 8192]]","[""int32"", ""int32""]",{},"[[-1000, 1000], [-1000, 1000]]",641.75,279.62,L-int32-67M-对齐-对称中值域 | baseline_kernels: Maximum×1
Maximum,5,"[[4096, 4096], [4096, 4096]]","[""int64"", ""int64""]",{},"[[-100000, 100000], [-100000, 100000]]",736.19,139.81,L-int64-268M-对齐-对称大值域 | baseline_kernels: Maximum×1
Maximum,6,"[[8192, 16384], [8192, 16384]]","[""int8"", ""int8""]",{},"[[-128, 127], [-128, 127]]",316.83,139.81,L-int8-536M-对齐-int8全范围 | baseline_kernels: Maximum×1
Maximum,7,"[[1023, 1023], [1023, 1023]]","[""float16"", ""float16""]",{},"[[-0.1, 0.1], [-0.1, 0.1]]",5.70,2.18,S-float16-1M-非对齐-对称微小值域 | baseline_kernels: Maximum×1
Maximum,8,"[[1009, 1021], [1009, 1021]]","[""float32"", ""float32""]",{},"[[-1, 2], [-1, 2]]",9.16,4.29,S-float32-1M-质数非对齐-非对称小值域 | baseline_kernels: Maximum×1
Maximum,9,"[[1537, 769], [1537, 769]]","[""bfloat16"", ""bfloat16""]",{},"[[-5, 10], [-5, 10]]",7.44,2.46,S-bfloat16-1M-非对齐-非对称中值域 | baseline_kernels: Maximum×1
Maximum,10,"[[363, 367, 373], [363, 367, 373]]","[""float16"", ""float16""]",{},"[[-50, 100], [-50, 100]]",188.04,103.51,L-float16-50M-质数非对齐-非对称大值域-3D | baseline_kernels: Maximum×1
Maximum,11,"[[2049, 513], [1, 513]]","[""float32"", ""float32""]",{},"[[-10, 10], [-0.1, 0.1]]",10.78,2.19,S-float32-1M-非对齐-尾轴Broadcast | baseline_kernels: Maximum×1
Maximum,12,"[[3, 127, 687, 37], [1, 1, 687, 1]]","[""float32"", ""float32""]",{},"[[-100, 100], [-10, 10]]",216.14,20.18,M-float32-31M-非对齐-多轴Broadcast-4D | baseline_kernels: Maximum×1
Maximum,13,"[[2, 3, 5, 1024, 256], [1, 1, 1, 1024, 1]]","[""int32"", ""int32""]",{},"[[-10000, 10000], [-1000, 1000]]",39.06,16.39,M-int32-7M-非对齐-5D-多轴Broadcast | baseline_kernels: Maximum×1
Maximum,14,"[[1000007], [1000007]]","[""float32"", ""float32""]",{},"[[""-inf"", ""inf""], [""-inf"", ""inf""]]",8.82,4.17,S-float32-1M-质数非对齐-inf特殊值-1D | baseline_kernels: Maximum×1
Maximum,15,"[[11, 13, 17, 67, 67], [11, 13, 17, 67, 67]]","[""float16"", ""float16""]",{},"[[""nan"", ""nan""], [-1, 1]]",37.98,22.74,M-float16-10M-质数非对齐-nan特殊值-5D | baseline_kernels: Maximum×1
Maximum,16,"[[3, 7, 11, 13, 1013], [3, 7, 11, 13, 1013]]","[""float32"", ""float32""]",{},"[[0, 0], [0, 0]]",20.62,12.68,M-float32-3M-质数非对齐-零值-5D | baseline_kernels: Maximum×1
Maximum,17,"[[512, 2049], [512, 2049]]","[""bfloat16"", ""bfloat16""]",{},"[[-0.5, 0.5], [-0.5, 0.5]]",6.48,2.19,S-bfloat16-1M-非对齐-对称微小值域 | baseline_kernels: Maximum×1
Maximum,18,"[[255, 8193], [255, 8193]]","[""float16"", ""float16""]",{},"[[-65504, 65504], [-1, 1]]",9.04,4.35,S-float16-2M-非对齐-float16边界值-Broadcast | baseline_kernels: Maximum×1
Maximum,19,"[[4097, 511], [1, 511]]","[""int64"", ""int64""]",{},"[[-32768, 32767], [-100, 100]]",101.92,2.18,S-int64-2M-非对齐-小整数范围-Broadcast | baseline_kernels: Maximum×1
Maximum,20,"[[2, 3, 17, 1024, 101], [1, 1, 1, 1024, 1]]","[""float32"", ""float32""]",{},"[[-20, 40], [-10, 10]]",133.06,21.98,M-float32-10M-非对齐-非对称大值域-5D-Broadcast | baseline_kernels: Maximum×1
