operator,case_id,input_shape,dtype,attrs,value_range,note
RmsNorm,1,"[[32, 128, 768], [768]]","[""float16"", ""float16""]","{""epsilon"": 1e-6}","[-1, 1]",S-float16-3M-aligned-hidden768-symmetric-small | baseline_kernels: RmsNorm×1
RmsNorm,2,"[[32, 128, 1024], [1024]]","[""float32"", ""float32""]","{""epsilon"": 1e-6}","[-2, 2]",M-float32-4M-aligned-hidden1024-symmetric-small | baseline_kernels: RmsNorm×1
RmsNorm,3,"[[32, 128, 2048], [2048]]","[""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-6}","[-3, 3]",M-bfloat16-8M-aligned-hidden2048-symmetric-small | baseline_kernels: RmsNorm×1
RmsNorm,4,"[[16, 256, 4096], [4096]]","[""float16"", ""float16""]","{""epsilon"": 1e-6}","[-10, 10]",M-float16-16M-aligned-hidden4096-symmetric-mid | baseline_kernels: RmsNorm×1
RmsNorm,5,"[[8, 512, 8192], [8192]]","[""float32"", ""float32""]","{""epsilon"": 1e-6}","[-100, 100]",L-float32-33M-aligned-hidden8192-symmetric-large | baseline_kernels: RmsNorm×1
RmsNorm,6,"[[4, 1023, 4097], [4097]]","[""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-5}","[-5, 5]",M-bfloat16-16M-nonaligned-hidden4097-epsilon1e5 | baseline_kernels: RmsNorm×1
RmsNorm,7,"[[63, 67, 1023], [1023]]","[""float16"", ""float16""]","{""epsilon"": 1e-8}","[-0.1, 0.1]",S-float16-4M-非对齐-epsilon1e8-symmetric-tiny | baseline_kernels: RmsNorm×1
RmsNorm,8,"[[16, 511, 2049], [2049]]","[""float32"", ""float32""]","{""epsilon"": 1e-4}","[-1, 1]",M-float32-16M-nonaligned-hidden2049-epsilon1e4 | baseline_kernels: RmsNorm×1
RmsNorm,9,"[[8, 1021, 4099], [4099]]","[""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-12}","[-0.5, 0.5]",M-bfloat16-33M-nonaligned-hidden4099-epsilon1e12 | baseline_kernels: RmsNorm×1
RmsNorm,10,"[[33, 127, 769], [769]]","[""float16"", ""float16""]","{""epsilon"": 1e-6}","[-1, 2]",S-float16-3M-nonaligned-hidden769 | baseline_kernels: RmsNorm×1
RmsNorm,11,"[[31, 129, 2049], [2049]]","[""float32"", ""float32""]","{""epsilon"": 1e-6}","[-50, 100]",M-float32-8M-nonaligned-hidden2049 | baseline_kernels: RmsNorm×1
RmsNorm,12,"[[17, 255, 4097], [4097]]","[""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-6}","[-3, 6]",M-bfloat16-17M-nonaligned-hidden4097 | baseline_kernels: RmsNorm×1
RmsNorm,13,"[[7, 1009, 1021], [1021]]","[""float16"", ""float16""]","{""epsilon"": 1e-7}","[-1, 1]",M-float16-7M-nonaligned-prime-hidden1021-epsilon1e7 | baseline_kernels: RmsNorm×1
RmsNorm,14,"[[11, 367, 373], [373]]","[""float32"", ""float32""]","{""epsilon"": 1e-5}","[-10, 10]",S-float32-1M-nonaligned-prime-hidden373-epsilon1e5 | baseline_kernels: RmsNorm×1
RmsNorm,15,"[[1000003, 2], [2]]","[""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-6}","[""-inf"", ""inf""]",S-bfloat16-2M-nonaligned-prime-inf-special | baseline_kernels: RmsNorm×1
RmsNorm,16,"[[11, 13, 17, 67], [67]]","[""float16"", ""float16""]","{""epsilon"": 1e-8}","[""nan"", ""nan""]",S-float16-163K-nonaligned-prime-4D-nan-special | baseline_kernels: RmsNorm×1
RmsNorm,17,"[[3, 7, 11, 4096], [4096]]","[""float32"", ""float32""]","{""epsilon"": 1e-4}","[0, 0]",S-float32-1M-nonaligned-prime-4D-zero-special-value | baseline_kernels: RmsNorm×1
RmsNorm,18,"[[2, 511, 8192], [8192]]","[""bfloat16"", ""bfloat16""]","{""epsilon"": 1e-6}","[-0.2, 0.2]",M-bfloat16-8M-nonaligned-hidden8192-symmetric-tiny | baseline_kernels: RmsNorm×1
RmsNorm,19,"[[4, 255, 4096], [4096]]","[""float16"", ""float16""]","{""epsilon"": 1e-3}","[-65504, 65504]",S-float16-4M-nonaligned-float16-boundary-epsilon1e3 | baseline_kernels: RmsNorm×1
RmsNorm,20,"[[2, 3, 17, 1024, 128], [128]]","[""float32"", ""float32""]","{""epsilon"": 1e-6}","[-20, 40]",M-float32-12M-nonaligned-5D-asymmetric-range | baseline_kernels: RmsNorm×1
