operator,case_id,input_shape,dtype,attrs,value_range,note
AddRmsNormDynamicQuant,1,"[[8192, 8192], [8192, 8192], [8192]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-06""}","[[-1, 1], [-1, 1], [-1, 1]]",L-large-prefill-fp16-int8-hidden=8192 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,2,"[[32768, 2048], [32768, 2048], [2048]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": ""1e-06""}","[[-2, 2], [-2, 2], [-1, 1]]",L-mega-batch-bf16-int8-M=32768-N=2048 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,3,"[[8192, 8192], [8192, 8192], [8192]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-06""}","[[-3, 3], [-3, 3], [-1, 1]]",L-square-large-fp16-int8 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,4,"[[4096, 14336], [4096, 14336], [14336]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": ""1e-05""}","[[-10, 10], [-10, 10], [-1, 1]]",L-wide-FFN-bf16-int8-Llama3-intermediate=14336 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,5,"[[16384, 4096], [16384, 4096], [4096]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": ""1e-06""}","[[-1000, 1000], [-1000, 1000], [-1, 1]]",L-large-int8-bf16-大值域 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,6,"[[524288, 128], [524288, 128], [128]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-03""}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",L-flat-extreme-fp16-M=524288-N=128-eps=1e-3 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,7,"[[4096, 4096], [4096, 4096], [4096]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-06""}","[[-2, 2], [-2, 2], [-1, 1]]",M-medium-square-fp16-int8 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,8,"[[2048, 8192], [2048, 8192], [8192]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": ""1e-06""}","[[-5, 10], [-5, 10], [-1, 1]]",M-medium-tall-hidden-bf16-int8 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,9,"[[8192, 2048], [8192, 2048], [2048]]","[""float16"", ""float16"", ""float16""]","{""epsilon"": ""1e-06""}","[[-0.5, 0.5], [-0.5, 0.5], [-0.5, 0.5]]",M-medium-tall-M-fp16-int8 | baseline_kernels: AddRmsNormDynamicQuant×1
AddRmsNormDynamicQuant,10,"[[32768, 512], [32768, 512], [512]]","[""bfloat16"", ""bfloat16"", ""bfloat16""]","{""epsilon"": ""1e-06""}","[[-1, 3], [-1, 3], [-1, 1]]",M-medium-small-hidden-bf16-int8 | baseline_kernels: AddRmsNormDynamicQuant×1
