operator,case_id,input_shape,dtype,attrs,value_range,note
MhcSinkhorn,1,"[[1, 4, 4]]","[""float32""]","{""iter_step"": 20, ""eps"": 1e-06}","[-1, 1]",S-fp32-128B-DSv4-decode-B=1-hc_mult=4 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,2,"[[64, 4, 4]]","[""float32""]","{""iter_step"": 20, ""eps"": 1e-06}","[-1, 1]",S-fp32-8KB-DSv4-small-B=64-hc_mult=4 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,3,"[[512, 4, 4]]","[""float32""]","{""iter_step"": 20, ""eps"": 1e-06}","[-1, 1]",S-fp32-66KB-DSv4-medium-B=512-hc_mult=4 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,4,"[[1024, 4, 4]]","[""float32""]","{""iter_step"": 20, ""eps"": 1e-06}","[-1, 1]",S-fp32-131KB-DSv4-typical-prefill-B=1024-hc_mult=4 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,5,"[[4096, 4, 4]]","[""float32""]","{""iter_step"": 20, ""eps"": 1e-06}","[-1, 1]",S-fp32-524KB-DSv4-large-prefill-B=4096-hc_mult=4 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,6,"[[16384, 4, 4]]","[""float32""]","{""iter_step"": 20, ""eps"": 1e-06}","[-1, 1]",S-fp32-2.10MB-DSv4-max-batch-B=16384-hc_mult=4 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,7,"[[1024, 2, 2]]","[""float32""]","{""iter_step"": 20, ""eps"": 1e-06}","[-1, 1]",S-fp32-33KB-hc_mult=2-下界-退化场景 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,8,"[[1024, 3, 3]]","[""float32""]","{""iter_step"": 20, ""eps"": 1e-06}","[-1, 1]",S-fp32-74KB-hc_mult=3-奇数非对齐 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,9,"[[1024, 6, 6]]","[""float32""]","{""iter_step"": 20, ""eps"": 1e-06}","[-1, 1]",S-fp32-295KB-hc_mult=6-非2幂 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,10,"[[1024, 8, 8]]","[""float32""]","{""iter_step"": 20, ""eps"": 1e-06}","[-1, 1]",S-fp32-524KB-hc_mult=8-2幂 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,11,"[[1024, 12, 12]]","[""float32""]","{""iter_step"": 20, ""eps"": 1e-06}","[-1, 1]",S-fp32-1.18MB-hc_mult=12-非2幂 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,12,"[[1024, 16, 16]]","[""float32""]","{""iter_step"": 20, ""eps"": 1e-06}","[-1, 1]",S-fp32-2.10MB-hc_mult=16-上界 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,13,"[[1024, 4, 4]]","[""float32""]","{""iter_step"": 1, ""eps"": 1e-06}","[-1, 1]",S-fp32-131KB-iter_step=1-退化为softmax+1次col_norm | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,14,"[[1024, 4, 4]]","[""float32""]","{""iter_step"": 5, ""eps"": 1e-06}","[-1, 1]",S-fp32-131KB-iter_step=5-少迭代收敛性测试 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,15,"[[1024, 4, 4]]","[""float32""]","{""iter_step"": 40, ""eps"": 1e-06}","[-1, 1]",S-fp32-131KB-iter_step=40-上界深收敛 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,16,"[[1024, 4, 4]]","[""float32""]","{""iter_step"": 20, ""eps"": 1e-08}","[-1, 1]",S-fp32-131KB-eps=1e-8-fp32紧致 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,17,"[[1024, 4, 4]]","[""float32""]","{""iter_step"": 20, ""eps"": 1e-07}","[-1, 1]",S-fp32-131KB-eps=1e-7-中等 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,18,"[[1, 2, 2]]","[""float32""]","{""iter_step"": 20, ""eps"": 1e-06}","[-1, 1]",S-fp32-32B-tiny-smoke-B=1-hc_mult=2-下界 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,19,"[[1024, 4, 4]]","[""float32""]","{""iter_step"": 20, ""eps"": 1e-06}","[""-inf"", ""inf""]",S-fp32-131KB-inf特殊值-row_max-shift防溢出 | baseline_kernels: MhcSinkhorn×1
MhcSinkhorn,20,"[[1024, 4, 4]]","[""float32""]","{""iter_step"": 20, ""eps"": 1e-06}","[""nan"", ""nan""]",S-fp32-131KB-nan特殊值-精度比对边界 | baseline_kernels: MhcSinkhorn×1
