operator,case_id,input_shape,dtype,attrs,value_range,note
QuantMatmul,1,"[[1024, 3584], [3584, 3584], [3584]]","[""int8"", ""int8"", ""float32""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",Qwen2-7B-o_proj-fp16-per-channel | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,2,"[[1024, 3584], [3584, 4608], [4608], null, null, [4608]]","[""int8"", ""int8"", ""float32"", null, null, ""int32""]","{""offset"": null, ""pertoken_scale"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01], null, null, [-100, 100]]",Qwen2-7B-qkv-fp16-int32-bias | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,3,"[[999, 4096], [4096, 4096], [4096]]","[""int8"", ""int8"", ""float32""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",non-aligned-M=999-fp16 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,4,"[[1024, 4096], [4096, 14336], [14336], null, null, [14336]]","[""int8"", ""int8"", ""float32"", null, null, ""int32""]","{""offset"": null, ""pertoken_scale"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01], null, null, [-100, 100]]",int32-bias-fp16-large-N | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,5,"[[1024, 4096], [4096, 11008], [11008], null, [1024]]","[""int8"", ""int8"", ""float32"", null, ""float32""]","{""offset"": null, ""bias"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01], null, [0.001, 0.01]]",pertoken-scale-fp16 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,6,"[[1024, 4096], [4096, 14336], [14336], null, [1024], [14336]]","[""int8"", ""int8"", ""float32"", null, ""float32"", ""int32""]","{""offset"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01], null, [0.001, 0.01], [-100, 100]]",pertoken+int32-bias-fp16 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,7,"[[1024, 3584], [3584, 3584], [3584]]","[""int8"", ""int8"", ""bfloat16""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""bfloat16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",Qwen2-7B-o_proj-bf16-per-channel | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,8,"[[1024, 4096], [4096, 14336], [14336], null, [1024]]","[""int8"", ""int8"", ""float32"", null, ""float32""]","{""offset"": null, ""bias"": null, ""output_dtype"": ""bfloat16""}","[[-128, 127], [-128, 127], [0.001, 0.01], null, [0.001, 0.01]]",pertoken-bf16 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,9,"[[1024, 4096], [4096, 4096], [4096], null, null, [4096]]","[""int8"", ""int8"", ""float32"", null, null, ""bfloat16""]","{""offset"": null, ""pertoken_scale"": null, ""output_dtype"": ""bfloat16""}","[[-128, 127], [-128, 127], [0.001, 0.01], null, null, [-1, 1]]",bf16-bias-post-scale-bf16 | baseline_kernels: QuantBatchMatmulV3×1
QuantMatmul,10,"[[1024, 2048], [2048, 2048], [2048]]","[""int8"", ""int8"", ""float32""]","{""offset"": null, ""pertoken_scale"": null, ""bias"": null, ""output_dtype"": ""float16""}","[[-128, 127], [-128, 127], [0.001, 0.01]]",small-fp16 | baseline_kernels: QuantBatchMatmulV3×1
