operator,case_id,input_shape,dtype,attrs,value_range,note
TopK,1,[[1048576]],"[""float16""]","{""k"": 10, ""dim"": -1, ""largest"": true}","[-1, 1]",S-float16-1M-对齐-1D-k=10-dim=-1-largest | baseline_kernels: TopKV2×1
TopK,2,"[[2048, 2048]]","[""int8""]","{""k"": 100, ""dim"": -1, ""largest"": true}","[[-127, 127]]",M-int8-4M-对齐-2D-k=100-dim=-1 | baseline_kernels: TopKV2×1
TopK,3,"[[4096, 4096]]","[""bfloat16""]","{""k"": 64, ""dim"": -1, ""largest"": true}","[-3, 3]",M-bfloat16-16M-对齐-2D-k=64-dim=-1 | baseline_kernels: TopKV2×1
TopK,4,"[[8192, 8192]]","[""int32""]","{""k"": 256, ""dim"": 0, ""largest"": true}","[-10000, 10000]",L-int32-67M-对齐-2D-k=256-dim=0 | baseline_kernels: TopKV2×1
TopK,5,"[[4096, 8192]]","[""int64""]","{""k"": 512, ""dim"": -1, ""largest"": false}","[-100000, 100000]",L-int64-268M-对齐-2D-k=512-dim=-1-smallest | baseline_kernels: TopKV2×1
TopK,6,"[[8192, 8192]]","[""float32""]","{""k"": 1024, ""dim"": 0, ""largest"": true}","[-1000, 1000]",L-float32-1G-对齐-2D-k=1024-dim=0 | baseline_kernels: TopKV2×1
TopK,7,"[[1023, 1023]]","[""float16""]","{""k"": 10, ""dim"": -1, ""largest"": true}","[-0.1, 0.1]",S-float16-1M-非对齐-2D-k=10-微小值域 | baseline_kernels: TopKV2×1
TopK,8,"[[1009, 1021]]","[""float32""]","{""k"": 50, ""dim"": 0, ""largest"": false}","[-1, 2]",S-float32-1M-质数非对齐-2D-k=50-dim=0-smallest | baseline_kernels: TopKV2×1
TopK,9,"[[1537, 769]]","[""bfloat16""]","{""k"": 128, ""dim"": -1, ""largest"": true}","[-5, 10]",S-bfloat16-1M-非对齐-2D-k=128-非对称 | baseline_kernels: TopKV2×1
TopK,10,"[[363, 367, 373]]","[""int32""]","{""k"": 20, ""dim"": 1, ""largest"": true}","[-50, 100]",L-int32-50M-质数非对齐-3D-k=20-dim=1 | baseline_kernels: TopKV2×1
TopK,11,"[[2049, 513]]","[""float16""]","{""k"": 256, ""dim"": -1, ""largest"": true}","[-65504, 65504]",S-float16-1M-非对齐-2D-k=256-float16边界值 | baseline_kernels: TopKV2×1
TopK,12,"[[3, 7, 13, 4001]]","[""float32""]","{""k"": 2000, ""dim"": -1, ""largest"": true}","[-88, 88]",S-float32-1M-质数非对齐-4D-k=2000-float32边界值 | baseline_kernels: TopKV2×1
TopK,13,"[[2, 7, 256, 256]]","[""bfloat16""]","{""k"": 7, ""dim"": 1, ""largest"": false}","[-0.01, 0.01]",S-bfloat16-917K-对齐-4D-k=7-dim=1-smallest-微小值域 | baseline_kernels: TopKV2×1
TopK,14,[[1000003]],"[""float32""]","{""k"": 100, ""dim"": -1, ""largest"": true}","[""-inf"", ""inf""]",S-float32-1M-质数非对齐-1D-k=100-inf特殊值 | baseline_kernels: TopKV2×1
TopK,15,"[[11, 13, 17, 67, 67]]","[""float16""]","{""k"": 17, ""dim"": 2, ""largest"": true}","[""nan"", ""nan""]",M-float16-10M-质数非对齐-5D-k=17-dim=2-nan特殊值 | baseline_kernels: TopKV2×1
TopK,16,"[[3, 7, 11, 13, 1013]]","[""int64""]","{""k"": 10, ""dim"": -1, ""largest"": true}","[0, 0]",M-int64-3M-质数非对齐-5D-k=10-零值 | baseline_kernels: TopKV2×1
TopK,17,"[[512, 2049]]","[""float32""]","{""k"": 512, ""dim"": -1, ""largest"": true}","[-0.5, 0.5]",S-float32-1M-非对齐-2D-k=512-微小值域 | baseline_kernels: TopKV2×1
TopK,18,"[[255, 8193]]","[""bfloat16""]","{""k"": 128, ""dim"": 0, ""largest"": false}","[-1, 3]",S-bfloat16-2M-非对齐-2D-k=128-dim=0-smallest | baseline_kernels: TopKV2×1
TopK,19,"[[4097, 511]]","[""uint8""]","{""k"": 256, ""dim"": -1, ""largest"": true}","[[0, 255]]",S-uint8-2M-非对齐-2D-k=256-大值域 | baseline_kernels: TopKV2×1
TopK,20,"[[2, 511, 2049]]","[""float16""]","{""k"": 100, ""dim"": 1, ""largest"": true}","[-3, 6]",S-float16-2M-非对齐-3D-k=100-dim=1-非对称中值域 | baseline_kernels: TopKV2×1
