operator,case_id,input_shape,dtype,attrs,value_range,note
Unique,1,[[1048576]],"[""float16""]","{""return_inverse"": false}","[-1, 1]",S-float16-1M-对齐-1D-无逆索引
Unique,2,"[[2048, 2048]]","[""float32""]","{""return_inverse"": true}","[-2, 2]",M-float32-4M-对齐-2D-带逆索引
Unique,3,"[[4096, 4096]]","[""bfloat16""]","{""return_inverse"": false}","[-3, 3]",M-bfloat16-16M-对齐-2D-无逆索引
Unique,4,"[[8192, 8192]]","[""int32""]","{""return_inverse"": true}","[-10000, 10000]",L-int32-67M-对齐-2D-带逆索引-中值域
Unique,5,"[[4096, 8192]]","[""int64""]","{""return_inverse"": false}","[-100000, 100000]",L-int64-33M元素-256MB-对齐-2D-无逆索引-大值域
Unique,6,"[[16384, 16384]]","[""uint8""]","{""return_inverse"": true}","[0, 255]",L-uint8-268M元素-对齐-2D-带逆索引-全范围
Unique,7,"[[1023, 1023]]","[""float16""]","{""return_inverse"": false}","[-0.1, 0.1]",S-float16-1M-非对齐-2D-微小值域
Unique,8,"[[1009, 1021]]","[""float32""]","{""return_inverse"": true}","[-1, 2]",S-float32-1M-质数非对齐-2D-非对称-带逆索引
Unique,9,"[[1537, 769]]","[""bfloat16""]","{""return_inverse"": false}","[-5, 10]",S-bfloat16-1M-非对齐-2D-非对称
Unique,10,"[[363, 367, 373]]","[""int8""]","{""return_inverse"": true}","[-128, 127]",M-int8-50M-质数非对齐-3D-int8全范围-带逆索引
Unique,11,"[[2049, 513]]","[""float16""]","{""return_inverse"": false}","[-65504, 65504]",S-float16-1M-非对齐-2D-float16边界值
Unique,12,"[[3, 7, 13, 4001]]","[""float32""]","{""return_inverse"": true}","[-88, 88]",S-float32-1M-质数非对齐-4D-exp溢出边界-带逆索引
Unique,13,"[[2, 7, 256, 256]]","[""bfloat16""]","{""return_inverse"": false}","[-0.01, 0.01]",S-bfloat16-917K-对齐-4D-微小值域
Unique,14,[[1000003]],"[""float32""]","{""return_inverse"": false}","[""-inf"", ""inf""]",S-float32-1M-质数非对齐-1D-inf特殊值
Unique,15,"[[11, 13, 17, 67, 67]]","[""float16""]","{""return_inverse"": true}","[""-inf"", ""inf""]",M-float16-10M-质数非对齐-5D-inf极值-带逆索引
Unique,16,"[[3, 7, 11, 13, 1013]]","[""int32""]","{""return_inverse"": false}","[0, 0]",M-int32-3M-质数非对齐-5D-零值
Unique,17,"[[512, 2049]]","[""float32""]","{""return_inverse"": true}","[-0.5, 0.5]",S-float32-1M-非对齐-2D-细长-微小值域-带逆索引
Unique,18,"[[255, 8193]]","[""bfloat16""]","{""return_inverse"": false}","[-1, 3]",S-bfloat16-2M-非对齐-2D-非对称
Unique,19,"[[4097, 511]]","[""int64""]","{""return_inverse"": true}","[-1000, 1000]",M-int64-2M-非对齐-2D-大值域-带逆索引
Unique,20,"[[2, 511, 2049]]","[""float16""]","{""return_inverse"": false}","[-3, 6]",S-float16-2M-非对齐-3D-非对称中值域
